matchup,sp_xera_gap,home_sp_n_pitches,away_sp_n_pitches,sp_sample_reliability,home_sp_luck,away_sp_luck,home_model_prob,tier,signals_fired,notes
BOS@BAL,3.18,474,517,0.32,3.66,4.63,0.623,PLATINUM,F1_xera_gap=3.18|F3_swing_take_gap=2071.1,F4 our-SP suppressed (n_pitches=474.0 < 800)
SEA@STL,-3.98,487,503,0.32,0.28,3.76,0.621,SKIP,,"F1 negative (-3.98) — fade side, vetoed"
CLE@TOR,1.03,517,484,0.32,2.95,1.89,0.608,GOLD,F1_xera_gap=1.03,F4 our-SP suppressed (n_pitches=517.0 < 800)
MIA@SF,0.17,567,514,0.34,-0.08,2.02,0.252,SKIP,,
COL@NYM,4.52,318,244,0.16,7.26,0.31,0.362,GOLD,F1_xera_gap=4.52,F4 our-SP suppressed (n_pitches=318.0 < 800)
MIN@TB,-0.99,394,515,0.26,2.17,3.12,0.701,SKIP,,"F1 negative (-0.99) — fade side, vetoed"
WSH@CHW,4.96,164,431,0.11,5.69,1.61,0.47,GOLD,F1_xera_gap=4.96,F4 our-SP suppressed (n_pitches=164.0 < 800)
SD@ARI,0.2,497,412,0.27,1.28,-0.26,0.704,SKIP,,F4 our-SP suppressed (n_pitches=497.0 < 800)
OAK@TEX,-2.77,496,485,0.32,0.43,2.65,0.522,SKIP,,"F1 negative (-2.77) — fade side, vetoed"
LAA@KC,-6.39,473,189,0.13,0.51,8.42,0.562,SKIP,,"F1 negative (-6.39) — fade side, vetoed"
NYY@HOU,1.12,527,535,0.35,3.96,0.0,0.606,GOLD,F1_xera_gap=1.12,F4 our-SP suppressed (n_pitches=527.0 < 800)
PIT@MIL,1.18,550,491,0.33,3.1,1.86,0.773,GOLD,F1_xera_gap=1.18,F4 our-SP suppressed (n_pitches=550.0 < 800)
DET@CIN,-0.44,491,515,0.33,3.44,0.78,0.502,SKIP,,F4 our-SP suppressed (n_pitches=491.0 < 800)
CHC@LAD,-3.33,406,434,0.27,2.34,1.54,0.484,SKIP,,"F1 negative (-3.33) — fade side, vetoed"
PHI@ATL,,425,,0.28,3.08,,0.71,PLATINUM,F2_xwoba_gap=0.023|F3_swing_take_gap=4457.7,F4 our-SP suppressed (n_pitches=425.0 < 800)
