away,home,pick,pick_prob,home_implied,home_edge_pp,tier,signals,notes
BOS,BAL,BOS,50.0,—,—,PLATINUM,"F3_swing_take_gap=2071.1, F4_our_sp_unlucky=3.31",
SEA,STL,STL,57.4,—,—,SKIP,,"F1 negative (-3.09) — fade side, vetoed"
CLE,TOR,TOR,51.6,—,—,GOLD,F4_our_sp_unlucky=2.57,
MIA,SF,MIA,74.8,—,—,GOLD,F4_our_sp_unlucky=3.34,
MIN,TB,TB,65.8,—,—,SKIP,,"F1 negative-veto suppressed (small sample: home=434.0, away=2914.0) | F4 our-SP suppressed (n_pitches=434.0 < 800)"
WSH,CHW,WSH,62.0,—,—,SKIP,,F4 our-SP suppressed (n_pitches=217.0 < 800)
SD,ARI,ARI,62.7,—,—,PLATINUM,"F1_xera_gap=1.77, F4_our_sp_unlucky=2.61",
OAK,TEX,TEX,50.5,—,—,GOLD,F4_our_sp_unlucky=1.86,
LAA,KC,KC,52.0,—,—,GOLD,F4_our_sp_unlucky=4.41,"F1 suppressed (n_pitches home=1635.0, away=217.0 < 600)"
NYY,HOU,HOU,68.9,—,—,GOLD,F4_our_sp_unlucky=2.28,
PIT,MIL,MIL,71.6,—,—,PLATINUM,"F1_xera_gap=1.72, F4_our_sp_unlucky=3.85",
DET,CIN,CIN,80.0,—,—,GOLD,F4_our_sp_unlucky=2.41,
CHC,LAD,CHC,63.5,—,—,DIAMOND,"F1_xera_gap=1.82, F3_swing_take_gap=3794.3, F4_our_sp_unlucky=1.80",
PHI,ATL,ATL,65.8,—,—,SKIP,,"F1 negative (-3.48) — fade side, vetoed"
COL,NYM,COL,69.1,—,—,SKIP,,"F1 negative (-2.09) — fade side, vetoed"
