away_team,home_team,pick_winner,pick_prob,model_prob,home_implied,home_edge_pp,conv_tier,conv_signals
DET,CIN,CIN,82.5,82.5,52.2,30.34,SKIP,
SEA,STL,STL,68.1,68.1,44.5,23.52,SKIP,
PHI,ATL,ATL,73.8,73.8,56.5,17.26,PLATINUM,F2_xwoba_gap=0.023+F3_swing_take_gap=4457.7
NYY,HOU,HOU,60.0,60.0,44.2,15.72,GOLD,F1_xera_gap=1.12
PIT,MIL,MIL,73.1,73.1,58.1,15.01,GOLD,F1_xera_gap=1.18
BOS,BAL,BAL,66.4,66.4,53.5,12.95,PLATINUM,F1_xera_gap=3.18+F3_swing_take_gap=2071.1
MIN,TB,TB,70.2,70.2,57.5,12.68,SKIP,
SD,ARI,ARI,64.6,64.6,53.8,10.81,SKIP,
LAA,KC,KC,61.4,61.4,61.1,0.35,SKIP,
CLE,TOR,TOR,57.1,57.1,58.8,-1.62,GOLD,F1_xera_gap=1.03
OAK,TEX,OAK,54.0,46.0,58.2,-12.26,SKIP,
CHC,LAD,CHC,59.5,40.5,59.6,-19.05,SKIP,
WSH,CHW,WSH,62.3,37.7,58.8,-21.07,GOLD,F1_xera_gap=4.96
MIA,SF,MIA,72.3,27.7,55.7,-28.03,SKIP,
COL,NYM,COL,64.2,35.8,67.3,-31.49,GOLD,F1_xera_gap=4.52
