away,home,pick,pick_prob,home_implied,home_edge_pp,tier,signals,notes
LAA,CHW,CHW,91.9,42.4,49.57,SKIP,,"F1 negative-veto suppressed (small sample: home=445.0, away=623.0)"
SEA,MIN,MIN,73.6,45.2,28.32,SKIP,,"F1 suppressed (n_pitches home=599.0, away=550.0 < 600)"
BOS,TOR,TOR,76.5,52.3,24.22,SKIP,,
DET,ATL,ATL,72.1,53.4,18.63,SKIP,,"F1 negative-veto suppressed (small sample: home=354.0, away=491.0)"
CHC,SD,SD,55.0,47.1,7.86,SKIP,,"F1 negative-veto suppressed (small sample: home=450.0, away=532.0) | F5 suppressed (bp_n_pitches our=1901.0, opp=1723.0 < 3000)"
SF,PHI,PHI,62.1,63.1,-1.03,GOLD,F3_swing_take_gap=944.5,"F1 suppressed (n_pitches home=570.0, away=445.0 < 600)"
TB,CLE,TB,58.5,43.8,-2.35,GOLD,F3_swing_take_gap=1070.2,"F5 suppressed (bp_n_pitches our=1434.0, opp=2070.0 < 3000)"
MIA,LAD,LAD,71.8,76.3,-4.47,PLATINUM,"F2_xwoba_gap=0.035, F3_swing_take_gap=6604.5","F1 suppressed (n_pitches home=455.0, away=464.0 < 600)"
HOU,BAL,HOU,66.4,43.1,-9.47,SKIP,,
WSH,NYM,WSH,76.2,34.8,-10.97,SKIP,,"F1 negative-veto suppressed (small sample: home=389.0, away=437.0) | F5 suppressed (bp_n_pitches our=2151.0, opp=1876.0 < 3000)"
NYY,TEX,NYY,65.0,53.5,-18.44,GOLD,F2_xwoba_gap=0.024,"F1 suppressed (n_pitches home=569.0, away=430.0 < 600)"
