game_id,away,home,home_sp_id,home_sp_name,home_sp_src,away_sp_id,away_sp_name,away_sp_src,home_off_src,away_off_src,home_bp_src,away_bp_src,n_filled,filled_cols,game_date,home_win
822747,ATL,WSH,656492,?,statcast,625643,?,statcast,statcast,statcast,statcast,statcast,0,-,2026-04-21,1
822749,ATL,WSH,663623,?,statcast,693821,?,statcast,statcast,statcast,statcast,statcast,0,-,2026-04-20,0
822750,SF,WSH,676571,?,statcast,592662,?,statcast,statcast,statcast,statcast,statcast,0,-,2026-04-19,1
822751,SF,WSH,676917,?,statcast,605288,?,statcast,statcast,statcast,statcast,statcast,0,-,2026-04-18,0
822752,SF,WSH,641793,?,statcast,657277,?,statcast,statcast,statcast,statcast,statcast,0,-,2026-04-17,0
822753,STL,WSH,571945,?,statcast,700241,?,statcast,statcast,statcast,statcast,statcast,0,-,2026-04-08,0
822754,STL,WSH,676917,?,statcast,669461,?,statcast,statcast,statcast,statcast,statcast,0,-,2026-04-07,0
822755,STL,WSH,641793,?,season_2025,669467,?,season_2025,statcast,statcast,statcast,statcast,10,"sp_xera_gap,sp_xwoba_allowed_gap,sp_fip_gap,sp_siera_gap,sp_k_bb_pct_gap,sp_recent_form_gap,sp_hardhit_gap,sp_stamina_gap,home_sp_luck,away_sp_luck",2026-04-06,1
822756,LAD,WSH,656492,?,statcast,808963,?,statcast,statcast,statcast,statcast,statcast,0,-,2026-04-05,0
822757,LAD,WSH,663623,?,season_2025,607192,?,statcast,statcast,statcast,statcast,statcast,9,"sp_xera_gap,sp_xwoba_allowed_gap,sp_fip_gap,sp_siera_gap,sp_k_bb_pct_gap,sp_recent_form_gap,sp_hardhit_gap,sp_stamina_gap,home_sp_luck",2026-04-04,0
822758,LAD,WSH,571945,?,season_2025,686218,?,statcast,statcast,statcast,statcast,statcast,9,"sp_xera_gap,sp_xwoba_allowed_gap,sp_fip_gap,sp_siera_gap,sp_k_bb_pct_gap,sp_recent_form_gap,sp_hardhit_gap,sp_stamina_gap,home_sp_luck",2026-04-03,0
822828,MIN,TOR,453286,?,statcast,671737,?,statcast,statcast,statcast,statcast,statcast,0,-,2026-04-12,0
822829,MIN,TOR,571578,?,season_2025,680573,?,statcast,statcast,statcast,statcast,statcast,9,"sp_xera_gap,sp_xwoba_allowed_gap,sp_fip_gap,sp_siera_gap,sp_k_bb_pct_gap,sp_recent_form_gap,sp_hardhit_gap,sp_stamina_gap,home_sp_luck",2026-04-10,1
822830,MIN,TOR,641778,?,statcast,657746,?,statcast,statcast,statcast,statcast,statcast,0,-,2026-04-11,0
822831,LAD,TOR,592332,?,statcast,808967,?,statcast,statcast,statcast,statcast,statcast,0,-,2026-04-07,0
822832,LAD,TOR,453286,?,statcast,680736,?,statcast,statcast,statcast,statcast,statcast,0,-,2026-04-06,0
822833,LAD,TOR,656302,?,statcast,660271,?,statcast,statcast,statcast,statcast,statcast,0,-,2026-04-08,1
822834,COL,TOR,664074,?,league_prior,608372,?,season_2025,statcast,statcast,statcast,statcast,10,"sp_xera_gap,sp_xwoba_allowed_gap,sp_fip_gap,sp_siera_gap,sp_k_bb_pct_gap,sp_recent_form_gap,sp_hardhit_gap,sp_stamina_gap,home_sp_luck,away_sp_luck",2026-03-30,0
822835,COL,TOR,592332,?,statcast,607536,?,statcast,statcast,statcast,statcast,statcast,0,-,2026-04-01,0
822836,COL,TOR,453286,?,season_2025,663372,?,season_2025,statcast,statcast,statcast,statcast,10,"sp_xera_gap,sp_xwoba_allowed_gap,sp_fip_gap,sp_siera_gap,sp_k_bb_pct_gap,sp_recent_form_gap,sp_hardhit_gap,sp_stamina_gap,home_sp_luck,away_sp_luck",2026-03-31,1
822837,ATH,TOR,641778,?,season_2025,806960,?,season_2025,statcast,statcast,statcast,statcast,10,"sp_xera_gap,sp_xwoba_allowed_gap,sp_fip_gap,sp_siera_gap,sp_k_bb_pct_gap,sp_recent_form_gap,sp_hardhit_gap,sp_stamina_gap,home_sp_luck,away_sp_luck",2026-03-29,1
822838,ATH,TOR,656302,?,season_2025,605488,?,season_2025,statcast,statcast,season_2025,statcast,11,"sp_xera_gap,sp_xwoba_allowed_gap,sp_fip_gap,sp_siera_gap,sp_k_bb_pct_gap,sp_recent_form_gap,sp_hardhit_gap,sp_stamina_gap,bullpen_siera_gap,home_sp_luck,away_sp_luck",2026-03-28,1
