game_id,game_date,home_team,away_team,total_line,pred_runs,actual_runs,edge_runs,side,decimal,our_prob,book_fair,stake,outcome,pnl,bankroll
778179,2025-04-26,CLE,BOS,7.5,8.76,9.0,1.26,over,1.87,0.5384,0.5131,0.151,win,0.131,100.131
778180,2025-04-26,DET,BAL,9.0,7.18,8.0,1.82,under,1.833,0.5627,0.5263,0.76,win,0.634,100.765
778170,2025-04-27,NYY,TOR,8.5,6.23,6.0,2.27,under,1.893,0.5492,0.5039,0.895,win,0.799,101.563
778158,2025-04-27,CHC,PHI,8.0,10.72,4.0,2.72,over,1.909,0.5544,0.5,1.307,loss,-1.307,100.257
778156,2025-04-27,NYY,TOR,8.5,6.98,13.0,1.52,under,1.893,0.5343,0.5039,0.253,loss,-0.253,100.004
778153,2025-04-27,WSH,NYM,8.5,7.21,15.0,1.29,under,1.877,0.5384,0.5126,0.246,loss,-0.246,99.758
778146,2025-04-27,SD,TB,7.0,4.22,6.0,2.78,under,1.909,0.5556,0.5,1.332,win,1.211,100.969
778145,2025-04-27,LAD,PIT,8.5,9.67,11.0,1.17,over,1.847,0.5423,0.5188,0.043,win,0.037,101.006
778144,2025-04-27,MIN,LAA,7.5,11.54,5.0,4.04,over,1.87,0.5933,0.5124,0.924,loss,-0.924,100.083
778140,2025-04-28,BAL,NYY,9.5,6.99,7.0,2.51,under,1.877,0.5607,0.5105,1.198,win,1.051,101.134
778139,2025-04-28,CLE,MIN,8.0,5.78,12.0,2.22,under,1.952,0.5312,0.4869,0.79,loss,-0.79,100.344
778138,2025-04-28,WSH,NYM,9.5,3.46,24.0,6.04,under,1.84,0.6185,0.5185,3.011,loss,-3.011,97.332
778128,2025-04-29,TB,KC,8.5,5.03,4.0,3.47,under,1.909,0.5694,0.5,1.864,win,1.694,99.027
778124,2025-04-29,HOU,DET,7.0,11.09,10.0,4.09,over,1.833,0.608,0.5263,2.726,win,2.271,101.298
778120,2025-04-29,COL,ATL,10.0,7.09,10.0,2.91,under,1.935,0.5491,0.4909,0.411,push,0.0,101.298
778134,2025-04-30,CIN,STL,9.0,10.34,6.0,1.34,over,1.833,0.5531,0.5263,0.342,loss,-0.342,100.956
778118,2025-04-30,PHI,WSH,8.0,10.95,9.0,2.95,over,1.952,0.5471,0.4881,1.443,win,1.374,102.33
778116,2025-04-30,CLE,MIN,7.0,3.96,6.0,3.04,under,1.952,0.5477,0.4869,1.489,win,1.419,103.748
778114,2025-04-30,TOR,BOS,9.5,7.35,13.0,2.15,under,1.859,0.5586,0.5156,0.924,loss,-0.924,102.825
778112,2025-04-30,PIT,CHC,8.75,11.4,7.0,2.65,over,1.907,0.5557,0.5027,0.802,loss,-0.802,102.023
778107,2025-05-01,CIN,STL,8.5,9.84,10.0,1.34,over,1.901,0.5301,0.5033,0.176,win,0.158,102.181
778100,2025-05-01,PIT,CHC,7.5,11.63,11.0,4.13,over,1.939,0.5734,0.4908,2.434,win,2.286,104.468
778097,2025-05-01,TB,KC,8.25,9.39,10.0,1.14,over,1.864,0.5386,0.5158,0.101,win,0.087,104.555
778095,2025-05-01,TOR,BOS,8.5,5.05,6.0,3.45,under,1.98,0.5479,0.479,1.816,win,1.781,106.335
778108,2025-05-01,CLE,MIN,8.5,2.97,7.0,5.53,under,2.04,0.5624,0.4624,0.473,win,0.492,106.827
778089,2025-05-02,BOS,MIN,9.0,7.4,7.0,1.6,under,1.909,0.5334,0.5013,0.43,win,0.391,107.218
778082,2025-05-02,SF,COL,7.5,10.35,4.0,2.85,over,1.99,0.5322,0.4752,1.281,loss,-1.281,105.937
778081,2025-05-02,TOR,CLE,8.5,10.06,8.0,1.56,over,1.943,0.5219,0.4908,0.32,loss,-0.32,105.617
778090,2025-05-02,PIT,SD,8.0,10.04,13.0,2.04,over,1.885,0.5487,0.5079,0.817,win,0.723,106.34
778093,2025-05-02,BAL,KC,9.5,12.25,3.0,2.75,over,2.0,0.5288,0.4737,1.224,loss,-1.224,105.116
778092,2025-05-02,ATL,LAD,9.0,7.26,3.0,1.74,under,1.93,0.5314,0.4967,0.581,win,0.541,105.657
778087,2025-05-02,CIN,WSH,9.0,11.16,7.0,2.16,over,2.0,0.5169,0.4737,0.347,loss,-0.347,105.309
778071,2025-05-03,MIL,CHC,8.5,6.21,8.0,2.29,under,1.917,0.5419,0.4961,0.896,win,0.822,106.132
778069,2025-05-03,SF,COL,8.0,9.66,9.0,1.66,over,1.909,0.5333,0.5,0.422,win,0.383,106.515
778064,2025-05-03,TOR,CLE,8.0,11.54,8.0,3.54,over,1.918,0.5695,0.4987,2.135,push,0.0,106.515
778070,2025-05-03,TEX,SEA,8.5,6.27,3.0,2.23,under,1.87,0.5578,0.5131,1.047,win,0.911,107.426
778068,2025-05-04,STL,NYM,7.5,5.83,9.0,1.67,under,1.917,0.5322,0.4987,0.477,loss,-0.477,106.949
778063,2025-05-04,BOS,MIN,8.0,9.27,9.0,1.27,over,1.833,0.554,0.5286,0.4,win,0.333,107.282
778056,2025-05-04,TOR,CLE,8.0,9.93,9.0,1.93,over,1.952,0.5254,0.4869,0.581,win,0.554,107.836
778060,2025-05-04,ATL,LAD,9.5,8.24,7.0,1.26,under,1.84,0.5488,0.5236,0.258,win,0.217,108.053
778058,2025-05-04,CIN,WSH,6.5,10.87,5.0,4.37,over,1.877,0.5862,0.4988,2.473,loss,-2.473,105.58
778052,2025-05-04,TEX,SEA,8.5,6.84,9.0,1.66,under,1.833,0.5611,0.5278,0.725,loss,-0.725,104.856
778048,2025-05-04,SF,COL,7.5,9.55,12.0,2.05,over,1.909,0.541,0.5,0.087,win,0.079,104.934
778045,2025-05-05,NYY,SD,7.5,14.49,7.0,6.99,over,1.87,0.6131,0.5131,3.529,loss,-3.529,101.405
778042,2025-05-05,MIL,HOU,8.5,7.0,6.0,1.5,under,1.862,0.5458,0.5157,0.385,win,0.332,101.737
778044,2025-05-05,CHC,SF,7.0,10.64,11.0,3.64,over,1.82,0.6043,0.5315,1.086,win,0.89,102.627
778037,2025-05-06,BOS,TEX,8.5,10.01,7.0,1.51,over,1.862,0.5467,0.5164,0.431,loss,-0.431,102.196
778031,2025-05-06,MIL,HOU,8.0,6.51,7.0,1.49,under,1.909,0.5298,0.5,0.256,win,0.233,102.429
778041,2025-05-06,NYY,SD,8.0,11.02,15.0,3.02,over,1.952,0.5472,0.4869,1.472,win,1.402,103.831
778035,2025-05-06,MIA,LAD,9.5,11.1,9.0,1.6,over,1.877,0.5425,0.5105,0.435,loss,-0.435,103.397
778027,2025-05-06,CHC,SF,8.0,10.46,19.0,2.46,over,1.87,0.5624,0.5131,1.223,win,1.064,104.46
778046,2025-05-06,WSH,CLE,9.5,6.53,10.0,2.97,under,1.87,0.5725,0.5131,1.184,loss,-1.184,103.277
778017,2025-05-07,MIA,LAD,4.5,8.07,11.0,3.57,over,1.714,0.6252,0.5537,2.074,win,1.482,104.758
778023,2025-05-07,ATL,CIN,7.5,8.57,7.0,1.07,over,1.855,0.5412,0.5198,0.093,loss,-0.093,104.665
778021,2025-05-07,TB,PHI,8.5,6.57,7.0,1.93,under,1.909,0.5386,0.5,0.65,win,0.591,105.256
778020,2025-05-07,CHC,SF,7.0,8.47,4.0,1.47,over,1.87,0.5425,0.5131,0.346,loss,-0.346,104.91
778018,2025-05-07,BOS,TEX,9.0,13.42,10.0,4.42,over,1.847,0.6094,0.521,1.836,win,1.556,106.466
778004,2025-05-08,COL,DET,10.0,11.78,12.0,1.78,over,1.93,0.531,0.4954,0.571,win,0.531,106.997
778000,2025-05-08,LAA,TOR,8.5,6.93,13.0,1.57,under,2.0,0.5068,0.4754,0.289,loss,-0.289,106.707
778029,2025-05-08,COL,DET,10.0,11.59,12.0,1.59,over,1.93,0.5272,0.4954,0.405,win,0.377,107.084
778005,2025-05-08,TB,PHI,8.75,5.16,13.0,3.59,under,1.855,0.5917,0.5199,2.442,loss,-2.442,104.642
778002,2025-05-09,TB,MIL,9.0,7.2,7.0,1.8,under,2.0,0.5097,0.4737,0.407,win,0.407,105.049
777998,2025-05-09,PIT,ATL,8.5,5.45,5.0,3.05,under,1.98,0.5378,0.4767,1.393,win,1.366,106.415
777996,2025-05-09,DET,TEX,7.5,10.16,3.0,2.66,over,2.0,0.5269,0.4737,1.147,loss,-1.147,105.268
777995,2025-05-09,WSH,STL,8.5,5.42,10.0,3.08,under,1.962,0.5466,0.4849,1.578,loss,-1.578,103.69
777983,2025-05-10,CLE,PHI,8.0,6.5,8.0,1.5,under,1.913,0.5294,0.4993,0.294,push,0.0,103.69
777979,2025-05-10,HOU,CIN,7.5,9.27,22.0,1.77,over,1.971,0.5159,0.4805,0.359,win,0.349,104.038
777987,2025-05-10,DET,TEX,7.5,10.09,13.0,2.59,over,1.913,0.5511,0.4993,1.241,win,1.134,105.172
777981,2025-05-10,TB,MIL,8.5,6.64,5.0,1.86,under,1.931,0.52,0.4828,0.092,win,0.086,105.258
777973,2025-05-10,LAA,BAL,9.5,6.56,7.0,2.94,under,1.952,0.5457,0.4869,1.447,win,1.378,106.636
777977,2025-05-10,KC,BOS,7.0,8.04,11.0,1.04,over,1.833,0.5471,0.5263,0.077,win,0.064,106.7
777970,2025-05-10,SEA,TOR,7.0,8.8,9.0,1.8,over,1.82,0.5676,0.5315,0.854,win,0.7,107.4
777976,2025-05-10,COL,SD,11.5,13.37,21.0,1.87,over,1.909,0.5374,0.5,0.611,win,0.556,107.956
777980,2025-05-10,WSH,STL,6.5,5.13,6.0,1.37,under,1.667,0.6037,0.5763,0.024,win,0.016,107.972
777967,2025-05-11,PIT,ATL,8.5,6.61,7.0,1.89,under,1.889,0.5463,0.5085,0.781,win,0.695,108.667
777968,2025-05-11,NYM,CHC,8.5,6.15,8.0,2.35,under,1.87,0.5623,0.5153,1.282,win,1.115,109.782
777969,2025-05-11,DET,TEX,7.5,6.57,7.0,0.93,under,1.8,0.5578,0.5393,0.109,win,0.087,109.869
777961,2025-05-11,LAA,BAL,10.0,7.95,10.0,2.05,under,1.909,0.5397,0.4987,0.734,push,0.0,109.869
777958,2025-05-11,SEA,TOR,8.5,10.5,10.0,2.0,over,1.952,0.527,0.4869,0.665,win,0.633,110.502
777955,2025-05-11,COL,SD,12.0,8.0,12.0,4.0,under,1.909,0.58,0.5,1.429,push,0.0,110.502
777953,2025-05-12,PHI,STL,8.5,10.54,5.0,2.04,over,1.893,0.5461,0.5052,0.832,loss,-0.832,109.67
777959,2025-05-12,ATL,WSH,8.5,7.19,7.0,1.31,under,1.957,0.5124,0.4862,0.065,win,0.062,109.732
777960,2025-05-12,CLE,MIL,8.5,7.12,5.0,1.38,under,1.952,0.5144,0.4869,0.1,win,0.096,109.828
777944,2025-05-13,CLE,MIL,9.0,7.77,2.0,1.23,under,1.905,0.5265,0.502,0.072,win,0.065,109.893
777936,2025-05-13,CHC,MIA,8.0,10.0,9.0,2.0,over,1.893,0.5452,0.5052,0.788,win,0.703,110.596
777940,2025-05-13,DET,BOS,8.5,6.9,19.0,1.6,under,1.909,0.532,0.5,0.38,loss,-0.38,110.216
777934,2025-05-13,TEX,COL,8.5,9.66,5.0,1.16,over,1.87,0.5377,0.5145,0.136,loss,-0.136,110.08
777929,2025-05-14,ATL,WSH,9.0,7.53,9.0,1.47,under,1.952,0.5152,0.4857,0.134,push,0.0,110.08
777927,2025-05-14,DET,BOS,7.0,8.51,11.0,1.51,over,1.909,0.5302,0.5,0.295,win,0.268,110.348
777925,2025-05-14,CLE,MIL,8.5,9.96,14.0,1.46,over,1.952,0.5162,0.4869,0.181,win,0.172,110.521
777933,2025-05-14,PHI,STL,8.0,10.91,21.0,2.91,over,1.909,0.5583,0.5,1.6,win,1.455,111.976
777920,2025-05-14,HOU,KC,7.5,4.93,7.0,2.57,under,1.952,0.5383,0.4869,1.197,win,1.14,113.115
777914,2025-05-14,SD,LAA,7.5,3.69,6.0,3.81,under,1.87,0.5899,0.5138,1.593,win,1.385,114.501
777909,2025-05-15,ATL,WSH,9.0,6.32,7.0,2.68,under,1.826,0.5855,0.5319,1.921,win,1.587,116.088
777895,2025-05-16,TEX,HOU,7.0,8.4,9.0,1.4,over,2.0,0.5018,0.4737,0.083,win,0.083,116.171
777901,2025-05-16,KC,STL,8.5,6.37,13.0,2.13,under,1.926,0.5399,0.4973,0.998,loss,-0.998,115.172
777906,2025-05-16,TOR,DET,8.5,6.89,9.0,1.61,under,1.878,0.5428,0.5105,0.51,loss,-0.51,114.662
777908,2025-05-16,BOS,ATL,8.0,11.98,6.0,3.98,over,1.952,0.5665,0.4869,2.554,loss,-2.554,112.108
777892,2025-05-17,CIN,CLE,10.0,11.51,5.0,1.51,over,1.962,0.5156,0.4855,0.267,loss,-0.267,111.841
777884,2025-05-17,LAD,LAA,9.5,8.03,20.0,1.47,under,1.87,0.5425,0.5131,0.366,loss,-0.366,111.475
777893,2025-05-17,BOS,ATL,9.5,10.73,13.0,1.23,over,1.833,0.5495,0.5248,0.197,win,0.164,111.639
777888,2025-05-17,NYY,NYM,9.5,10.8,5.0,1.3,over,1.909,0.526,0.5,0.103,loss,-0.103,111.536
777885,2025-05-17,KC,STL,9.0,5.71,1.0,3.29,under,1.909,0.5658,0.5,1.969,win,1.79,113.326
777889,2025-05-17,MIA,TB,6.5,8.59,4.0,2.09,over,1.909,0.5297,0.4878,0.28,loss,-0.28,113.046
777875,2025-05-17,SD,SEA,8.5,6.88,5.0,1.62,under,2.0,0.5062,0.4737,0.28,win,0.28,113.327
777866,2025-05-18,LAD,LAA,9.0,11.03,10.0,2.03,over,1.909,0.5412,0.5007,0.827,win,0.752,114.079
777880,2025-05-18,PHI,PIT,8.0,10.42,1.0,2.42,over,1.909,0.5484,0.5,1.178,loss,-1.178,112.9
777864,2025-05-18,KC,STL,8.25,5.33,3.0,2.92,under,1.9,0.5639,0.5055,1.789,win,1.61,114.51
777865,2025-05-18,MIL,MIN,8.0,10.33,7.0,2.33,over,2.0,0.5203,0.4737,0.931,loss,-0.931,113.58
777874,2025-05-18,CIN,CLE,9.0,10.89,4.0,1.89,over,1.943,0.5292,0.4915,0.275,loss,-0.275,113.305
777859,2025-05-19,PIT,CIN,8.0,5.04,8.0,2.96,under,1.957,0.5454,0.4862,1.595,push,0.0,113.305
777861,2025-05-19,MIN,CLE,7.5,10.62,11.0,3.12,over,1.885,0.5716,0.5092,1.984,win,1.756,115.06
777858,2025-05-19,TB,HOU,9.0,6.83,7.0,2.17,under,1.87,0.5566,0.5131,1.073,win,0.933,115.993
777856,2025-05-19,BOS,NYM,9.0,11.64,4.0,2.64,over,1.939,0.5448,0.4921,0.349,loss,-0.349,115.645
777845,2025-05-20,TOR,SD,7.5,9.1,3.0,1.6,over,1.909,0.5326,0.5007,0.427,loss,-0.427,115.217
777842,2025-05-20,COL,PHI,10.0,11.3,11.0,1.3,over,1.87,0.5392,0.5131,0.213,win,0.185,115.402
777841,2025-05-20,WSH,ATL,8.5,6.12,8.0,2.38,under,1.995,0.5226,0.475,0.988,win,0.983,116.385
777840,2025-05-20,STL,DET,7.5,5.03,9.0,2.47,under,1.893,0.5587,0.5094,1.5,loss,-1.5,114.886
777836,2025-05-20,SF,KC,7.5,4.68,5.0,2.82,under,1.833,0.5827,0.5263,1.873,win,1.56,116.446
777832,2025-05-21,TB,HOU,9.0,6.02,12.0,2.98,under,1.862,0.5782,0.5186,2.07,loss,-2.07,114.376
777837,2025-05-21,TOR,SD,9.0,10.33,14.0,1.33,over,2.0,0.5003,0.4737,0.014,win,0.014,114.39
777819,2025-05-21,SF,KC,8.0,5.87,12.0,2.13,under,1.87,0.5557,0.5131,1.022,loss,-1.022,113.367
777823,2025-05-21,COL,PHI,11.0,12.47,14.0,1.47,over,1.87,0.5425,0.5131,0.37,win,0.322,113.689
777826,2025-05-21,MIL,BAL,8.5,6.32,12.0,2.18,under,1.893,0.5482,0.5046,0.96,loss,-0.96,112.729
777831,2025-05-21,BOS,NYM,7.5,9.59,6.0,2.09,over,1.952,0.5287,0.4869,0.564,loss,-0.564,112.165
777821,2025-05-22,DET,CLE,8.0,10.36,7.0,2.36,over,1.952,0.5341,0.4869,1.007,loss,-1.007,111.158
