date,matchup,pick,home_lc,away_lc,gap_pickside,winner,won
2026-05-10,WSH @ MIA,WSH,1.198,1.251,0.052999999999999936,MIA,0
2026-05-10,OAK @ BAL,OAK,1.191,0.986,-0.20500000000000007,BAL,0
2026-05-10,TB @ BOS,TB,1.235,1.342,0.10699999999999998,TB,1
2026-05-10,COL @ PHI,PHI,1.159,1.057,0.10200000000000009,PHI,1
2026-05-10,LAA @ TOR,TOR,1.134,1.181,-0.04700000000000015,LAA,0
2026-05-10,HOU @ CIN,HOU,1.059,1.395,0.3360000000000001,CIN,0
2026-05-10,MIN @ CLE,CLE,1.198,1.069,0.129,MIN,0
2026-05-10,SEA @ CHW,CHW,1.298,0.988,0.31000000000000005,CHW,1
2026-05-10,CHC @ TEX,TEX,1.261,1.108,0.1529999999999998,TEX,1
2026-05-10,PIT @ SF,PIT,1.194,1.266,0.07200000000000006,SF,0
2026-05-10,NYM @ ARI,NYM,1.069,1.146,0.07699999999999996,ARI,0
2026-05-10,STL @ SD,STL,1.021,1.361,0.3400000000000001,SD,0
2026-05-10,ATL @ LAD,LAD,1.221,1.138,0.08300000000000018,ATL,0
2026-05-13,NYY @ BAL,NYY,1.241,1.402,0.1609999999999998,BAL,0
2026-05-13,LAA @ CLE,CLE,1.161,0.959,0.20200000000000007,CLE,1
2026-05-13,COL @ PIT,PIT,1.208,1.147,0.06099999999999994,COL,0
2026-05-13,PHI @ BOS,PHI,1.075,1.326,0.2510000000000001,BOS,0
2026-05-13,TB @ TOR,TB,1.022,1.466,0.44399999999999995,TOR,0
2026-05-13,DET @ NYM,DET,1.111,1.139,0.028000000000000025,NYM,0
2026-05-13,CHC @ ATL,CHC,1.075,1.084,0.009000000000000119,ATL,0
2026-05-13,KC @ CHW,CHW,1.302,1.182,0.1200000000000001,CHW,1
2026-05-13,MIA @ MIN,MIN,1.197,1.134,0.06300000000000017,MIA,0
2026-05-13,SD @ MIL,MIL,1.33,1.109,0.22100000000000009,SD,0
2026-05-13,ARI @ TEX,ARI,1.289,1.091,-0.19799999999999995,TEX,0
2026-05-13,STL @ OAK,OAK,1.082,1.274,-0.19199999999999995,OAK,1
2026-05-13,SF @ LAD,LAD,1.1,1.302,-0.20199999999999996,LAD,1
2026-05-14,COL @ PIT,PIT,0.97,1.16,-0.18999999999999995,PIT,1
2026-05-14,WSH @ CIN,WSH,1.217,1.393,0.17599999999999993,CIN,0
2026-05-14,DET @ NYM,DET,1.272,1.34,0.06800000000000006,NYM,0
2026-05-14,SD @ MIL,SD,1.329,1.011,-0.31800000000000006,MIL,0
2026-05-14,SEA @ HOU,HOU,1.306,1.084,0.22199999999999998,SEA,0
2026-05-14,STL @ OAK,STL,1.42,1.395,-0.02499999999999991,STL,1
2026-05-14,PHI @ BOS,PHI,1.135,1.178,0.04299999999999993,PHI,1
2026-05-14,CHC @ ATL,ATL,1.104,1.134,-0.029999999999999805,CHC,0
2026-05-14,KC @ CHW,KC,1.375,1.102,-0.2729999999999999,CHW,0
2026-05-14,SF @ LAD,LAD,1.227,1.123,0.10400000000000009,LAD,1
2026-05-15,PHI @ PIT,PIT,1.31,1.196,0.1140000000000001,PHI,0
2026-05-15,BAL @ WSH,WSH,1.345,1.132,0.21300000000000008,WSH,1
2026-05-15,TOR @ DET,TOR,1.246,1.235,-0.010999999999999899,DET,0
2026-05-15,CIN @ CLE,CLE,1.222,1.278,-0.05600000000000005,CIN,0
2026-05-15,MIA @ TB,TB,1.37,1.222,0.14800000000000013,TB,1
2026-05-15,BOS @ ATL,ATL,1.076,1.187,-0.11099999999999999,ATL,1
2026-05-15,NYY @ NYM,NYY,1.137,1.318,0.18100000000000005,NYY,1
2026-05-15,CHC @ CHW,CHW,1.088,1.099,-0.010999999999999899,CHC,0
2026-05-15,TEX @ HOU,HOU,1.194,1.252,-0.05800000000000005,HOU,1
2026-05-15,KC @ STL,STL,1.255,1.047,0.20799999999999996,STL,1
2026-05-15,ARI @ COL,ARI,0.779,1.163,0.384,ARI,1
2026-05-15,LAD @ LAA,LAD,1.322,1.09,-0.23199999999999998,LAD,1
2026-05-15,SD @ SEA,SEA,1.052,1.133,-0.08099999999999996,SD,0
2026-05-15,SF @ OAK,OAK,1.407,1.262,0.14500000000000002,OAK,1
2026-05-16,TOR @ DET,TOR,1.102,1.097,-0.0050000000000001155,TOR,1
2026-05-16,KC @ STL,STL,1.353,1.129,0.22399999999999998,STL,1
2026-05-16,ARI @ COL,COL,1.103,1.095,0.008000000000000007,COL,1
2026-05-16,BAL @ WSH,WSH,1.422,1.247,0.17499999999999982,WSH,1
2026-05-16,PHI @ PIT,PHI,1.26,1.239,-0.020999999999999908,PHI,1
2026-05-16,MIA @ TB,TB,1.351,1.155,0.19599999999999995,MIA,0
