date,matchup,pick,tier,pick_prob,bucket,pick_team_xwoba,opp_xwoba,gap_pickside,won_scoreboard,home_score,away_score
2026-04-27,TB @ CLE,CLE,GOLD,,null_zone,0.2878,0.2636,0.0242,False,2,3
2026-04-27,STL @ PIT,PIT,GOLD,,null_zone,0.2376,0.2551,-0.0175,False,2,4
2026-04-27,BOS @ TOR,TOR,GOLD,,bad_read,0.102,0.3509,-0.2489,False,0,5
2026-04-27,SEA @ MIN,MIN,SKIP,,win,0.3918,0.3359,0.0559,True,11,4
2026-04-27,LAA @ CHW,CHW,SKIP,,win,0.2702,0.431,-0.1608,True,8,7
2026-04-27,NYY @ TEX,NYY,GOLD,,win,0.4318,0.2928,0.139,True,2,4
2026-04-27,CHC @ SD,CHC,SKIP,,null_zone,0.358,0.3449,0.0131,False,9,7
2026-04-27,MIA @ LAD,LAD,PLATINUM,,bad_beat,0.3593,0.3269,0.0324,False,3,4
2026-04-28,TB @ CLE,TB,GOLD,,win,0.243,0.2227,0.0203,True,0,1
2026-04-28,HOU @ BAL,HOU,SKIP,,bad_read,0.254,0.3967,-0.1427,False,5,3
2026-04-28,SF @ PHI,PHI,GOLD,,win,0.2919,0.1008,0.1911,True,7,0
2026-04-28,BOS @ TOR,TOR,SKIP,,win,0.3151,0.1488,0.1663,True,3,0
2026-04-28,WSH @ NYM,WSH,SKIP,,bad_read,0.2164,0.3533,-0.1369,False,8,0
2026-04-28,DET @ ATL,ATL,SKIP,,win,0.3029,0.3204,-0.0175,True,5,2
2026-04-28,SEA @ MIN,MIN,SKIP,,bad_read,0.2801,0.3852,-0.1051,False,1,7
2026-04-28,LAA @ CHW,CHW,SKIP,,win,0.3961,0.3338,0.0623,True,5,2
2026-04-28,NYY @ TEX,NYY,GOLD,,win,0.3522,0.2978,0.0544,True,2,3
2026-04-28,CHC @ SD,SD,SKIP,,bad_read,0.255,0.3655,-0.1105,False,3,8
2026-04-28,MIA @ LAD,LAD,PLATINUM,,bad_beat,0.2912,0.2428,0.0484,False,1,2
2026-04-29,TB @ CLE,CLE,GOLD,,win,0.2562,0.1725,0.0837,True,3,1
2026-04-29,LAA @ CHW,CHW,SKIP,,bad_beat,0.2907,0.2046,0.0861,False,2,2
2026-04-29,SEA @ MIN,MIN,SKIP,,bad_read,0.2516,0.3051,-0.0535,False,3,5
2026-04-29,NYY @ TEX,NYY,SKIP,,null_zone,0.2698,0.2929,-0.0231,False,3,0
2026-04-29,BOS @ TOR,TOR,GOLD,,win,0.3564,0.3706,-0.0142,True,8,1
2026-04-29,MIA @ LAD,LAD,PLATINUM,,bad_beat,0.3172,0.2583,0.0589,False,2,3
2026-04-29,CHC @ SD,CHC,GOLD,,win,0.3095,0.2869,0.0226,True,4,5
2026-04-29,COL @ CIN,CIN,GOLD,,bad_read,0.2925,0.4175,-0.125,False,2,13
2026-04-29,STL @ PIT,PIT,GOLD,,null_zone,0.2727,0.2933,-0.0206,False,4,5
2026-04-29,WSH @ NYM,WSH,SKIP,,win,0.353,0.3527,0.0003,True,2,14
2026-04-29,DET @ ATL,ATL,GOLD,,bad_beat,0.371,0.2847,0.0863,False,2,3
2026-04-29,KC @ OAK,OAK,SKIP,,win,0.3285,0.1948,0.1337,True,5,2
2026-04-30,DET @ ATL,ATL,GOLD,,bad_read,0.2219,0.34,-0.1181,False,2,5
2026-04-30,HOU @ BAL,BAL,SKIP,,bad_read,0.2837,0.3911,-0.1074,False,5,11
2026-04-30,HOU @ BAL,HOU,SKIP,,win,0.3911,0.2837,0.1074,True,5,11
2026-04-30,STL @ PIT,PIT,GOLD,,bad_read,0.3438,0.3894,-0.0456,False,5,10
