pitcher,n,stuff_plus,location_plus,name
656730,774,105.26887,100.74121,Trevor Megill
661403,760,105.15226,100.093346,Emmanuel Clase
670970,1082,105.130005,100.427216,Adrian Morejon
642207,1161,105.07169,100.435875,Devin Williams
643511,991,104.702736,100.57123,Tyler Rogers
671922,1257,104.41585,100.567894,Cade Smith
547973,972,104.29053,99.61962,Aroldis Chapman
656945,914,104.275696,100.50802,Tanner Scott
642585,626,104.22247,98.52506,Félix Bautista
554430,2463,104.12804,100.91996,Zack Wheeler
678495,826,104.050064,100.352516,Randy Rodríguez
663158,1140,103.88207,100.52608,Robert Suarez
669093,1291,103.67883,100.49168,Jeremiah Estrada
571948,1168,103.63515,101.174805,Hoby Milner
668881,1897,103.61778,100.595535,Hunter Greene
669373,3053,103.48389,100.677155,Tarik Skubal
594798,2684,103.44467,101.02104,Jacob deGrom
445276,916,103.39543,99.3397,Kenley Jansen
663893,1288,103.37596,98.89469,Brendon Little
643377,1124,103.33821,101.16475,Griffin Jax
552640,807,103.309654,101.82543,Andrew Kittredge
680885,1573,103.27966,101.14057,Spencer Schwellenbach
672282,1083,103.24879,101.31586,Reid Detmers
664854,995,103.20699,99.91198,Ryan Helsley
681911,1059,103.00911,100.23863,Alex Vesia
664285,2977,102.916504,99.8728,Framber Valdez
681517,1368,102.84109,100.06193,Kyle Leahy
689147,1105,102.79948,100.299255,Orion Kerkering
455119,643,102.65934,101.57364,Chris Martin
660271,842,102.65135,100.18703,Shohei Ohtani
686973,1119,102.58141,100.40563,Louis Varland
650911,2988,102.57152,100.36753,Cristopher Sánchez
673513,1083,102.550804,100.210686,Yuki Matsui
657612,941,102.539154,100.63006,Tim Hill
592773,1087,102.481865,99.68147,Ryne Stanek
657044,666,102.45851,99.840805,Ryan Thompson
666374,867,102.4583,99.51905,Matt Brash
666974,994,102.44815,100.407616,Yennier Cano
682243,1617,102.404594,99.83368,Bryce Miller
571946,711,102.363014,100.663536,Shelby Miller
640448,924,102.305954,100.83302,Kyle Finnegan
695243,1026,102.28632,99.2699,Mason Miller
686580,540,102.28595,100.223495,Justin Slaten
665795,2252,102.25128,99.83687,Edward Cabrera
676477,1226,102.18338,100.39666,Garrett Whitlock
