game_pk,game_date,home_team,away_team,home_xwoba,away_xwoba,home_score,away_score,n_pa_home,n_pa_away,source_pulled_at
822825,2026-04-27,TOR,BOS,0.102,0.3509,0,5,29,40,2026-05-28T05:25:08+00:00
822906,2026-04-27,TEX,NYY,0.2928,0.4318,2,4,36,38,2026-05-28T05:25:08+00:00
823311,2026-04-27,SD,CHC,0.3449,0.358,9,7,41,39,2026-05-28T05:25:08+00:00
823395,2026-04-27,PIT,STL,0.2376,0.2551,2,4,34,34,2026-05-28T05:25:08+00:00
823719,2026-04-27,MIN,SEA,0.3918,0.3359,11,4,44,35,2026-05-28T05:25:08+00:00
823961,2026-04-27,LAD,MIA,0.3593,0.3269,3,4,39,38,2026-05-28T05:25:08+00:00
824446,2026-04-27,CLE,TB,0.2878,0.2636,2,3,34,37,2026-05-28T05:25:08+00:00
824609,2026-04-27,CHW,LAA,0.2702,0.431,8,7,36,44,2026-05-28T05:25:08+00:00
822823,2026-04-28,TOR,BOS,0.3151,0.1488,3,0,34,32,2026-05-28T05:25:08+00:00
822908,2026-04-28,TEX,NYY,0.2978,0.3522,2,3,39,33,2026-05-28T05:25:08+00:00
823310,2026-04-28,SD,CHC,0.255,0.3655,3,8,35,44,2026-05-28T05:25:08+00:00
823390,2026-04-28,PIT,STL,0.3901,0.4078,7,11,37,45,2026-05-28T05:25:08+00:00
823473,2026-04-28,PHI,SF,0.2919,0.1008,7,0,38,29,2026-05-28T05:25:08+00:00
823636,2026-04-28,NYM,WSH,0.3533,0.2164,8,0,36,32,2026-05-28T05:25:08+00:00
823716,2026-04-28,MIN,SEA,0.2801,0.3852,1,7,37,40,2026-05-28T05:25:08+00:00
823798,2026-04-28,MIL,AZ,0.3999,0.3036,13,2,41,33,2026-05-28T05:25:08+00:00
823956,2026-04-28,LAD,MIA,0.2912,0.2428,1,2,36,38,2026-05-28T05:25:08+00:00
824447,2026-04-28,CLE,TB,0.2227,0.243,0,1,31,37,2026-05-28T05:25:08+00:00
824526,2026-04-28,CIN,COL,0.3652,0.2809,7,2,34,36,2026-05-28T05:25:08+00:00
824610,2026-04-28,CHW,LAA,0.3961,0.3338,5,2,38,39,2026-05-28T05:25:08+00:00
824849,2026-04-28,BAL,HOU,0.3967,0.254,5,3,33,39,2026-05-28T05:25:08+00:00
824931,2026-04-28,ATL,DET,0.3029,0.3204,5,2,35,38,2026-05-28T05:25:08+00:00
825017,2026-04-28,OAK,KC,0.2799,0.3692,1,4,44,40,2026-05-28T05:25:08+00:00
822821,2026-04-29,TOR,BOS,0.3564,0.3706,8,1,37,37,2026-05-28T05:25:08+00:00
822907,2026-04-29,TEX,NYY,0.2929,0.2698,3,0,34,33,2026-05-28T05:25:08+00:00
823312,2026-04-29,SD,CHC,0.2869,0.3095,4,5,33,41,2026-05-28T05:25:08+00:00
823392,2026-04-29,PIT,STL,0.2727,0.2933,4,5,42,39,2026-05-28T05:25:08+00:00
823633,2026-04-29,NYM,WSH,0.3527,0.353,2,14,38,49,2026-05-28T05:25:08+00:00
823717,2026-04-29,MIN,SEA,0.2516,0.3051,3,5,40,39,2026-05-28T05:25:08+00:00
823796,2026-04-29,MIL,AZ,0.284,0.3579,2,6,37,41,2026-05-28T05:25:08+00:00
823958,2026-04-29,LAD,MIA,0.3172,0.2583,2,3,36,35,2026-05-28T05:25:08+00:00
824445,2026-04-29,CLE,TB,0.2562,0.1725,3,1,26,26,2026-05-28T05:25:08+00:00
824525,2026-04-29,CIN,COL,0.2925,0.4175,2,13,38,48,2026-05-28T05:25:08+00:00
824608,2026-04-29,CHW,LAA,0.2907,0.2046,2,2,40,35,2026-05-28T05:25:08+00:00
824930,2026-04-29,ATL,DET,0.371,0.2847,2,3,31,36,2026-05-28T05:25:08+00:00
825015,2026-04-29,OAK,KC,0.3285,0.1948,5,2,37,34,2026-05-28T05:25:08+00:00
823391,2026-04-30,PIT,STL,0.3438,0.3894,5,10,40,43,2026-05-28T05:25:08+00:00
823471,2026-04-30,PHI,SF,0.3804,0.3051,5,5,39,49,2026-05-28T05:25:08+00:00
823472,2026-04-30,PHI,SF,0.2938,0.2716,2,2,35,38,2026-05-28T05:25:08+00:00
823634,2026-04-30,NYM,WSH,0.3963,0.3142,4,5,34,36,2026-05-28T05:25:08+00:00
823714,2026-04-30,MIN,TOR,0.3596,0.2807,7,1,35,35,2026-05-28T05:25:08+00:00
823795,2026-04-30,MIL,AZ,0.3841,0.2047,13,1,43,34,2026-05-28T05:25:08+00:00
824524,2026-04-30,CIN,COL,0.3881,0.2834,6,4,34,35,2026-05-28T05:25:08+00:00
824848,2026-04-30,BAL,HOU,0.298,0.2692,10,3,37,39,2026-05-28T05:25:08+00:00
824850,2026-04-30,BAL,HOU,0.2837,0.3911,5,11,41,46,2026-05-28T05:25:08+00:00
824929,2026-04-30,ATL,DET,0.2219,0.34,2,5,36,45,2026-05-28T05:25:08+00:00
825016,2026-04-30,OAK,KC,0.2912,0.4004,6,3,36,42,2026-05-28T05:25:08+00:00
822744,2026-05-01,WSH,MIL,0.234,0.3027,1,6,33,46,2026-05-28T05:25:08+00:00
822990,2026-05-01,TB,SF,0.1954,0.1972,3,0,28,30,2026-05-28T05:25:08+00:00
823066,2026-05-01,STL,LAD,0.3563,0.3738,7,2,38,37,2026-05-28T05:25:08+00:00
823146,2026-05-01,SEA,KC,0.3309,0.3623,6,7,38,39,2026-05-28T05:25:08+00:00
823309,2026-05-01,SD,CHW,0.2832,0.4164,2,8,36,40,2026-05-28T05:25:08+00:00
823389,2026-05-01,PIT,CIN,0.4782,0.2467,9,1,43,32,2026-05-28T05:25:08+00:00
823557,2026-05-01,NYY,BAL,0.3843,0.2323,7,2,39,32,2026-05-28T05:25:08+00:00
823713,2026-05-01,MIN,TOR,0.3338,0.3524,3,7,39,41,2026-05-28T05:25:08+00:00
823877,2026-05-01,MIA,PHI,0.2937,0.3273,5,6,40,40,2026-05-28T05:25:08+00:00
824041,2026-05-01,LAA,NYM,0.1954,0.2897,3,4,31,35,2026-05-28T05:25:08+00:00
824287,2026-05-01,DET,TEX,0.2666,0.3381,4,5,38,39,2026-05-28T05:25:08+00:00
824366,2026-05-01,COL,ATL,0.3323,0.3941,6,8,38,40,2026-05-28T05:25:08+00:00
824686,2026-05-01,CHC,AZ,0.3771,0.3088,6,5,36,41,2026-05-28T05:25:08+00:00
824772,2026-05-01,BOS,HOU,0.3076,0.4025,3,1,33,37,2026-05-28T05:25:08+00:00
825012,2026-05-01,OAK,CLE,0.3432,0.3186,5,8,41,45,2026-05-28T05:25:08+00:00
822746,2026-05-02,WSH,MIL,0.2688,0.2879,1,4,36,40,2026-05-28T05:25:08+00:00
822988,2026-05-02,TB,SF,0.2844,0.3341,5,1,34,33,2026-05-28T05:25:08+00:00
823067,2026-05-02,STL,LAD,0.374,0.2902,3,2,34,35,2026-05-28T05:25:08+00:00
823144,2026-05-02,SEA,KC,0.2271,0.1731,2,3,37,38,2026-05-28T05:25:08+00:00
823308,2026-05-02,SD,CHW,0.2144,0.3499,0,4,35,33,2026-05-28T05:25:08+00:00
823388,2026-05-02,PIT,CIN,0.436,0.3547,17,7,53,40,2026-05-28T05:25:08+00:00
823554,2026-05-02,NYY,BAL,0.4375,0.3484,9,4,38,35,2026-05-28T05:25:08+00:00
823715,2026-05-02,MIN,TOR,0.2224,0.4087,4,11,33,41,2026-05-28T05:25:08+00:00
823876,2026-05-02,MIA,PHI,0.3363,0.1871,4,0,39,28,2026-05-28T05:25:08+00:00
824042,2026-05-02,LAA,NYM,0.2748,0.1961,3,3,43,36,2026-05-28T05:25:08+00:00
824284,2026-05-02,DET,TEX,0.3618,0.3761,5,1,37,35,2026-05-28T05:25:08+00:00
824365,2026-05-02,COL,ATL,0.2424,0.354,1,9,33,41,2026-05-28T05:25:08+00:00
824685,2026-05-02,CHC,AZ,0.3895,0.2298,2,0,31,32,2026-05-28T05:25:08+00:00
824771,2026-05-02,BOS,HOU,0.3964,0.3425,3,6,40,42,2026-05-28T05:25:08+00:00
825014,2026-05-02,OAK,CLE,0.3407,0.3246,6,14,40,48,2026-05-28T05:25:08+00:00
822742,2026-05-03,WSH,MIL,0.2436,0.2827,3,2,31,32,2026-05-28T05:25:56+00:00
822987,2026-05-03,TB,SF,0.2826,0.2709,1,1,36,36,2026-05-28T05:25:56+00:00
823065,2026-05-03,STL,LAD,0.3973,0.3093,1,4,35,39,2026-05-28T05:25:56+00:00
823145,2026-05-03,SEA,KC,0.2069,0.3978,1,4,33,39,2026-05-28T05:25:56+00:00
823307,2026-05-03,SD,CHW,0.2872,0.2803,4,3,32,35,2026-05-28T05:25:56+00:00
