player_id,name,bbe,la,ev,hard_hit_pct,xwoba,xba,xslg,sprint
457705,Andrew McCutchen,52.0,22.7,87.1,28.8,0.237,0.164,0.265,27.7
467793,Carlos Santana,16.0,29.5,87.8,43.8,0.187,0.141,0.192,23.7
500743,Miguel Rojas,80.0,12.1,86.0,31.3,0.308,0.277,0.358,26.2
502054,Tommy Pham,6.0,10.5,91.7,33.3,0.137,0.099,0.117,
502671,Paul Goldschmidt,90.0,14.1,89.1,46.7,0.386,0.285,0.521,24.7
506702,Sandy León,18.0,26.5,83.2,16.7,0.113,0.108,0.153,21.4
514888,Jose Altuve,130.0,8.3,86.3,36.9,0.314,0.251,0.374,27.9
516782,Starling Marte,43.0,8.4,91.3,37.2,0.303,0.245,0.374,25.3
518595,Travis d'Arnaud,28.0,14.2,87.7,32.1,0.337,0.23,0.436,25.0
518692,Freddie Freeman,179.0,11.6,91.4,46.4,0.376,0.278,0.5,25.0
519317,Giancarlo Stanton,61.0,21.5,94.1,44.3,0.326,0.245,0.466,23.8
521692,Salvador Perez,178.0,16.9,88.7,39.9,0.293,0.224,0.394,24.0
542303,Marcell Ozuna,116.0,23.3,89.8,40.5,0.308,0.222,0.4,25.8
543309,Kyle Higashioka,65.0,14.9,89.1,41.5,0.295,0.233,0.366,24.4
543510,James McCann,44.0,5.4,90.6,45.5,0.208,0.181,0.282,25.5
543760,Marcus Semien,174.0,18.1,86.2,35.1,0.321,0.26,0.427,28.2
543807,George Springer,124.0,14.1,87.7,37.9,0.301,0.225,0.378,26.6
543877,Christian Vázquez,99.0,15.1,86.3,23.2,0.261,0.219,0.297,23.1
545121,Ildemaro Vargas,188.0,11.4,86.7,31.9,0.32,0.294,0.413,27.1
545341,Randal Grichuk,58.0,14.5,90.3,44.8,0.376,0.306,0.551,27.1
545361,Mike Trout,149.0,20.6,91.3,49.7,0.42,0.258,0.571,28.6
547180,Bryce Harper,167.0,12.4,89.7,43.1,0.414,0.291,0.575,27.0
553869,Elias Díaz,17.0,15.0,88.4,41.2,0.298,0.238,0.416,23.9
553993,Eugenio Suárez,81.0,21.1,86.4,25.9,0.289,0.208,0.352,25.8
571448,Nolan Arenado,145.0,19.0,85.5,31.7,0.336,0.267,0.415,25.4
571657,Kyle Farmer,11.0,7.0,81.6,27.3,0.247,0.274,0.316,24.3
571771,Enrique Hernández,4.0,2.1,91.7,75.0,0.78,0.543,1.322,
571970,Max Muncy,127.0,13.5,91.1,48.8,0.388,0.264,0.549,27.1
572233,Christian Walker,176.0,14.8,90.8,46.6,0.332,0.246,0.45,25.7
573262,Mike Yastrzemski,111.0,16.0,90.4,38.7,0.294,0.237,0.33,27.1
575929,Willson Contreras,142.0,15.8,90.3,43.7,0.396,0.276,0.523,27.0
592206,Nick Castellanos,83.0,13.0,87.7,37.3,0.285,0.244,0.4,27.2
592450,Aaron Judge,143.0,14.6,94.1,57.3,0.415,0.27,0.6,26.7
592518,Manny Machado,156.0,11.0,89.8,43.6,0.314,0.231,0.397,24.6
592626,Joc Pederson,115.0,14.1,91.3,46.1,0.349,0.249,0.401,25.4
592663,J.T. Realmuto,103.0,11.2,88.3,39.8,0.306,0.246,0.359,28.2
592885,Christian Yelich,76.0,2.6,88.8,36.8,0.292,0.215,0.373,27.2
593428,Xander Bogaerts,166.0,8.0,87.5,35.5,0.324,0.257,0.406,27.2
593871,Jorge Polanco,45.0,10.9,87.3,33.3,0.27,0.219,0.32,25.3
595879,Javier Báez,63.0,10.2,84.7,28.6,0.294,0.272,0.361,27.2
595978,Austin Hedges,64.0,4.7,86.4,34.4,0.274,0.239,0.284,24.5
596019,Francisco Lindor,74.0,14.8,90.9,43.2,0.34,0.253,0.433,26.9
596103,Austin Slater,29.0,11.9,85.7,13.8,0.233,0.18,0.246,27.8
596115,Trevor Story,110.0,12.9,88.9,41.8,0.248,0.212,0.309,27.9
596117,Garrett Stubbs,17.0,11.4,89.6,41.2,0.269,0.221,0.27,25.2
596142,Gary Sánchez,69.0,17.5,87.3,33.3,0.348,0.208,0.408,24.4
600869,Jeimer Candelario,10.0,18.2,91.8,40.0,0.218,0.167,0.213,26.3
602104,Ramón Urías,46.0,17.7,89.5,37.0,0.306,0.186,0.374,26.7
605137,Josh Bell,162.0,14.3,89.9,42.6,0.304,0.231,0.4,25.6
605141,Mookie Betts,92.0,18.4,90.0,37.0,0.33,0.264,0.432,26.2
605170,Victor Caratini,110.0,11.5,88.7,37.3,0.328,0.246,0.366,24.2
605244,Aramis Garcia,9.0,5.5,82.5,22.2,0.19,0.19,0.245,25.9
606115,Orlando Arcia,22.0,7.3,86.5,27.3,0.269,0.25,0.336,25.3
606192,Teoscar Hernández,128.0,12.4,89.8,45.3,0.339,0.259,0.437,28.4
606466,Ketel Marte,194.0,9.6,90.7,44.8,0.377,0.306,0.511,26.3
606992,Eric Haase,26.0,16.7,85.9,30.8,0.383,0.288,0.576,28.1
607043,Brandon Nimmo,175.0,10.5,91.9,51.4,0.381,0.287,0.517,28.2
607208,Trea Turner,186.0,11.6,89.6,40.3,0.288,0.239,0.365,30.0
608070,José Ramírez,197.0,20.0,90.6,44.4,0.37,0.288,0.467,27.6
608324,Alex Bregman,197.0,14.3,88.5,41.1,0.322,0.259,0.392,25.9
608348,Carson Kelly,117.0,13.4,89.3,40.2,0.317,0.248,0.379,25.7
608369,Corey Seager,108.0,12.6,91.1,45.4,0.33,0.224,0.442,25.0
608701,Rob Refsnyder,53.0,20.2,87.3,37.7,0.259,0.161,0.311,26.8
609280,Miguel Andujar,142.0,7.2,88.5,37.3,0.288,0.257,0.372,27.4
620443,Luis Torrens,76.0,6.9,89.5,42.1,0.259,0.218,0.293,26.3
621020,Dansby Swanson,144.0,15.6,89.9,42.4,0.3,0.2,0.359,28.0
621043,Carlos Correa,97.0,7.2,89.2,41.2,0.364,0.289,0.459,27.2
621438,Tyrone Taylor,82.0,20.5,86.2,30.5,0.248,0.207,0.342,29.0
621439,Byron Buxton,154.0,22.9,89.9,46.1,0.326,0.228,0.47,29.8
621493,Taylor Ward,163.0,13.4,88.9,38.7,0.347,0.246,0.359,27.4
621550,Patrick Wisdom,10.0,29.2,96.0,70.0,0.263,0.171,0.402,
621566,Matt Olson,179.0,18.2,93.5,51.4,0.379,0.264,0.549,25.4
622268,Donovan Walton,26.0,10.6,86.3,38.5,0.32,0.273,0.419,26.5
622761,Jorge Mateo,57.0,10.2,89.7,47.4,0.361,0.295,0.504,30.4
623168,Tyler Heineman,57.0,12.5,82.8,15.8,0.208,0.172,0.223,25.9
624413,Pete Alonso,174.0,14.7,95.2,55.7,0.366,0.266,0.512,25.2
624424,Michael Conforto,55.0,19.6,94.8,54.5,0.389,0.269,0.528,26.2
624428,Adam Frazier,55.0,15.6,83.5,16.4,0.238,0.179,0.247,26.2
624431,Jose Trevino,26.0,10.8,84.7,26.9,0.207,0.19,0.246,23.6
624512,Reese McGuire,21.0,18.8,74.3,9.5,0.243,0.186,0.215,25.2
624585,Jorge Soler,141.0,14.0,87.9,41.1,0.307,0.223,0.393,25.5
624641,Edmundo Sosa,69.0,8.8,87.4,40.6,0.348,0.298,0.474,28.3
628451,Andy Ibáñez,22.0,13.6,86.3,18.2,0.164,0.152,0.205,27.3
630105,Jake Cronenworth,74.0,7.1,87.4,32.4,0.304,0.218,0.325,28.8
640492,José Azócar,12.0,5.6,86.8,25.0,0.3,0.28,0.344,28.4
640902,Jhonny Pereda,32.0,17.7,90.8,46.9,0.389,0.34,0.483,24.1
641343,Jake Bauers,135.0,8.2,92.0,53.3,0.355,0.263,0.482,27.0
641355,Cody Bellinger,185.0,19.8,89.5,38.4,0.375,0.289,0.458,27.5
641487,J.P. Crawford,146.0,12.7,88.4,36.3,0.35,0.247,0.408,25.4
641555,J.C. Escarra,47.0,10.2,89.0,31.9,0.289,0.23,0.346,26.2
641584,Jake Fraley,57.0,23.0,84.1,21.4,0.277,0.203,0.346,28.4
641598,Mitch Garver,48.0,17.9,90.9,54.2,0.295,0.177,0.314,25.3
641680,Jonah Heim,59.0,15.9,85.9,25.4,0.283,0.22,0.351,25.3
641857,Ryan McMahon,99.0,13.0,90.3,48.5,0.285,0.217,0.375,25.7
641933,Tyler O'Neill,70.0,23.2,87.7,37.1,0.277,0.188,0.315,27.9
642086,Dominic Smith,109.0,16.0,89.2,37.6,0.362,0.304,0.487,25.9
642201,Eli White,56.0,4.7,86.7,32.1,0.283,0.252,0.347,30.4
642215,Weston Wilson,28.0,22.7,86.7,35.7,0.297,0.198,0.322,27.2
642350,Jose Siri,16.0,20.6,86.9,50.0,0.338,0.262,0.499,29.2
642708,Amed Rosario,73.0,12.7,91.0,41.1,0.326,0.243,0.475,28.6
642715,Willy Adames,172.0,21.7,89.0,42.4,0.297,0.23,0.408,27.7
642851,Austin Wynns,30.0,23.5,85.4,26.7,0.285,0.222,0.365,24.9
643217,Andrew Benintendi,124.0,18.0,89.1,48.4,0.313,0.246,0.425,26.5
643289,Mauricio Dubón,173.0,16.5,86.9,28.3,0.302,0.255,0.372,26.6
643376,Danny Jansen,84.0,22.3,87.7,33.3,0.254,0.167,0.273,26.9
643396,Isiah Kiner-Falefa,65.0,11.4,85.0,29.2,0.319,0.279,0.362,27.4
643446,Jeff McNeil,158.0,11.7,86.5,31.6,0.308,0.27,0.349,25.6
644433,Chadwick Tromp,18.0,14.8,87.2,27.8,0.165,0.162,0.219,24.7
645277,Ozzie Albies,210.0,17.2,86.5,26.2,0.3,0.25,0.375,27.1
645302,Victor Robles,20.0,6.7,82.7,25.0,0.28,0.275,0.373,29.1
646240,Rafael Devers,159.0,11.8,91.7,49.7,0.291,0.222,0.403,26.0
647304,Josh Naylor,192.0,13.8,87.6,38.0,0.333,0.282,0.422,24.5
650333,Luis Arraez,225.0,14.9,87.5,21.3,0.31,0.294,0.371,26.7
650391,Eloy Jiménez,25.0,5.6,89.2,44.0,0.256,0.214,0.289,26.0
650402,Gleyber Torres,99.0,5.9,83.6,28.3,0.354,0.265,0.393,25.1
650489,Willi Castro,119.0,16.9,89.3,46.2,0.285,0.217,0.349,28.3
650490,Yandy Díaz,180.0,5.9,90.5,46.1,0.374,0.29,0.486,25.7
650859,Luis Rengifo,143.0,4.2,87.4,35.7,0.295,0.251,0.34,27.2
650968,Yohel Pozo,30.0,14.0,87.6,26.7,0.244,0.254,0.307,24.6
655316,Andruw Monasterio,70.0,20.0,87.7,38.6,0.287,0.248,0.355,26.7
656305,Matt Chapman,169.0,11.3,87.4,33.1,0.269,0.207,0.298,28.0
656413,,,,,,0.0,,,
656484,Tristan Gray,70.0,15.2,90.2,44.3,0.305,0.248,0.394,26.4
656537,Derek Hill,47.0,16.0,89.0,31.9,0.296,0.227,0.363,29.2
656555,Rhys Hoskins,87.0,22.9,88.6,44.8,0.308,0.178,0.33,24.9
656577,Alex Jackson,8.0,21.0,88.1,37.5,0.185,0.188,0.233,
656582,Connor Joe,22.0,17.5,92.1,45.5,0.369,0.281,0.435,26.7
656716,Zach McKinstry,95.0,13.8,84.3,21.1,0.257,0.202,0.278,27.4
656775,Cedric Mullins,143.0,29.2,87.8,28.4,0.245,0.179,0.272,27.5
656811,Ryan O'Hearn,132.0,11.9,90.3,44.7,0.358,0.279,0.454,26.8
656941,Kyle Schwarber,129.0,22.1,92.8,50.4,0.381,0.233,0.541,25.8
656976,Pavin Smith,6.0,23.7,89.5,50.0,0.273,0.127,0.174,
657041,Lane Thomas,84.0,23.3,86.1,34.5,0.309,0.221,0.317,28.9
657136,Connor Wong,51.0,12.6,87.6,37.3,0.286,0.217,0.33,27.4
657656,Ramón Laureano,119.0,12.1,88.0,41.2,0.312,0.222,0.409,28.0
657757,Gavin Sheets,125.0,16.3,89.6,44.8,0.338,0.245,0.437,26.6
660162,Yoán Moncada,66.0,15.8,90.3,40.9,0.27,0.169,0.286,26.4
660271,Shohei Ohtani,159.0,12.4,93.4,52.2,0.408,0.294,0.537,27.4
660644,Vidal Bruján,9.0,25.5,80.8,11.1,0.218,0.146,0.225,25.7
660670,Ronald Acuña Jr.,129.0,16.7,90.3,45.7,0.397,0.262,0.523,27.2
660688,Keibert Ruiz,102.0,17.1,90.2,42.2,0.26,0.219,0.364,25.4
660710,Rodolfo Durán,14.0,28.6,87.8,42.9,0.351,0.197,0.457,
660821,Jesús Sánchez,133.0,10.5,91.2,45.9,0.341,0.286,0.469,26.2
660844,Leo Rivas,66.0,20.2,86.2,13.6,0.239,0.15,0.214,27.4
661388,William Contreras,187.0,11.6,90.2,43.3,0.338,0.28,0.427,25.1
662139,Daulton Varsho,163.0,14.6,86.0,38.0,0.302,0.252,0.363,27.2
663330,Jahmai Jones,50.0,13.9,91.5,48.0,0.321,0.244,0.416,28.4
663368,Blake Perkins,48.0,14.1,85.4,33.3,0.241,0.183,0.262,28.4
663494,Bryan Torres,22.0,13.5,86.2,27.3,0.37,0.319,0.453,27.5
663538,Nico Hoerner,223.0,12.6,85.7,27.8,0.339,0.296,0.378,28.3
663584,Hayden Senger,13.0,-3.1,82.3,23.1,0.181,0.15,0.281,24.8
663586,Austin Riley,152.0,19.1,91.1,45.4,0.301,0.213,0.394,27.8
663604,Brandon Lockridge,61.0,1.2,86.2,32.8,0.277,0.234,0.284,29.2
663609,Luken Baker,2.0,28.6,92.2,50.0,0.123,0.132,0.15,
663611,Nick Madrigal,9.0,14.3,87.6,22.2,0.277,0.239,0.291,
663616,Trevor Larnach,116.0,11.3,86.3,29.3,0.323,0.241,0.357,26.8
663624,Ryan Mountcastle,12.0,8.8,90.0,41.7,0.301,0.279,0.348,26.2
663647,Ke'Bryan Hayes,100.0,15.8,90.5,39.0,0.312,0.259,0.409,27.0
663656,Kyle Tucker,169.0,16.9,89.0,39.6,0.323,0.246,0.368,26.4
663697,Jonathan India,35.0,28.3,85.7,31.4,0.285,0.173,0.289,27.7
663698,Joey Bart,38.0,15.2,86.9,36.8,0.256,0.208,0.347,26.6
663728,Cal Raleigh,106.0,23.1,87.5,31.1,0.289,0.18,0.387,25.8
663743,Nick Fortes,119.0,6.4,87.3,41.2,0.267,0.247,0.317,26.7
663757,Trent Grisham,153.0,16.7,90.6,45.1,0.343,0.233,0.425,26.7
663837,Matt Vierling,130.0,16.6,87.1,34.6,0.318,0.257,0.392,28.3
663886,Tyler Stephenson,103.0,23.0,90.1,42.7,0.321,0.218,0.415,26.9
663897,,,,,,0.702,,,
663967,César Salazar,15.0,11.2,88.6,33.3,0.329,0.237,0.328,
