date,matchup,decision,verdict,final_score,model_pick,in_sample
2026-05-11,SEA @ HOU,OVERRIDE,LOSS,3-1,HOU ML GOLD,in_sample
2026-05-12,COL @ PIT,OVERRIDE,LOSS,1-3,COL ML SKIP,in_sample
2026-05-12,DET @ NYM,OVERRIDE,LOSS,2-10,DET ML SKIP,in_sample
2026-05-12,SEA @ HOU,OVERRIDE,LOSS,10-2,HOU ML GOLD,in_sample
2026-05-14,DET @ NYM,OVERRIDE,LOSS,4-9,DET ML GOLD,in_sample
2026-05-18,CHW @ SEA,OVERRIDE,LOSS,1-6,CHW ML SKIP,in_sample
2026-06-08,PHI @ TOR,OVERRIDE,WIN,5-2,TOR ML SKIP,out_of_sample
2026-06-08,WSH @ SF,OVERRIDE,LOSS,4-3,WSH ML SKIP,out_of_sample
2026-06-10,SEA @ BAL,OVERRIDE,LOSS,2-7,BAL ML SKIP,out_of_sample
2026-06-10,PHI @ TOR,OVERRIDE,WIN,7-4,TOR ML SKIP,out_of_sample
2026-06-11,TEX @ KC,OVERRIDE,LOSS,4-2,TEX ML SKIP,out_of_sample
2026-06-13,ATL @ NYM,OVERRIDE,WIN,3-1,ATL ML SKIP,out_of_sample
2026-06-13,TB @ LAA,OVERRIDE,LOSS,0-8,TB ML GOLD,out_of_sample
2026-06-20,NYM @ PHI,OVERRIDE,WIN,3-15,NYM ML SKIP,out_of_sample
2026-06-21,NYM @ PHI,OVERRIDE,WIN,2-6,NYM ML SKIP,out_of_sample
2026-07-09,PHI @ CIN,OVERRIDE,LOSS,1-0,CIN ML SKIP,out_of_sample
2026-07-20,CHW @ TEX,OVERRIDE,LOSS,10-3,TEX ML GOLD,out_of_sample
