matchup,pick,f5_prob,full_prob,p_model,fair_prob,edge_pp,ev_per_dollar,tier,signals,why_skipped
DET @ ATL,ATL,0.6398,0.6683,0.6683,,,,GOLD,F3_swing_take_gap=930.4,tier GOLD -> stake_mult=0
HOU @ BAL,BAL,0.4973,0.5147,0.5147,,,,SKIP,,tier SKIP -> stake_mult=0
HOU @ BAL,HOU,0.8037,0.4323,0.5677,,,,SKIP,,tier SKIP -> stake_mult=0
STL @ PIT,PIT,0.5011,0.5995,0.5995,,,,GOLD,F3_swing_take_gap=656.0,tier GOLD -> stake_mult=0
SF @ PHI,PHI,0.6541,0.5532,0.5532,,,,GOLD,F3_swing_take_gap=1449.1,tier GOLD -> stake_mult=0
SF @ PHI,PHI,0.591,0.6371,0.6371,,,,GOLD,F3_swing_take_gap=1449.1,tier GOLD -> stake_mult=0
COL @ CIN,COL,0.69,0.4865,0.5135,,,,GOLD,F3_swing_take_gap=1546.8,tier GOLD -> stake_mult=0
WSH @ NYM,WSH,0.5365,0.3215,0.6785,,,,SKIP,,tier SKIP -> stake_mult=0
ARI @ MIL,MIL,0.5749,0.6338,0.6338,,,,SKIP,,tier SKIP -> stake_mult=0
KC @ OAK,OAK,0.6632,0.6689,0.6689,,,,SKIP,,tier SKIP -> stake_mult=0
TOR @ MIN,TOR,0.3224,0.4537,0.5463,,,,GOLD,F3_swing_take_gap=1043.7,tier GOLD -> stake_mult=0
