matchup,pick,f5_prob,full_prob,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,tier,signals,why_skipped,odds_status
BAL @ NYY,NYY,0.4557,0.5751,0.5751,0.5751,0.5253,1668.0,0.7011,-12.6,-0.1691,PLATINUM,"F2_xwoba_gap=0.021, F3_swing_take_gap=3965.4","edge -12.60pp outside [4,15]pp",fetched
TOR @ MIN,TOR,0.5011,0.431,0.569,0.569,0.5313,1607.0,0.5007,6.83,0.0961,GOLD,F3_swing_take_gap=1264.5,tier GOLD -> stake_mult=0,fetched
ARI @ CHC,CHC,0.8492,0.675,0.675,0.675,0.7206,0.0,0.6088,6.63,0.1024,SKIP,,tier SKIP -> stake_mult=0,fetched
CLE @ OAK,OAK,0.4924,0.7895,0.7895,0.7895,0.7328,0.0,0.4707,31.88,0.5947,SKIP,,"model_prob 0.789 outside [0.48,0.72] | edge +31.88pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched
CIN @ PIT,PIT,0.6138,0.6062,0.6062,0.6062,0.493,1796.0,0.5278,7.84,0.1114,GOLD,F3_swing_take_gap=580.2,tier GOLD -> stake_mult=0,fetched
MIL @ WSH,WSH,0.4439,0.549,0.549,0.549,0.5654,1585.0,0.4383,11.07,0.1748,GOLD,F3_swing_take_gap=1281.4,tier GOLD -> stake_mult=0,fetched
HOU @ BOS,HOU,0.4653,0.4573,0.5427,0.5427,0.5232,1893.0,0.3878,15.48,0.2753,GOLD,F2_xwoba_gap=0.024,"fair_prob 0.388 < 0.42 | edge +15.48pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched
PHI @ MIA,MIA,0.5718,0.5274,0.5274,0.5274,0.4819,1670.0,0.415,11.24,0.1813,SKIP,,fair_prob 0.415 < 0.42 | tier SKIP -> stake_mult=0,fetched
SF @ TB,TB,0.6013,0.6743,0.6743,0.6743,0.6563,1573.0,0.5385,13.58,0.2229,GOLD,F3_swing_take_gap=386.1,tier GOLD -> stake_mult=0,fetched
LAD @ STL,LAD,0.5123,0.4687,0.5313,0.5313,0.5313,1501.0,0.5801,-4.87,-0.0984,GOLD,F2_xwoba_gap=0.026,"edge -4.87pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched
TEX @ DET,TEX,0.5917,0.4567,0.5433,0.5433,0.5035,1583.0,0.479,6.43,0.076,GOLD,F3_swing_take_gap=2900.3,tier GOLD -> stake_mult=0,fetched
ATL @ COL,COL,0.392,0.6354,0.6354,0.6354,0.5962,1481.0,0.37,26.55,0.56,SKIP,,"fair_prob 0.370 < 0.42 | edge +26.55pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched
CHW @ SD,SD,0.5594,0.6563,0.6563,0.6563,0.6563,0.0,0.6495,0.68,0.015,SKIP,,"edge +0.68pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched
NYM @ LAA,LAA,0.4805,0.5146,0.5146,0.5146,0.5177,1795.0,0.4413,7.32,0.0935,GOLD,F3_swing_take_gap=99.5,tier GOLD -> stake_mult=0,fetched
KC @ SEA,KC,0.6176,0.435,0.565,0.565,0.5313,1729.0,0.4642,10.08,0.1555,GOLD,F3_swing_take_gap=1999.2,tier GOLD -> stake_mult=0,fetched
