matchup,pick,f5_prob,full_prob,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,tier,signals,why_skipped,odds_status,stress_warnings,confidence_downgrade
LAA @ TOR,TOR,0.5953,0.6743,0.6743,0.6743,0.6384,2109.0,0.4814,19.3,0.3355,SKIP,,"edge +19.30pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,False
OAK @ BAL,OAK,0.4444,0.4297,0.5703,0.5703,0.5313,2640.0,0.8316,-26.13,-0.31,SKIP,,"edge -26.13pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,False
HOU @ CIN,HOU,0.853,0.4747,0.5253,0.5253,0.5313,2133.0,,,2.8216,SKIP,,tier SKIP -> stake_mult=0,fetched_capped,,False
WSH @ MIA,MIA,0.589,0.5501,0.5501,0.5501,0.5619,2381.0,0.174,37.61,1.3161,SKIP,,"fair_prob 0.174 < 0.42 | edge +37.61pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,False
COL @ PHI,COL,0.5091,0.4912,0.5088,0.5088,0.5065,2004.0,0.3496,15.92,0.2999,GOLD,F3_swing_take_gap=425.5,"fair_prob 0.350 < 0.42 | edge +15.92pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,bullpen_fatigue,True
MIN @ CLE,CLE,0.4093,0.5719,0.5719,0.5719,0.5238,2561.0,0.5266,4.52,0.0525,SKIP,,tier SKIP -> stake_mult=0,fetched,bullpen_fatigue,True
CHC @ TEX,CHC,0.4995,0.491,0.509,0.509,0.5018,1895.0,0.5531,-4.41,-0.0994,GOLD,"F1_xera_gap=0.80*, F2_xwoba_gap=0.025","edge -4.41pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,False
DET @ KC,DET,0.4087,0.4867,0.5133,0.5133,0.5295,2288.0,0.4348,7.85,0.1113,GOLD,F2_xwoba_gap=0.021,tier GOLD -> stake_mult=0,fetched,acute_roster,True
SEA @ CHW,CHW,0.5265,0.5684,0.5684,0.5684,0.5685,1928.0,0.4482,12.02,0.2023,SKIP,,tier SKIP -> stake_mult=0,fetched,,False
NYY @ MIL,NYY,0.5938,0.458,0.542,0.542,0.5313,1651.0,0.562,-2.0,-0.0581,GOLD,"F1_xera_gap=1.68*, F2_xwoba_gap=0.031","edge -2.00pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,bullpen_fatigue,True
NYM @ ARI,ARI,0.3144,0.6743,0.6743,0.6743,0.6563,2156.0,0.4987,17.57,0.2987,SKIP,,"edge +17.57pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,False
STL @ SD,STL,0.3358,0.446,0.554,0.554,0.6281,2199.0,0.4248,12.92,0.2161,SKIP,,tier SKIP -> stake_mult=0,fetched,,False
PIT @ SF,PIT,0.5781,0.3092,0.6908,0.6908,0.6844,2303.0,0.5027,18.81,0.3187,GOLD,F2_xwoba_gap=0.031,"edge +18.81pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,False
ATL @ LAD,LAD,0.5011,0.5506,0.5506,0.5506,0.6176,1937.0,0.6455,-9.49,-0.1467,SKIP,sp_savant_gate=HARD_VETO,"edge -9.49pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,bullpen_fatigue,True
TB @ BOS,TB,0.451,0.4649,0.5351,0.5351,0.5012,1834.0,,,,GOLD,F3_swing_take_gap=911.8,tier GOLD -> stake_mult=0,no_match,,False
