matchup,pick,f5_prob,full_prob,f5_full_delta,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,kelly_full,kelly_quarter,kelly_eighth,ump_k_pct_delta,ump_bb_pct_delta,tier,signals,why_skipped,odds_status,stress_warnings,confidence_downgrade
LAA @ CLE,CLE,0.5558,0.5794,0.0237,0.5794,0.5794,0.4984,2794.0,0.5698,0.96,-0.0006,0.0,0.0,0.0,0.0,0.0,SKIP,,"edge +0.96pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,bullpen_fatigue,True
NYY @ BAL,NYY,0.4033,0.4492,0.0459,0.5508,0.5508,0.5313,2333.0,0.578,-2.71,-0.0585,0.0,0.0,0.0,0.0,0.0,GOLD,F2_xwoba_gap=0.027,"edge -2.71pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,bullpen_fatigue,True
WSH @ CIN,WSH,0.566,0.475,0.0909,0.525,0.525,0.4961,2556.0,0.4206,10.44,0.1602,0.1324,0.0331,0.0165,0.0,0.0,GOLD,F3_swing_take_gap=1046.4,tier GOLD -> stake_mult=0,fetched,,False
COL @ PIT,COL,0.6941,0.4828,0.2113,0.5172,0.5172,0.4716,2106.0,0.2336,28.36,0.7947,0.25,0.0804,0.0402,0.0,0.0,SKIP,,"fair_prob 0.234 < 0.42 | edge +28.36pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,False
TB @ TOR,TB,0.519,0.4748,0.0442,0.5252,0.5252,0.5313,1886.0,0.5153,0.99,-0.0181,0.0,0.0,0.0,0.0,0.0,GOLD,F3_swing_take_gap=1045.8,"edge +0.99pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,True
DET @ NYM,DET,0.8091,0.4807,0.3285,0.5193,0.5193,0.5313,2211.0,0.4134,10.59,0.1658,0.1332,0.0333,0.0167,0.0,0.0,SKIP,,fair_prob 0.413 < 0.42 | tier SKIP -> stake_mult=0,fetched,acute_roster;bullpen_fatigue,True
CHC @ ATL,ATL,0.6783,0.6315,0.0468,0.6315,0.6315,0.6267,1989.0,0.5308,10.07,0.1579,0.1894,0.0473,0.0237,0.0,0.0,GOLD,F3_swing_take_gap=780.7,tier GOLD -> stake_mult=0,fetched,acute_roster,True
KC @ CHW,TBD,,,,,,,,,,,,,,,,PENDING_SP_DATA,thin_sp_data,Stephen Kolek has only 0 Statcast pitches season-to-date; need 100+ to score,pending_sp_data,,False
MIA @ MIN,MIA,0.6474,0.4357,0.2118,0.5643,0.5643,0.5313,2466.0,0.4925,7.18,0.0995,0.1049,0.0262,0.0131,0.0,0.0,SKIP,,tier SKIP -> stake_mult=0,fetched,,False
SD @ MIL,MIL,0.4726,0.6077,0.1351,0.6077,0.6077,0.6152,1678.0,0.5489,5.88,0.0826,0.1057,0.0264,0.0132,0.0,0.0,SKIP,,tier SKIP -> stake_mult=0,fetched,bullpen_fatigue,True
ARI @ TEX,ARI,0.6411,0.4567,0.1844,0.5433,0.5433,0.5273,2182.0,0.4565,8.68,0.1274,0.1185,0.0296,0.0148,0.0,0.0,SKIP,,tier SKIP -> stake_mult=0,fetched,,False
SEA @ HOU,HOU,0.71,0.6503,0.0597,0.6503,0.6503,0.6563,2202.0,0.376,27.44,0.5706,0.25,0.1008,0.0504,0.0,0.0,GOLD,F3_swing_take_gap=1796.0,"fair_prob 0.376 < 0.42 | edge +27.44pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,acute_roster,True
STL @ OAK,STL,0.6746,0.4952,0.1794,0.5048,0.5048,0.5313,2785.0,0.4015,10.33,0.1585,0.1224,0.0306,0.0153,0.0,0.0,SKIP,,fair_prob 0.401 < 0.42 | tier SKIP -> stake_mult=0,fetched,,False
SF @ LAD,LAD,0.6471,0.8698,0.2228,0.8698,0.8698,0.6826,2319.0,0.7718,9.8,0.1551,0.25,0.1182,0.0591,0.0,0.0,PLATINUM,"F1_xera_gap=1.52*, F2_xwoba_gap=0.050, F3_swing_take_gap=9589.3","model_prob 0.870 outside [0.48,0.72]",fetched,,False
PHI @ BOS,TBD,,,,,,,,,,,,,,,,PENDING_SP_DATA,thin_sp_data,Probable SP not yet announced for BOS (home); will fill in next workflow run (needs 100+ Statcast pitches once announced to score),pending_sp_data,,False
