matchup,pick,f5_prob,full_prob,f5_full_delta,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,kelly_full,kelly_quarter,kelly_eighth,ump_k_pct_delta,ump_bb_pct_delta,home_lineup_concentration,away_lineup_concentration,hl_bullpen_xwoba_gap,pen_strain_pick_side,tier,signals,why_skipped,odds_status,stress_warnings,confidence_downgrade,grade,grade_score,grade_reasons,pre_cap_score,pre_cap_grade,pqi_diff,team_quality_mod
NYY @ BAL,NYY,0.3386,0.2387,0.0999,0.7613,0.7613,0.6491,2376.0,,,,0.0,0.0,0.0,0.0,0.0,1.241,1.402,-0.0045,0.1163,PLATINUM,"F1_xera_gap=3.19, F2_xwoba_gap=0.031","model_prob 0.761 outside [0.48,0.72]",no_match,,False,C,0,"F-signal fires (+1) | SP edge 1.90 xERA agrees with pick (+2) | PQI confirms pick (Δ=-24.8) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.04) (+1) | fair_prob missing — Odds API did not fire (cap at C; market validation required)",0,C,-24.76901245244995,1
LAA @ CLE,CLE,0.5514,0.6414,0.0901,0.6414,0.6414,0.517,2845.0,,,,0.0,0.0,0.0,0.0,0.0,1.161,0.959,0.0059,0.1051,SKIP,,tier SKIP -> stake_mult=0,no_match,,False,C,0,"PQI confirms pick (Δ=+5.9) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.09) (+1) | fair_prob missing — Odds API did not fire (cap at C; market validation required)",0,C,5.86548111418913,1
WSH @ CIN,TBD,,,,,,,,,,,,,,,,,,,,PENDING_SP_DATA,thin_sp_data,Nick Lodolo has only 0 Statcast pitches season-to-date; need 100+ to score,pending_sp_data,,False,C,0,F-signal fires (+1) | PQI AGAINST (late-game-degradation) pick (Δ=+16.8) (-1),0,C,16.76707733072142,0
COL @ PIT,PIT,0.7435,0.511,0.2325,0.511,0.511,0.5517,2146.0,0.6502,-13.92,-0.2135,0.0,0.0,0.0,0.0,0.0,1.208,1.147,-0.0032,0.1081,PLATINUM,"F2_xwoba_gap=0.022, F3_swing_take_gap=4130.9","edge -13.92pp outside [4,15]pp",fetched,bullpen_fatigue,True,B-,1,"F-signal fires (+1) | SP edge 0.61 xERA agrees with pick (+2) | PQI confirms pick (Δ=+8.8) (+1) | team_quality modifier (+1; DISABLED, score+=0) | large negative edge (-13.9pp) caps grade at C (score 4 -> 2) | Stage 1/2 disagree (Δ=0.14) (-1)",1,B-,8.751327548302164,1
PHI @ BOS,PHI,0.4692,0.2415,0.2277,0.7585,0.7585,0.7025,2326.0,0.4483,31.02,0.5928,0.25,0.1347,0.0674,0.0,0.0,1.075,1.326,-0.0107,0.1042,SKIP,,"model_prob 0.758 outside [0.48,0.72] | edge +31.02pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,False,A-,4,SP edge 0.48 xERA agrees with pick (+2) | PQI confirms pick (Δ=-5.9) (+1) | Stage 1/2 agree (Δ=0.03) (+1),4,A-,-5.90507960012858,0
TB @ TOR,TB,0.7353,0.4687,0.2666,0.5313,0.5313,0.5313,1988.0,0.4149,11.64,0.1901,0.1533,0.0383,0.0192,0.0,0.0,1.022,1.466,0.0055,0.0971,GOLD,F3_swing_take_gap=396.1,fair_prob 0.415 < 0.42 | tier GOLD -> stake_mult=0,fetched,bullpen_fatigue,True,D,-2,"F-signal fires (+1) | SP edge 1.93 xERA AGAINST pick (-1) [small-sample SP, min_pa=79] | PQI AGAINST (late-game-degradation) pick (Δ=+38.1) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 disagree (Δ=0.14) (-1)",-2,D,38.133993876070875,1
DET @ NYM,DET,0.487,0.4747,0.0123,0.5253,0.5253,0.5313,2269.0,0.4793,4.6,0.0455,0.0459,0.0115,0.0057,0.0,0.0,1.111,1.139,0.0002,0.1052,GOLD,F2_xwoba_gap=0.023,tier GOLD -> stake_mult=0,fetched,acute_roster,True,C,0,"F-signal fires (+1) | SP edge 0.89 xERA AGAINST pick (-1) [small-sample SP, min_pa=79] | PQI AGAINST (late-game-degradation) pick (Δ=+20.8) (-1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.00) (+1)",0,C,20.788752465415783,-1
CHC @ ATL,CHC,0.3337,0.483,0.1493,0.517,0.517,0.5206,2035.0,0.5619,-4.5,-0.0928,0.0,0.0,0.0,0.0,0.0,1.075,1.084,0.0166,0.1066,GOLD,F3_swing_take_gap=1260.3,"edge -4.50pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,False,B-,1,"F-signal fires (+1) | SP edge 2.05 xERA agrees with pick (+1) [small-sample SP, min_pa=75] | PQI confirms pick (Δ=-20.1) (+1) | Stage 1/2 agree (Δ=0.00) (+1) | [HARD CAP 1] negative-edge GOLD (-4.5pp < 0) prevents GOLD confirmation (score 4 -> 1) | [PRE_CAP_SCORE=4]",4,A-,-20.147088635657,0
KC @ CHW,CHW,0.5201,0.6683,0.1482,0.6683,0.6683,0.6563,2005.0,0.4939,17.44,0.2991,0.25,0.0792,0.0396,0.0,0.0,1.302,1.182,0.0003,0.108,GOLD,F3_swing_take_gap=2073.4,"edge +17.44pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,False,B-,1,F-signal fires (+1),1,B-,2.9724232441830623,0
MIA @ MIN,MIN,0.55,0.5786,0.0286,0.5786,0.5786,0.5259,2501.0,0.4483,13.03,0.2151,0.1956,0.0489,0.0244,0.0,0.0,1.197,1.134,-0.0067,0.0995,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,D,-2,SP edge 1.74 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-33.6) (-1) | Stage 1/2 agree (Δ=0.03) (+1),-2,D,-33.64845973600336,0
SD @ MIL,MIL,0.7492,0.6533,0.0958,0.6533,0.6533,0.6567,1714.0,0.6082,4.52,0.0669,0.1057,0.0264,0.0132,0.0,0.0,1.33,1.109,-0.0166,0.1019,GOLD,F1_xera_gap=1.90*,tier GOLD -> stake_mult=0,fetched,bullpen_fatigue,True,A,5,"F-signal fires (+1) | SP edge 1.04 xERA agrees with pick (+2) | PQI confirms pick (Δ=+7.3) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.03) (+1)",5,A,7.2649789980131345,1
ARI @ TEX,ARI,0.4203,0.4567,0.0364,0.5433,0.5433,0.5313,2202.0,0.5094,3.39,0.0306,0.0341,0.0085,0.0043,0.0,0.0,1.289,1.091,-0.0061,0.1011,GOLD,F3_swing_take_gap=1591.8,"edge +3.39pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,True,B+,3,F-signal fires (+1) | PQI confirms pick (Δ=-12.6) (+1) | Stage 1/2 agree (Δ=0.00) (+1),3,B+,-12.569159947601364,0
SEA @ HOU,TBD,,,,,,,,,,,,,,,,,,,,PENDING_SP_DATA,thin_sp_data,Bryce Miller has only 0 Statcast pitches season-to-date; need 100+ to score,pending_sp_data,,False,D,-1,"F-signal fires (+1) | SP edge 3.78 xERA AGAINST pick (-1) [small-sample SP, min_pa=68] | PQI AGAINST (late-game-degradation) pick (Δ=-46.9) (-1)",-1,D,-46.8876652439688,0
STL @ OAK,OAK,0.6593,0.5413,0.118,0.5413,0.5413,0.5449,2860.0,0.5873,-4.61,-0.0917,0.0,0.0,0.0,0.0,0.0,1.082,1.274,0.004,0.0996,GOLD,F1_xera_gap=1.82*,"edge -4.61pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,False,B-,1,"F-signal fires (+1) | SP edge 1.83 xERA agrees with pick (+2) | PQI confirms pick (Δ=+31.7) (+1) | team_quality modifier (-1; DISABLED, score+=0) | [HARD CAP 1] negative-edge GOLD (-4.6pp < 0) prevents GOLD confirmation (score 4 -> 1) | [PRE_CAP_SCORE=4]",4,A-,31.681781793900967,-1
SF @ LAD,LAD,0.4422,0.8395,0.3973,0.8395,0.8395,0.7688,2368.0,0.7213,11.82,0.1753,0.25,0.1096,0.0548,0.0,0.0,1.1,1.302,-0.0018,0.1096,PLATINUM,"F1_xera_gap=2.47*, F2_xwoba_gap=0.052, F3_swing_take_gap=9818.6","model_prob 0.840 outside [0.48,0.72]",fetched,,False,C,0,"F-signal fires (+1) | SP edge 2.00 xERA agrees with pick (+2) | PQI confirms pick (Δ=+41.1) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 MAJOR disagree (Δ=0.39) (-2) | [HARD CAP 3] PLATINUM calibration artifact: p_model 0.852>0.85 AND Stage 1/2 delta 0.39>0.20 (score 2 -> 0) | [PRE_CAP_SCORE=2]",2,B,41.072666213543776,1
