matchup,pick,f5_prob,full_prob,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,tier,signals,why_skipped,odds_status,f5_full_delta,kelly_full,kelly_quarter,kelly_eighth,ump_k_pct_delta,ump_bb_pct_delta,home_lineup_concentration,away_lineup_concentration,hl_bullpen_xwoba_gap,pen_strain_pick_side,stress_warnings,confidence_downgrade,grade,grade_score,grade_reasons,pre_cap_score,pre_cap_grade,pqi_diff,team_quality_mod,away_top_5_batters_json,home_top_5_batters_json
ATL @ MIA,TBD,,,,,,,,,,PENDING_SP_DATA,thin_sp_data,Braxton Garrett has only 0 Statcast pitches season-to-date; need 100+ to score,pending_sp_data,,,,,,,,,,,,False,C,0,pending_sp_data — ungraded (probable SP not yet announced),0,C,,,[],"[{""order"":1,""name"":""Xavier Edwards"",""bat_side"":""S"",""vs_LHP_OPS_career"":0.674,""vs_LHP_PA_career"":356,""vs_RHP_OPS_career"":0.791,""vs_RHP_PA_career"":853,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":2,""name"":""Otto Lopez"",""bat_side"":""R"",""vs_LHP_OPS_career"":0.628,""vs_LHP_PA_career"":384,""vs_RHP_OPS_career"":0.753,""vs_RHP_PA_career"":854,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":3,""name"":""Heriberto Hern\u00e1ndez"",""bat_side"":""R"",""vs_LHP_OPS_career"":0.732,""vs_LHP_PA_career"":161,""vs_RHP_OPS_career"":0.714,""vs_RHP_PA_career"":222,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":4,""name"":""Christopher Morel"",""bat_side"":""R"",""vs_LHP_OPS_career"":0.671,""vs_LHP_PA_career"":522,""vs_RHP_OPS_career"":0.719,""vs_RHP_PA_career"":1293,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":5,""name"":""Esteury Ruiz"",""bat_side"":""R"",""vs_LHP_OPS_career"":0.722,""vs_LHP_PA_career"":240,""vs_RHP_OPS_career"":0.597,""vs_RHP_PA_career"":409,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""}]"
CLE @ DET,CLE,0.5029,0.4636,0.5364,0.5364,0.5076,2587.0,0.613,-7.66,-0.1314,GOLD,"F1_xera_gap=1.64*, F3_swing_take_gap=1440.5","edge -7.66pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,0.0393,0.0,0.0,0.0,0.0,0.0,0.974,1.194,-0.0032,0.1021,,False,B-,1,"F-signal fires (+1) | SP edge 0.72 xERA agrees with pick (+2) | PQI confirms pick (Δ=-16.7) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.02) (+1) | negative edge (-7.7pp) caps A at A- (score 5 -> 4) | [HARD CAP 1] negative-edge GOLD (-7.7pp < 0) prevents GOLD confirmation (score 4 -> 1) | [PRE_CAP_SCORE=4]",4,A-,-16.720420276658587,1,[],[]
BAL @ TB,TB,0.6638,0.6413,0.6413,0.6413,0.6563,1934.0,0.504,13.73,0.2244,SKIP,,tier SKIP -> stake_mult=0,fetched,0.0225,0.2468,0.0617,0.0309,0.0,0.0,1.388,1.102,-0.0046,0.0994,bullpen_fatigue,True,D,-1,"SP edge 1.38 xERA AGAINST pick (-1) [small-sample SP, min_pa=99] | PQI AGAINST (late-game-degradation) pick (Δ=-20.5) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.01) (+1)",-1,D,-20.460820579374925,1,[],[]
CIN @ PHI,PHI,0.5703,0.6718,0.6718,0.6718,0.6245,2594.0,0.5873,8.45,0.1274,SKIP,,tier SKIP -> stake_mult=0,fetched,0.1015,0.1878,0.047,0.0235,0.0,0.0,1.089,1.219,0.0285,0.1051,,False,B,2,"PQI confirms pick (Δ=+11.4) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.07) (+1)",2,B,11.350319930861232,1,[],[]
NYM @ WSH,WSH,0.3317,0.5406,0.5406,0.5406,0.4886,2607.0,0.4249,11.57,0.1813,SKIP,,tier SKIP -> stake_mult=0,fetched,0.209,0.153,0.0382,0.0191,0.0,0.0,1.233,1.201,-0.0074,0.1044,bullpen_fatigue,True,D,-2,"SP edge 1.76 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-27.1) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.06) (+1)",-2,D,-27.134580556052924,1,[],[]
TOR @ NYY,NYY,0.4716,0.7463,0.7463,0.7463,0.6563,2246.0,0.5657,18.06,0.2931,PLATINUM,"F2_xwoba_gap=0.040, F3_swing_take_gap=7982.4","model_prob 0.746 outside [0.48,0.72] | edge +18.06pp outside [4,15]pp",fetched,0.2748,0.125,0.05,0.025,0.0,0.0,1.476,1.028,0.0017,0.1119,bullpen_fatigue;calibration_caution_18_25pp,True,D,-1,"F-signal fires (+1) | PQI AGAINST (late-game-degradation) pick (Δ=-12.8) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 disagree (Δ=0.17) (-1)",-1,D,-12.812210508087034,1,[],[]
BOS @ KC,TBD,,,,,,,,,,PENDING_SP_DATA,thin_sp_data,Bailey Falter has only 0 Statcast pitches season-to-date; need 100+ to score,pending_sp_data,,,,,,,,,,,,False,C,0,pending_sp_data — ungraded (probable SP not yet announced),0,C,,,[],[]
HOU @ MIN,TBD,,,,,,,,,,PENDING_SP_DATA,thin_sp_data,Zebby Matthews has only 0 Statcast pitches season-to-date; need 100+ to score,pending_sp_data,,,,,,,,,,,,False,C,0,pending_sp_data — ungraded (probable SP not yet announced),0,C,,,[],[]
MIL @ CHC,CHC,0.2132,0.5051,0.5051,0.5051,0.5051,1859.0,0.482,2.32,0.0004,PLATINUM,"F2_xwoba_gap=0.020, F3_swing_take_gap=4301.6","edge +2.32pp outside [4,15]pp",fetched,0.292,0.0004,0.0001,0.0,0.0,0.0,1.051,1.282,-0.0014,0.1093,bullpen_fatigue,True,C,0,"F-signal fires (+1) | PQI AGAINST (late-game-degradation) pick (Δ=-5.5) (-1) | team_quality modifier (-1; DISABLED, score+=0)",0,C,-5.5417590949208915,-1,[],[]
PIT @ STL,STL,0.5602,0.5491,0.5491,0.5491,0.5275,2780.0,0.5206,2.85,0.0184,SKIP,,"edge +2.85pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,0.0111,0.0216,0.0054,0.0027,0.0,0.0,1.342,1.234,-0.0019,0.1043,,True,D,-2,"SP edge 1.59 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-20.6) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.01) (+1)",-2,D,-20.61467913643898,1,[],[]
