matchup,pick,f5_prob,full_prob,f5_full_delta,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,kelly_full,kelly_quarter,kelly_eighth,ump_k_pct_delta,ump_bb_pct_delta,home_lineup_concentration,away_lineup_concentration,hl_bullpen_xwoba_gap,pen_strain_pick_side,tier,signals,why_skipped,odds_status,stress_warnings,confidence_downgrade,grade,grade_score,grade_reasons,pre_cap_score,pre_cap_grade,pqi_diff,team_quality_mod,away_top_5_batters_json,home_top_5_batters_json
CIN @ PHI,PHI,0.5931,0.6114,0.0183,0.6114,0.6114,0.6081,2540.0,0.5765,3.5,0.0405,0.0578,0.0144,0.0072,0.0,0.0,1.2,1.304,0.0286,0.106,SKIP,,"edge +3.50pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,False,B,2,"PQI confirms pick (Δ=+15.9) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.01) (+1)",2,B,15.868770930169546,1,[],[]
HOU @ MIN,MIN,0.6349,0.6683,0.0335,0.6683,0.6683,0.6314,2441.0,0.5765,9.18,0.1374,0.1957,0.0489,0.0245,0.0,0.0,1.207,1.185,0.0022,0.0941,GOLD,F1_xera_gap=1.26*,tier GOLD -> stake_mult=0,fetched,,False,A,5,"F-signal fires (+1) | SP edge 0.78 xERA agrees with pick (+2) | PQI confirms pick (Δ=+7.0) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.02) (+1)",5,A,7.01729195257348,1,[],[]
TEX @ COL,COL,0.4789,0.6443,0.1654,0.6443,0.6443,0.6563,2348.0,0.4473,19.7,0.3531,0.125,0.04015,0.02005,0.0,0.0,1.152,1.102,0.0043,0.1034,SKIP,,"edge +19.70pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,acute_roster;calibration_caution_18_25pp,True,D,-3,"SP edge 0.79 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-7.5) (-1) | team_quality modifier (-1; DISABLED, score+=0)",-3,D,-7.549826543387102,-1,[],[]
SF @ ARI,ARI,0.2968,0.6446,0.3478,0.6446,0.6446,0.6563,2577.0,0.5346,11.0,0.1755,0.2131,0.0533,0.0266,0.0,0.0,1.054,1.17,-0.0019,0.0967,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,D,-4,"SP edge 3.75 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-22.8) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 disagree (Δ=0.13) (-1)",-4,D,-22.832013902754028,1,[],[]
CHW @ SEA,CHW,0.429,0.4657,0.0367,0.5343,0.5343,0.5313,2317.0,0.4028,13.15,0.2209,0.1719,0.043,0.0215,0.0,0.0,1.085,1.345,-0.002,0.1108,SKIP,,fair_prob 0.403 < 0.42 | tier SKIP -> stake_mult=0,fetched,bullpen_fatigue,True,C,0,PQI AGAINST (late-game-degradation) pick (Δ=+8.3) (-1) | Stage 1/2 agree (Δ=0.01) (+1),0,C,8.259518696390643,0,[],[]
ATL @ MIA,ATL,0.5733,0.4889,0.0844,0.5111,0.5111,0.4889,2178.0,0.5734,-6.23,-0.125,0.0,0.0,0.0,0.0,0.0,1.066,1.232,-0.0081,0.1108,GOLD,"F1_xera_gap=1.06*, F2_xwoba_gap=0.033","edge -6.23pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,acute_roster,True,B-,1,"F-signal fires (+1) | SP edge 0.69 xERA agrees with pick (+2) | PQI confirms pick (Δ=-13.4) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.05) (+1) | negative edge (-6.2pp) caps A at A- (score 5 -> 4) | [HARD CAP 1] negative-edge GOLD (-6.2pp < 0) prevents GOLD confirmation (score 4 -> 1) | [PRE_CAP_SCORE=4]",4,A-,-13.361692764033641,1,[],[]
TOR @ NYY,TOR,0.5308,0.463,0.0678,0.537,0.537,0.5074,2194.0,0.4255,11.15,0.1759,0.1478,0.037,0.0185,0.0,0.0,1.305,1.195,-0.0004,0.0924,GOLD,F3_swing_take_gap=7166.6,tier GOLD -> stake_mult=0,fetched,,False,A-,4,"F-signal fires (+1) | SP edge 0.53 xERA agrees with pick (+1) [small-sample SP, min_pa=81] | PQI confirms pick (Δ=-11.1) (+1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.04) (+1)",4,A-,-11.064309198709992,-1,[],[]
BOS @ KC,KC,0.6565,0.5242,0.1324,0.5242,0.5242,0.5402,2566.0,0.4488,7.54,0.0955,0.0876,0.0219,0.011,0.0,0.0,0.982,0.974,-0.005,0.0984,GOLD,"F1_xera_gap=1.05*, F3_swing_take_gap=2369.0",tier GOLD -> stake_mult=0,fetched,,False,A-,4,F-signal fires (+1) | SP edge 0.76 xERA agrees with pick (+2) | Stage 1/2 agree (Δ=0.08) (+1),4,A-,0.0909914355722492,0,[],[]
MIL @ CHC,CHC,0.2121,0.5364,0.3244,0.5364,0.5364,0.6,1859.0,0.4808,5.57,0.0624,0.0636,0.0159,0.008,0.0,0.0,1.006,1.268,-0.0017,0.1115,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,D,-4,"SP edge 1.00 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-19.3) (-1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 disagree (Δ=0.13) (-1)",-4,D,-19.348146727358916,-1,[],[]
PIT @ STL,PIT,0.6144,0.4944,0.12,0.5056,0.5056,0.5177,2780.0,0.5,0.56,-0.0306,0.0,0.0,0.0,0.0,0.0,1.342,1.343,-0.0019,0.1051,GOLD,F1_xera_gap=1.16*,"edge +0.56pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,True,A,5,"F-signal fires (+1) | SP edge 0.96 xERA agrees with pick (+2) | PQI confirms pick (Δ=-15.1) (+1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.08) (+1)",5,A,-15.066466499144141,-1,[],[]
