matchup,pick,f5_prob,full_prob,f5_full_delta,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,kelly_full,kelly_quarter,kelly_eighth,ump_k_pct_delta,ump_bb_pct_delta,home_lineup_concentration,away_lineup_concentration,hl_bullpen_xwoba_gap,pen_strain_pick_side,home_sp_k_pct,away_sp_k_pct,home_sp_name,away_sp_name,tier,signals,why_skipped,odds_status,stress_warnings,confidence_downgrade,grade,grade_score,grade_reasons,pre_cap_score,pre_cap_grade,pqi_diff,team_quality_mod,away_top_5_batters_json,home_top_5_batters_json,away_bvp_top5_json,home_bvp_top5_json
STL @ CIN,STL,0.5842,0.4611,0.123,0.5389,0.5389,0.5212,3365.0,0.5,3.89,0.0885,0.0868,0.0217,0.0108,0.0,0.0,1.146,1.395,-0.0039,0.106,18.6,18.78,Chris Paddack,Andre Pallante,GOLD,"F1_xera_gap=0.81*, F3_swing_take_gap=1986.0","edge +3.89pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,False,B-,1,F-signal fires (+1) | PQI AGAINST (late-game-degradation) pick (Δ=+27.0) (-1) | Stage 1/2 agree (Δ=0.08) (+1),1,B-,26.970170671052944,0,[],[],[],[]
STL @ CIN,TBD,,,,,,,,,,,,,,,,,,,,,,,,PENDING_SP_DATA,thin_sp_data,Chase Petty has only 0 Statcast pitches season-to-date; need 100+ to score,pending_sp_data,,False,C,0,pending_sp_data — ungraded (probable SP not yet announced),0,C,,,[],[],[],[]
TB @ NYY,TB,0.5511,0.4807,0.0704,0.5193,0.5193,0.5313,1970.0,0.4273,9.2,0.1684,0.1348,0.0337,0.0168,0.0,0.0,1.386,1.278,0.013,0.0918,29.02,23.17,Ryan Weathers,Drew Rasmussen,GOLD,"F1_xera_gap=1.00*, F3_swing_take_gap=6667.3",tier GOLD -> stake_mult=0,fetched,acute_roster,True,B-,1,"F-signal fires (+1) | SP edge 0.72 xERA agrees with pick (+2) | PQI confirms pick (Δ=-10.8) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.04) (+1) | [HARD CAP 7] pick-side bullpen disadvantage (hl_bullpen_xwoba_gap=+0.0130 >= 0) on tier-elevated pick (score 5 -> 1) | [PRE_CAP_SCORE=5]",5,A,-10.78407408180535,1,[],[],[],[]
HOU @ CHC,CHC,0.4445,0.5535,0.109,0.5535,0.5535,0.5137,2445.0,0.5959,-4.23,-0.0539,0.0,0.0,0.0,0.0,0.0,1.099,1.268,-0.0004,0.1036,19.64,22.98,Colin Rea,Kai-Wei Teng,GOLD,F3_swing_take_gap=938.3,"edge -4.23pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,False,D,-1,F-signal fires (+1) | SP edge 1.55 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-15.3) (-1) | Stage 1/2 agree (Δ=0.06) (+1),-1,D,-15.341107651299936,0,[],[],[],[]
PIT @ TOR,PIT,0.1372,0.4703,0.3331,0.5297,0.5297,0.5313,2361.0,0.6035,-7.38,-0.0946,0.0,0.0,0.0,0.0,0.0,0.987,1.217,0.0138,0.0986,16.55,30.22,Patrick Corbin,Paul Skenes,PLATINUM,"F1_xera_gap=6.16, F2_xwoba_gap=0.024","edge -7.38pp outside [4,15]pp",fetched,,False,B-,1,"F-signal fires (+1) | SP edge 4.32 xERA agrees with pick (+2) | PQI confirms pick (Δ=-54.1) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 disagree (Δ=0.24) (-1) | [HARD CAP 1] negative-edge GOLD (-7.4pp < 0) prevents GOLD confirmation (score 3 -> 1) | [PRE_CAP_SCORE=3]",3,B+,-54.12327417362704,1,[],[],[],[]
DET @ BAL,BAL,0.5196,0.5984,0.0788,0.5984,0.5984,0.5745,2212.0,0.5118,8.66,0.1629,0.1727,0.0432,0.0216,0.0,0.0,1.179,1.334,-0.0018,0.102,18.22,18.15,Brandon Young,Framber Valdez,SKIP,,tier SKIP -> stake_mult=0,fetched,bullpen_fatigue,True,C,0,"PQI AGAINST (late-game-degradation) pick (Δ=-6.7) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.05) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.537 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 0 -> 0)",0,C,-6.696009905244786,1,[],[],[],[]
CLE @ PHI,PHI,0.6325,0.5563,0.0762,0.5563,0.5563,0.5528,2701.0,0.666,-10.97,-0.1312,0.0,0.0,0.0,0.0,0.0,1.062,1.181,0.0053,0.0998,23.94,17.81,Zack Wheeler,Slade Cecconi,SKIP,,"edge -10.97pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,False,C,0,"SP edge 1.58 xERA agrees with pick (+2) | PQI confirms pick (Δ=+26.9) (+1) | team_quality modifier (-1; DISABLED, score+=0) | large negative edge (-11.0pp) caps grade at C (score 3 -> 2) | Stage 1/2 agree (Δ=0.05) (+1) | [HARD CAP 1] negative-edge GOLD (-11.0pp < 0) prevents GOLD confirmation (score 3 -> 1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.509 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=3]",3,B+,26.900610743761668,-1,[],[],[],[]
CHW @ SF,CHW,0.3234,0.1684,0.155,0.8316,0.8316,0.7957,2452.0,0.4682,36.34,0.7548,0.25,0.17,0.085,0.0,0.0,1.078,1.23,0.0099,0.107,12.66,22.69,Adrian Houser,Bryan Hudson,GOLD,F2_xwoba_gap=0.035,"model_prob 0.832 outside [0.48,0.72] | edge +36.34pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,False,C,0,"F-signal fires (+1) | SP edge 2.80 xERA agrees with pick (+1) [small-sample SP, min_pa=99] | PQI confirms pick (Δ=-43.6) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 disagree (Δ=0.16) (-1) | [HARD CAP 6] edge_pp=+36.3pp>25.0 is calibrator hallucination range, not real value (score 2 -> 0) | [PRE_CAP_SCORE=2]",2,B,-43.649550093161544,1,[],[],[],[]
SEA @ KC,KC,0.6638,0.5716,0.0921,0.5716,0.5716,0.5721,2937.0,0.4206,15.1,0.3148,0.2421,0.0605,0.0303,0.0,0.0,1.084,1.104,-0.001,0.1018,20.85,20.51,Stephen Kolek,George Kirby,SKIP,,"edge +15.10pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,False,D,-1,"SP edge 0.80 xERA AGAINST pick (-1) [small-sample SP, min_pa=69] | PQI AGAINST (late-game-degradation) pick (Δ=-22.0) (-1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.06) (+1)",-1,D,-21.99130022187029,-1,[],[],[],[]
MIN @ BOS,MIN,0.3327,0.4687,0.136,0.5313,0.5313,0.5313,2683.0,0.4882,4.31,0.0732,0.0718,0.018,0.009,0.0,0.0,1.118,1.132,0.0049,0.0979,24.73,26.17,Jovani Morán,Taj Bradley,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,D,-2,"SP edge 0.68 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=+20.3) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.01) (+1)",-2,D,20.33352338883546,1,[],[],[],[]
