matchup,pick,f5_prob,full_prob,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,tier,signals,why_skipped,odds_status,f5_full_delta,kelly_full,kelly_quarter,kelly_eighth,ump_k_pct_delta,ump_bb_pct_delta,home_lineup_concentration,away_lineup_concentration,hl_bullpen_xwoba_gap,pen_strain_pick_side,home_sp_k_pct,away_sp_k_pct,home_sp_name,away_sp_name,stress_warnings,confidence_downgrade,pred_winp_mc,pred_runs_mc,grade,grade_score,grade_reasons,pre_cap_score,pre_cap_grade,pqi_diff,team_quality_mod,away_top_5_batters_json,home_top_5_batters_json,away_bvp_top5_json,home_bvp_top5_json
HOU @ TOR,TBD,,,,,,,,,,PENDING_SP_DATA,thin_sp_data,Shane Bieber has only 0 Statcast pitches season-to-date; need 100+ to score,pending_sp_data,,,,,,,,,,,,,,,,False,,,C,0,pending_sp_data — ungraded (probable SP not yet announced),0,C,,,[],[],[],[]
SEA @ PIT,PIT,0.6828,0.6563,0.6563,0.6563,0.6268,15647.0,0.4575,19.88,0.4111,SKIP,,"edge +19.88pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,0.0264,0.125,0.0447,0.02235,0.0,0.0,1.279,1.088,-0.0079,0.1022,18.75,20.65,Mitch Keller,George Kirby,calibration_caution_18_25pp,False,,,D,-2,"SP edge 1.36 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-22.9) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.03) (+1)",-2,D,-22.867761529581017,1,[],[],[],[]
KC @ TB,TB,0.6466,0.6682,0.6682,0.6682,0.6372,16698.0,0.6564,1.18,0.0522,GOLD,F1_xera_gap=0.84*,"edge +1.18pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,0.0216,0.0909,0.0227,0.0114,0.0,0.0,1.241,1.101,0.0035,0.1025,23.7,20.04,Shane McClanahan,Luinder Avila,,True,,,B-,1,"F-signal fires (+1) | SP edge 0.46 xERA agrees with pick (+2) | PQI confirms pick (Δ=+10.6) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.02) (+1) | [HARD CAP 7] pick-side bullpen disadvantage (hl_bullpen_xwoba_gap=+0.0035 >= 0) on tier-elevated pick (score 5 -> 1) | [PRE_CAP_SCORE=5]",5,A,10.554364513581206,1,[],[],[],[]
TEX @ MIA,MIA,0.6255,0.5122,0.5122,0.5122,0.5024,16927.0,0.6083,-9.61,-0.1394,SKIP,,"edge -9.61pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,0.1133,0.0,0.0,0.0,0.0,0.0,1.13,1.128,-0.0053,0.1002,17.92,18.59,Sandy Alcantara,Cal Quantrill,,False,,,C,0,"SP edge 1.49 xERA agrees with pick (+2) | PQI confirms pick (Δ=+25.5) (+1) | large negative edge (-9.6pp) caps grade at C (score 3 -> 2) | Stage 1/2 agree (Δ=0.05) (+1) | [HARD CAP 1] negative-edge GOLD (-9.6pp < 0) prevents GOLD confirmation (score 3 -> 1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.520 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=3]",3,B+,25.473518857596222,0,[],[],[],[]
NYY @ DET,NYY,0.6016,0.3772,0.6228,0.6228,0.5313,14658.0,0.5318,9.1,0.1838,SKIP,,tier SKIP -> stake_mult=0,fetched,0.2244,0.2041,0.051,0.0255,0.0,0.0,1.225,1.169,-0.0146,0.1029,24.55,26.11,Casey Mize,Carlos Rodón,,False,,,D,-2,"SP edge 0.56 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=+8.2) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.09) (+1)",-2,D,8.210366292120163,1,[],[],[],[]
PHI @ WSH,WSH,0.3604,0.5547,0.5547,0.5547,0.5765,14279.0,0.3727,18.2,0.4033,SKIP,,"fair_prob 0.373 < 0.42 | edge +18.20pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,0.1943,0.125,0.03295,0.0165,0.0,0.0,1.214,1.363,-0.0336,0.0999,13.1,26.41,Zack Littell,Jesús Luzardo,calibration_caution_18_25pp,False,,,D,-2,"SP edge 3.30 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-46.4) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.08) (+1)",-2,D,-46.37143676906168,1,[],[],[],[]
CHC @ NYM,CHC,0.5202,0.4627,0.5373,0.5373,0.5313,13093.0,0.4823,5.5,0.1069,SKIP,,tier SKIP -> stake_mult=0,fetched,0.0575,0.1008,0.0252,0.0126,0.0,0.0,1.231,1.14,0.0106,0.0998,23.17,20.39,Kodai Senga,Edward Cabrera,,False,,,C,0,"PQI AGAINST (late-game-degradation) pick (Δ=+3.2) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.02) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.527 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 0 -> 0)",0,C,3.150317207071268,1,[],[],[],[]
MIL @ CIN,CIN,0.5709,0.6563,0.6563,0.6563,0.6506,20315.0,0.4823,17.41,0.3521,SKIP,,"edge +17.41pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,0.0854,0.25,0.083,0.0415,0.0,0.0,1.114,1.089,-0.022,0.0977,16.4,23.37,Nick Lodolo,Brandon Sproat,,False,,,D,-2,"SP edge 1.58 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-20.1) (-1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.04) (+1)",-2,D,-20.079307578940046,-1,[],[],[],[]
LAD @ MIN,LAD,0.598,0.4807,0.5193,0.5193,0.5253,18877.0,0.6446,-12.52,-0.1697,GOLD,F2_xwoba_gap=0.035,"edge -12.52pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,0.1173,0.0,0.0,0.0,0.0,0.0,1.134,1.078,-0.0101,0.1106,22.63,16.72,Kendry Rojas,Justin Wrobleski,,False,,,C,0,"F-signal fires (+1) | PQI confirms pick (Δ=-10.0) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.04) (+1) | [HARD CAP 1] negative-edge GOLD (-12.5pp < 0) prevents GOLD confirmation (score 3 -> 1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.522 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=3]",3,B+,-10.00299316891659,1,[],[],[],[]
CLE @ CHW,CLE,0.5624,0.4777,0.5223,0.5223,0.5313,16475.0,0.5177,0.46,0.0151,PLATINUM,"F1_xera_gap=1.00*, F3_swing_take_gap=5430.3, F5_bullpen_gap=+1.48","edge +0.46pp outside [4,15]pp",fetched,0.0848,0.016,0.004,0.002,0.0,0.0,1.328,1.074,-0.0406,0.0992,24.23,26.5,Sean Burke,Parker Messick,acute_roster,True,,,C,0,"F-signal fires (+1) | SP edge 0.65 xERA agrees with pick (+2) | PQI confirms pick (Δ=-22.0) (+1) | Stage 1/2 agree (Δ=0.03) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.523 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 5 -> 0) | [PRE_CAP_SCORE=5]",5,A,-21.962906512516703,0,[],[],[],[]
