matchup,pick,f5_prob,full_prob,f5_full_delta,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,kelly_full,kelly_quarter,kelly_eighth,ump_k_pct_delta,ump_bb_pct_delta,home_lineup_concentration,away_lineup_concentration,hl_bullpen_xwoba_gap,pen_strain_pick_side,home_sp_k_pct,away_sp_k_pct,home_sp_name,away_sp_name,tier,signals,why_skipped,odds_status,stress_warnings,confidence_downgrade,pred_winp_mc,pred_runs_mc,grade,grade_score,grade_reasons,pre_cap_score,pre_cap_grade,pqi_diff,team_quality_mod
HOU @ DET,HOU,0.5011,0.4507,0.0426,0.5493,0.5493,0.5313,14315.0,0.494,5.53,0.1096,0.1075,0.0269,0.0134,0.0,0.0,1.348,1.213,-0.0075,0.1013,15.83,23.27,Keider Montero,Spencer Arrighetti,SKIP,,tier SKIP -> stake_mult=0,fetched_capped,locked_at_first_pitch,False,0.5941,10.55,D,-2,SP edge 0.85 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=+15.0) (-1) | Stage 1/2 agree (Δ=0.01) (+1),-2,D,15.199388078480467,0
CIN @ PIT,PIT,0.8772,0.5891,0.012,0.5891,0.5891,0.613,17577.0,0.6523,-6.33,-0.0582,0.0,0.0,0.0,0.0,0.0,1.2,1.12,0.0083,0.1013,29.5,17.71,Paul Skenes,Andrew Abbott,PLATINUM,"F1_xera_gap=3.40, F3_swing_take_gap=143.6","edge -6.33pp outside [4,15]pp",fetched_capped,locked_at_first_pitch,False,0.5336,9.8,C,0,"F-signal fires (+1) | SP edge 2.24 xERA agrees with pick (+2) | PQI confirms pick (Δ=+32.6) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 disagree (Δ=0.21) (-1) | [HARD CAP 1] negative-edge GOLD (-6.3pp < 0) prevents GOLD confirmation (score 3 -> 1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.549 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=3]",3,B+,32.90545409789847,1
WSH @ BAL,WSH,0.3405,0.4717,0.048,0.5283,0.5283,0.5313,18464.0,0.4324,9.59,0.1887,0.151,0.0377,0.0189,0.0,0.0,0.99,1.124,0.0381,0.0964,17.16,25.63,Trevor Rogers,Andrew Alvarez,SKIP,,tier SKIP -> stake_mult=0,fetched_capped,locked_at_first_pitch,False,0.5684,10.44,C,0,"PQI AGAINST (late-game-degradation) pick (Δ=+12.6) (-1) | Stage 1/2 agree (Δ=0.06) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.524 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 0 -> 0)",0,C,13.188719786534868,0
TEX @ TOR,TEX,0.5279,0.4597,0.0772,0.5403,0.5403,0.5313,16279.0,0.4911,4.92,0.0914,0.0896,0.0224,0.0112,0.0,0.0,1.097,1.134,0.0018,0.0959,15.6,23.01,Patrick Corbin,Nathan Eovaldi,GOLD,F1_xera_gap=1.71,tier GOLD -> stake_mult=0,fetched_capped,locked_at_first_pitch,False,0.5542,10.18,C,0,"F-signal fires (+1) | SP edge 1.41 xERA agrees with pick (+2) | PQI confirms pick (Δ=-15.5) (+1) | Stage 1/2 agree (Δ=0.02) (+1) | [HARD CAP 7] pick-side bullpen disadvantage (hl_bullpen_xwoba_gap=+0.0072 >= 0) on tier-elevated pick (score 5 -> 1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.527 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=5]",5,A,-15.528413644531255,0
SEA @ CLE,CLE,0.5525,0.5531,0.0952,0.5531,0.5531,0.596,15214.0,0.506,4.71,0.0954,0.0973,0.0243,0.0122,0.0,0.0,1.046,1.178,0.0083,0.0941,22.8,22.18,Joey Cantillo,Luis Castillo,GOLD,F5_bullpen_gap=+0.43,tier GOLD -> stake_mult=0,fetched,bullpen_fatigue;locked_at_first_pitch,True,0.4094,9.18,C,0,"F-signal fires (+1) | SP edge 0.42 xERA agrees with pick (+2) | PQI confirms pick (Δ=+8.7) (+1) | Stage 1/2 agree (Δ=0.00) (+1) | [HARD CAP 7] pick-side bullpen disadvantage (hl_bullpen_xwoba_gap=+0.0082 >= 0) on tier-elevated pick (score 5 -> 1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.532 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=5]",5,A,8.602913119254701,0
ARI @ TB,TB,0.7014,0.581,0.0936,0.581,0.581,0.559,14762.0,0.5727,0.84,0.028,0.0364,0.0091,0.0045,0.0,0.0,1.295,1.239,0.0028,0.1012,13.47,13.1,Nick Martinez,Zac Gallen,GOLD,F1_xera_gap=1.25*,"edge +0.84pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched_capped,locked_at_first_pitch,False,0.4281,10.37,C,0,"F-signal fires (+1) | SP edge 1.05 xERA agrees with pick (+2) | PQI confirms pick (Δ=+13.3) (+1) | Stage 1/2 agree (Δ=0.09) (+1) | [HARD CAP 7] pick-side bullpen disadvantage (hl_bullpen_xwoba_gap=+0.0014 >= 0) on tier-elevated pick (score 5 -> 1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.545 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=5]",5,A,14.399279869734105,1
PHI @ NYM,TBD,,,,,,,,,,,,,,,,,,,,,,,,PENDING_SP_DATA,thin_sp_data,Zach Thornton has only 80 Statcast pitches season-to-date; need 100+ to score,pending_sp_data,,False,0.5488,9.07,C,0,pending_sp_data — ungraded (probable SP not yet announced),0,C,,
NYY @ BOS,NYY,0.7295,0.4633,0.0964,0.5367,0.5367,0.5219,16781.0,0.494,4.27,0.0842,0.0825,0.0206,0.0103,0.0,0.0,1.075,1.244,-0.0052,0.0957,20.5,25.3,Payton Tolle,Will Warren,SKIP,"F2_xwoba_gap=0.027, F5_bullpen_gap=+0.90",tier SKIP -> stake_mult=0,fetched_capped,locked_at_first_pitch,False,0.5145,9.82,D,-4,"SP edge 0.80 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=+14.7) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 disagree (Δ=0.15) (-1)",-4,D,14.489647422601415,1
KC @ CHW,CHW,0.6954,0.6743,0.1567,0.6743,0.6743,0.5313,16349.0,0.5553,11.9,0.2363,0.25,0.0709,0.0354,0.0,0.0,1.256,1.127,-0.0131,0.1032,21.89,25.73,David Sandlin,Steven Cruz,SKIP,F3_swing_take_gap=1261.7,tier SKIP -> stake_mult=0,fetched_capped,locked_at_first_pitch,False,0.5359,10.06,B+,3,"F-signal fires (+1) | PQI confirms pick (Δ=+15.3) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.02) (+1)",3,B+,15.582720790221686,-1
CHC @ MIL,MIL,0.766,0.6292,0.1444,0.6292,0.6292,0.6563,12854.0,0.7356,-10.64,-0.0949,0.0,0.0,0.0,0.0,0.0,1.203,1.19,0.0103,0.105,37.23,16.82,Jacob Misiorowski,Colin Rea,PLATINUM,"F1_xera_gap=5.45, F5_bullpen_gap=+0.42","edge -10.64pp outside [4,15]pp",fetched,locked_at_first_pitch,False,0.6219,9.23,B,2,"F-signal fires (+1) | SP edge 3.49 xERA agrees with pick (+2) | PQI confirms pick (Δ=+58.5) (+1) | team_quality modifier (+1; DISABLED, score+=0) | large negative edge (-10.6pp) caps grade at C (score 4 -> 2)",2,B,56.994856593532646,1
