matchup,game_pk,game_num,pick,f5_prob,full_prob,f5_full_delta,p_model,pick_prob,pick_prob_raw,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,kelly_full,kelly_quarter,kelly_eighth,ump_k_pct_delta,ump_bb_pct_delta,home_lineup_concentration,away_lineup_concentration,hl_bullpen_xwoba_gap,pen_strain_pick_side,home_sp_k_pct,away_sp_k_pct,home_sp_name,away_sp_name,tier,signals,why_skipped,odds_status,stress_warnings,confidence_downgrade,pred_winp_mc,pred_runs_mc,grade,grade_score,grade_reasons,pre_cap_score,pre_cap_grade,pqi_diff,team_quality_mod,away_top_5_batters_json,home_top_5_batters_json,away_bvp_top5_json,home_bvp_top5_json,pick_prob_blend,edge_pp_blend,blend_basis
COL @ MIL,823759,1,MIL,0.5981,0.768,0.1699,0.7,0.7,0.768,0.797,19204.0,0.7315,-3.15,0.007,0.0,0.0,0.0,0.0,0.0,0.957,1.19,0.0344,0.1156,25.29,13.42,Shane Drohan,Tomoyuki Sugano,SKIP,"F1_xera_gap=4.58, F3_swing_take_gap=3890.1, F5_bullpen_gap=+2.31, prob_ceiling_0.70, tier_demoted_DIAMOND_to_GOLD, staking_disabled","edge -3.15pp outside [4,15]pp | guardrail: DIAMOND demoted to GOLD (rolling win rate below benchmark) | staking disabled — model under repair (staked tier AUC 0.48 < coin flip; see config.STAKING_ENABLED)",fetched,,True,,,B-,1,"F-signal fires (+1) | SP edge 3.69 xERA agrees with pick (+2) | PQI confirms pick (Δ=+47.6) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 disagree (Δ=0.14) (-1) | [HARD CAP 1] negative-edge GOLD (-3.1pp < 0) prevents GOLD confirmation (score 3 -> 1) | [PRE_CAP_SCORE=3]",3,B+,47.5590893974195,1,[],[],[],[],0.7236,-0.79,blend
KC @ DET,824248,1,DET,0.5615,0.5868,0.0254,0.5868,0.5868,0.5868,0.5277,15019.0,0.771,-18.41,-0.1909,0.0,0.0,0.0,0.0,0.0,1.538,0.964,0.0119,0.1022,30.91,22.69,Tarik Skubal,Beck Way,SKIP,"F3_swing_take_gap=2753.9, staking_disabled","edge -18.41pp outside [4,15]pp | tier GOLD -> stake_mult=0 | staking disabled — model under repair (staked tier AUC 0.48 < coin flip; see config.STAKING_ENABLED)",fetched,,False,,,C,0,"F-signal fires (+1) | PQI confirms pick (Δ=+18.8) (+1) | Stage 1/2 agree (Δ=0.01) (+1) | [HARD CAP 1] negative-edge GOLD (-18.4pp < 0) prevents GOLD confirmation (score 3 -> 1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.545 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=3]",3,B+,18.780290997247455,0,[],[],[],[],0.7249,-4.61,blend
CHC @ PIT,823352,1,PIT,0.4686,0.5125,0.0439,0.5125,0.5125,0.5125,0.5113,13955.0,0.5318,-1.92,-0.0258,0.0,0.0,0.0,0.0,0.0,1.026,1.067,-0.0006,0.0972,28.01,23.35,Jared Jones,Matthew Boyd,SKIP,"F1_xera_gap=1.66*, staking_disabled","edge -1.92pp outside [4,15]pp | tier GOLD -> stake_mult=0 | staking disabled — model under repair (staked tier AUC 0.48 < coin flip; see config.STAKING_ENABLED)",fetched,,True,,,B-,1,F-signal fires (+1) | SP edge 1.40 xERA agrees with pick (+2) | PQI confirms pick (Δ=+21.5) (+1) | Stage 1/2 agree (Δ=0.04) (+1) | negative edge (-1.9pp) caps A at A- (score 5 -> 4) | [HARD CAP 1] negative-edge GOLD (-1.9pp < 0) prevents GOLD confirmation (score 4 -> 1) | [PRE_CAP_SCORE=4],4,A-,21.522198751468025,0,[],[],[],[],0.5270,-0.48,blend
ARI @ WSH,822707,1,ARI,0.4831,0.4586,0.0244,0.5414,0.5414,0.5414,0.5197,15940.0,0.5318,0.96,0.0291,0.0,0.0,0.0,0.0,0.0,1.191,1.233,-0.0292,0.1144,23.42,17.06,Carson Palmquist,Eduardo Rodriguez,SKIP,"F3_swing_take_gap=8747.8, F5_bullpen_gap=+0.82, tier_demoted_PLATINUM_to_GOLD, staking_disabled","edge +0.96pp outside [4,15]pp | guardrail: PLATINUM demoted to GOLD (rolling win rate below benchmark) | staking disabled — model under repair (staked tier AUC 0.48 < coin flip; see config.STAKING_ENABLED)",fetched,,True,,,C,0,"F-signal fires (+1) | PQI AGAINST (late-game-degradation) pick (Δ=+8.4) (-1) | Stage 1/2 agree (Δ=0.02) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.523 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=1]",1,B-,8.41787678096631,0,[],[],[],[],0.5342,0.24,blend
NYY @ PHI,823434,1,NYY,0.675,0.4777,0.1973,0.5223,0.5223,0.5223,0.5313,15059.0,0.4447,7.77,0.1491,0.0,0.0,0.0,0.0,0.0,1.301,1.119,-0.0107,0.087,28.85,22.82,Jesús Luzardo,Will Warren,SKIP,staking_disabled,tier SKIP -> stake_mult=0 | staking disabled — model under repair (staked tier AUC 0.48 < coin flip; see config.STAKING_ENABLED),fetched,bullpen_fatigue,True,,,D,-3,F-signal fires (+1) | SP edge 1.58 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=+28.5) (-1) | Stage 1/2 disagree (Δ=0.13) (-1),-3,D,28.50120181767067,0,[],[],[],[],0.4641,1.94,blend
LAD @ NYM,823601,1,LAD,0.4858,0.3588,0.127,0.6412,0.6412,0.6412,0.5313,17411.0,0.6035,3.77,0.096,0.0,0.0,0.0,0.0,0.0,1.067,1.099,0.0099,0.1069,21.67,22.45,Sean Manaea,Roki Sasaki,SKIP,"F2_xwoba_gap=0.026, staking_disabled","edge +3.77pp outside [4,15]pp | tier GOLD -> stake_mult=0 | staking disabled — model under repair (staked tier AUC 0.48 < coin flip; see config.STAKING_ENABLED)",fetched,,False,,,B-,1,"F-signal fires (+1) | team_quality modifier (+1; DISABLED, score+=0)",1,B-,-0.2486125269504953,1,[],[],[],[],0.6129,0.94,blend
CLE @ TB,822952,1,TB,0.522,0.6113,0.0893,0.6113,0.6113,0.6113,0.6034,17484.0,0.5727,3.86,0.0816,0.0,0.0,0.0,0.0,0.0,1.391,1.222,-0.0162,0.0901,21.73,25.12,Shane McClanahan,Joey Cantillo,SKIP,"F3_swing_take_gap=1322.3, staking_disabled","edge +3.86pp outside [4,15]pp | tier GOLD -> stake_mult=0 | staking disabled — model under repair (staked tier AUC 0.48 < coin flip; see config.STAKING_ENABLED)",fetched,,False,,,B,2,F-signal fires (+1) | Stage 1/2 agree (Δ=0.05) (+1),2,B,1.1217568294027132,0,[],[],[],[],0.5823,0.96,blend
TOR @ BOS,824733,1,BOS,0.5399,0.6093,0.0694,0.6093,0.6093,0.6093,0.6099,19630.0,0.5425,6.68,0.1391,0.0,0.0,0.0,0.0,0.0,1.021,1.131,0.0108,0.0939,22.73,23.81,Patrick Sandoval,Trey Yesavage,SKIP,"F3_swing_take_gap=3645.1, staking_disabled",tier GOLD -> stake_mult=0 | staking disabled — model under repair (staked tier AUC 0.48 < coin flip; see config.STAKING_ENABLED),fetched,,False,,,B-,1,"F-signal fires (+1) | PQI AGAINST (late-game-degradation) pick (Δ=-5.0) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.03) (+1)",1,B-,-5.0322240328699195,1,[],[],[],[],0.5592,1.67,blend
HOU @ CHW,824573,1,HOU,0.6905,0.4657,0.2248,0.5343,0.5343,0.5343,0.5313,17405.0,0.4324,10.19,0.2022,0.0,0.0,0.0,0.0,0.0,1.271,1.542,-0.0234,0.1004,21.2,23.1,Davis Martin,Spencer Arrighetti,SKIP,staking_disabled,tier SKIP -> stake_mult=0 | staking disabled — model under repair (staked tier AUC 0.48 < coin flip; see config.STAKING_ENABLED),fetched,,False,,,D,-3,F-signal fires (+1) | SP edge 0.70 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=+8.2) (-1) | Stage 1/2 disagree (Δ=0.16) (-1),-3,D,8.199161521885237,0,[],[],[],[],0.4579,2.55,blend
SEA @ TEX,822872,1,TEX,0.4551,0.6443,0.1892,0.6443,0.6443,0.6443,0.6563,16059.0,0.4682,17.61,0.3596,0.0,0.0,0.0,0.0,0.0,1.186,1.222,-0.0134,0.0941,25.43,30.23,MacKenzie Gore,Bryce Miller,SKIP,staking_disabled,"edge +17.61pp outside [4,15]pp | tier SKIP -> stake_mult=0 | staking disabled — model under repair (staked tier AUC 0.48 < coin flip; see config.STAKING_ENABLED)",fetched,,False,,,D,-2,F-signal fires (+1) | SP edge 1.48 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-23.9) (-1),-2,D,-23.865714495467458,0,[],[],[],[],0.5122,4.40,blend
OAK @ MIN,823680,1,MIN,0.6272,0.6863,0.0591,0.6863,0.6863,0.6863,0.6453,19560.0,0.5841,10.23,0.1947,0.0,0.0,0.0,0.0,0.0,1.213,1.111,-0.0055,0.0999,19.53,17.16,Zebby Matthews,Jacob Lopez,SKIP,staking_disabled,tier SKIP -> stake_mult=0 | staking disabled — model under repair (staked tier AUC 0.48 < coin flip; see config.STAKING_ENABLED),fetched,,False,,,D,-1,"F-signal fires (+1) | SP edge 0.90 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-21.4) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.05) (+1)",-1,D,-21.425717780259188,1,[],[],[],[],0.6097,2.56,blend
CIN @ STL,823031,1,CIN,0.8017,0.4798,0.3218,0.5202,0.5202,0.5202,0.4922,19113.0,0.3843,13.58,0.2848,0.0,0.0,0.0,0.0,0.0,1.141,1.124,0.0025,0.1079,23.72,16.99,Dustin May,Rhett Lowder,SKIP,staking_disabled,fair_prob 0.384 < 0.42 | tier SKIP -> stake_mult=0 | staking disabled — model under repair (staked tier AUC 0.48 < coin flip; see config.STAKING_ENABLED),fetched,,False,,,D,-3,F-signal fires (+1) | SP edge 1.73 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=+24.1) (-1) | Stage 1/2 disagree (Δ=0.22) (-1),-3,D,24.061725765391728,0,[],[],[],[],0.4183,3.40,blend
LAA @ SF,823196,1,SF,0.8697,0.634,0.2357,0.634,0.634,0.634,0.6302,19095.0,0.6321,0.19,0.0302,0.0,0.0,0.0,0.0,0.0,1.097,1.262,0.0067,0.1011,19.51,16.86,Logan Webb,Grayson Rodriguez,SKIP,"F3_swing_take_gap=563.4, staking_disabled","edge +0.19pp outside [4,15]pp | tier GOLD -> stake_mult=0 | staking disabled — model under repair (staked tier AUC 0.48 < coin flip; see config.STAKING_ENABLED)",fetched,,True,,,B-,1,F-signal fires (+1) | SP edge 3.47 xERA agrees with pick (+2) | PQI confirms pick (Δ=+25.0) (+1) | Stage 1/2 disagree (Δ=0.15) (-1) | [HARD CAP 4] Stage 1/2 delta 0.15 + confidence_downgrade=True (score 3 -> 1) | [PRE_CAP_SCORE=3],3,B+,24.964174070686525,0,[],[],[],[],0.6326,0.05,blend
ATL @ BAL,824812,1,TBD,,,,,,,,,,,,,,,,,,,,,,,,,PENDING_SP_DATA,thin_sp_data,Probable SP not yet announced for BAL (home); will fill in next workflow run (needs 100+ Statcast pitches once announced to score),pending_sp_data,,False,,,C,0,pending_sp_data — ungraded (probable SP not yet announced),0,C,,,[],[],[],[],,,
SD @ MIA,823843,1,TBD,,,,,,,,,,,,,,,,,,,,,,,,,PENDING_SP_DATA,thin_sp_data,Probable SP not yet announced for MIA (home); will fill in next workflow run (needs 100+ Statcast pitches once announced to score),pending_sp_data,,False,,,C,0,pending_sp_data — ungraded (probable SP not yet announced),0,C,,,[],[],[],[],,,
