game_date,home_team,away_team,total_line,pred_runs,edge_runs,side,decimal,our_prob,book_fair,stake_units
2026-05-19,MIA,ATL,8.0,9.66,1.66,over,1.87,0.5464,0.5131,0.49
2026-05-19,DET,CLE,8.0,8.79,0.79,over,1.943,0.5092,0.4933,0.0
2026-05-19,TB,BAL,7.5,8.55,1.05,over,1.909,0.5216,0.5007,0.0
2026-05-19,PHI,CIN,8.5,10.25,1.75,over,1.918,0.533,0.498,0.48
2026-05-19,WSH,NYM,9.0,8.68,0.32,under,1.844,0.5294,0.5231,0.0
2026-05-19,NYY,TOR,8.5,10.53,2.03,over,1.833,0.5668,0.5263,0.94
2026-05-19,KC,BOS,7.5,9.21,1.71,over,1.905,0.5389,0.5047,0.59
2026-05-19,MIN,HOU,8.5,9.6,1.1,over,1.952,0.5095,0.4875,0.0
2026-05-19,CHC,MIL,7.5,9.32,1.82,over,1.922,0.5343,0.498,0.58
2026-05-19,STL,PIT,8.0,8.71,0.71,over,1.901,0.5181,0.5039,0.0
