game_date,home_team,away_team,total_line,pred_runs,edge_runs,side,decimal,our_prob,book_fair,stake_units,book,pred_runs_bvp_adjusted,total_runs_delta,home_runs_delta,away_runs_delta,home_bvp_n_pa,away_bvp_n_pa,home_bvp_ops_shrunk,away_bvp_ops_shrunk,bvp_signal_strength,player_aware_signal,pred_winp_mc,pred_runs_mc
2026-06-27,DET,HOU,13.0,8.86,4.14,under,1.787,0.6181,0.5354,2.66,pinnacle,8.95,0.083,0.102,-0.019,20.0,42.0,0.7657,0.716,6.889,"{""lineup_xwoba_h"":0.32,""lineup_xwoba_a"":0.339,""lineup_wrcplus_h"":107.0,""lineup_wrcplus_a"":109.0,""bvp_pa_total"":62,""bvp_delta_runs"":0.083}",0.4916,7.58
2026-06-27,BOS,NYY,9.0,8.02,0.98,under,2.02,0.487,0.4674,0.0,pinnacle,7.95,-0.065,-0.067,0.002,44.0,2.0,0.7062,0.7268,5.111,"{""lineup_xwoba_h"":0.31,""lineup_xwoba_a"":0.312,""lineup_wrcplus_h"":107.0,""lineup_wrcplus_a"":118.0,""bvp_pa_total"":46,""bvp_delta_runs"":-0.065}",0.4871,8.74
2026-06-27,TOR,TEX,8.0,9.44,1.44,over,1.98,0.5178,0.4889,0.52,pinnacle,9.61,0.17,0.029,0.141,13.0,75.0,0.74,0.7481,9.778,"{""lineup_xwoba_h"":0.311,""lineup_xwoba_a"":0.321,""lineup_wrcplus_h"":110.0,""lineup_wrcplus_a"":106.0,""bvp_pa_total"":88,""bvp_delta_runs"":0.17}",0.5013,7.87
2026-06-27,PIT,CIN,8.0,8.51,0.51,over,1.935,0.5131,0.5028,0.0,pinnacle,8.45,-0.064,-0.08,0.016,34.0,7.0,0.6989,0.7402,4.556,"{""lineup_xwoba_h"":0.317,""lineup_xwoba_a"":0.332,""lineup_wrcplus_h"":109.0,""lineup_wrcplus_a"":111.0,""bvp_pa_total"":41,""bvp_delta_runs"":-0.064}",0.4979,7.67
2026-06-27,CHW,KC,8.0,8.65,0.65,over,1.917,0.5213,0.5083,0.0,pinnacle,8.72,0.074,-0.052,0.126,42.0,53.0,0.7089,0.7452,10.556,"{""lineup_xwoba_h"":0.34,""lineup_xwoba_a"":0.318,""lineup_wrcplus_h"":113.0,""lineup_wrcplus_a"":101.0,""bvp_pa_total"":95,""bvp_delta_runs"":0.074}",0.4897,8.17
2026-06-27,TB,ARI,8.5,9.67,1.17,over,2.03,0.4985,0.4751,0.23,pinnacle,9.67,0.002,0.0,0.002,0.0,6.0,0.72,0.7228,0.667,"{""lineup_xwoba_h"":0.333,""lineup_xwoba_a"":0.327,""lineup_wrcplus_h"":112.0,""lineup_wrcplus_a"":102.0,""bvp_pa_total"":6,""bvp_delta_runs"":0.002}",,
2026-06-27,BAL,WSH,9.0,9.45,0.45,over,2.05,0.4764,0.4673,0.0,pinnacle,9.45,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0,"{""lineup_xwoba_h"":0.312,""lineup_xwoba_a"":0.334,""lineup_wrcplus_h"":103.0,""lineup_wrcplus_a"":108.0,""bvp_pa_total"":0,""bvp_delta_runs"":0.0}",,
2026-06-27,CLE,SEA,7.5,8.64,1.14,over,2.08,0.4835,0.4607,0.1,pinnacle,8.64,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0,"{""lineup_xwoba_h"":0.304,""lineup_xwoba_a"":0.321,""lineup_wrcplus_h"":101.0,""lineup_wrcplus_a"":105.0,""bvp_pa_total"":0,""bvp_delta_runs"":0.0}",,
2026-06-27,MIL,CHC,8.0,7.27,0.73,under,1.926,0.5202,0.5056,0.04,pinnacle,7.27,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0,"{""lineup_xwoba_h"":0.316,""lineup_xwoba_a"":0.329,""lineup_wrcplus_h"":117.0,""lineup_wrcplus_a"":114.0,""bvp_pa_total"":0,""bvp_delta_runs"":0.0}",,
2026-06-27,SD,LAD,,10.37,,,,,,,,10.37,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0,"{""lineup_xwoba_h"":0.323,""lineup_xwoba_a"":0.354,""lineup_wrcplus_h"":103.0,""lineup_wrcplus_a"":117.0,""bvp_pa_total"":0,""bvp_delta_runs"":0.0}",,
2026-06-27,SF,ATL,,9.47,,,,,,,,9.47,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0,"{""lineup_xwoba_h"":0.326,""lineup_xwoba_a"":0.331,""lineup_wrcplus_h"":112.0,""lineup_wrcplus_a"":106.0,""bvp_pa_total"":0,""bvp_delta_runs"":0.0}",,
2026-06-27,LAA,OAK,,8.53,,,,,,,,8.53,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0,"{""lineup_xwoba_h"":0.313,""lineup_xwoba_a"":0.317,""lineup_wrcplus_h"":108.0,""lineup_wrcplus_a"":118.0,""bvp_pa_total"":0,""bvp_delta_runs"":0.0}",,
