game_date,home_team,away_team,total_line,pred_runs,edge_runs,side,decimal,our_prob,book_fair,stake_units,book,pred_runs_bvp_adjusted,total_runs_delta,home_runs_delta,away_runs_delta,home_bvp_n_pa,away_bvp_n_pa,home_bvp_ops_shrunk,away_bvp_ops_shrunk,bvp_signal_strength,player_aware_signal,pred_winp_mc,pred_runs_mc,pred_runs_cal,total_p25,total_p75,total_p10,total_p90,most_probable_total,mpt_prob,cal_basis
2026-07-19,TOR,CHW,,9.31,,,,,,,,9.33,0.026,0.026,0.0,30.0,0.0,0.7279,0.73,3.333,"{""lineup_xwoba_h"":0.295,""lineup_xwoba_a"":0.338,""lineup_wrcplus_h"":104.0,""lineup_wrcplus_a"":112.0,""bvp_pa_total"":30,""bvp_delta_runs"":0.026}",0.4453,9.68,8.94,5.8,11.9,3.9,15.0,9,0.107,no_line
2026-07-19,NYY,LAD,9.0,11.35,2.35,over,1.909,0.547,0.5,0.97,bovada,11.35,0.0,0.0,0.0,0.0,0.0,0.73,0.72,0.0,"{""lineup_xwoba_h"":0.337,""lineup_xwoba_a"":0.357,""lineup_wrcplus_h"":113.0,""lineup_wrcplus_a"":121.0,""bvp_pa_total"":0,""bvp_delta_runs"":0.0}",,,9.47,6.6,12.0,4.6,14.7,9,0.107,blend
2026-07-19,BOS,TB,,10.09,,,,,,,,10.13,0.036,-0.008,0.044,11.0,33.0,0.7132,0.7321,4.889,"{""lineup_xwoba_h"":0.341,""lineup_xwoba_a"":0.315,""lineup_wrcplus_h"":115.0,""lineup_wrcplus_a"":113.0,""bvp_pa_total"":44,""bvp_delta_runs"":0.036}",0.5296,10.05,8.98,5.9,11.9,3.9,15.0,9,0.107,no_line
2026-07-19,PHI,NYM,,8.67,,,,,,,,8.66,-0.015,-0.038,0.023,31.0,12.0,0.7089,0.7369,4.778,"{""lineup_xwoba_h"":0.336,""lineup_xwoba_a"":0.343,""lineup_wrcplus_h"":110.0,""lineup_wrcplus_a"":106.0,""bvp_pa_total"":43,""bvp_delta_runs"":-0.015}",0.4904,10.52,8.91,5.8,11.8,3.8,14.9,9,0.107,no_line
2026-07-19,ATL,TEX,,9.34,,,,,,,,9.29,-0.045,-0.085,0.04,58.0,14.0,0.703,0.7458,8.0,"{""lineup_xwoba_h"":0.331,""lineup_xwoba_a"":0.328,""lineup_wrcplus_h"":113.0,""lineup_wrcplus_a"":111.0,""bvp_pa_total"":72,""bvp_delta_runs"":-0.045}",0.5283,9.96,8.94,5.8,11.9,3.9,15.0,9,0.107,no_line
2026-07-19,CLE,PIT,,8.87,,,,,,,,8.89,0.011,0.011,0.0,8.0,0.0,0.7324,0.73,0.889,"{""lineup_xwoba_h"":0.306,""lineup_xwoba_a"":0.316,""lineup_wrcplus_h"":108.0,""lineup_wrcplus_a"":110.0,""bvp_pa_total"":8,""bvp_delta_runs"":0.011}",0.4945,8.46,8.92,5.8,11.8,3.8,14.9,9,0.107,no_line
2026-07-19,HOU,BAL,7.5,9.33,1.83,over,2.38,0.411,0.3745,0.0,pinnacle,9.36,0.036,0.081,-0.045,26.0,48.0,0.7481,0.7111,8.222,"{""lineup_xwoba_h"":0.326,""lineup_xwoba_a"":0.333,""lineup_wrcplus_h"":111.0,""lineup_wrcplus_a"":104.0,""bvp_pa_total"":74,""bvp_delta_runs"":0.036}",0.5238,9.05,7.91,5.1,10.4,3.1,13.2,8,0.107,blend
2026-07-19,KC,SD,18.5,9.61,8.89,under,1.98,0.5756,0.4756,2.85,pinnacle,9.78,0.171,0.134,0.037,36.0,17.0,0.7535,0.7398,5.889,"{""lineup_xwoba_h"":0.322,""lineup_xwoba_a"":0.31,""lineup_wrcplus_h"":103.0,""lineup_wrcplus_a"":104.0,""bvp_pa_total"":53,""bvp_delta_runs"":0.171}",0.5229,8.88,18.58,15.7,21.1,13.7,23.8,19,0.107,blend
2026-07-19,MIL,MIA,,8.48,,,,,,,,8.45,-0.025,-0.025,0.0,28.0,0.0,0.712,0.73,3.111,"{""lineup_xwoba_h"":0.338,""lineup_xwoba_a"":0.315,""lineup_wrcplus_h"":115.0,""lineup_wrcplus_a"":117.0,""bvp_pa_total"":28,""bvp_delta_runs"":-0.025}",0.5503,9.11,8.90,5.8,11.8,3.8,14.9,9,0.107,no_line
2026-07-19,CHC,MIN,,9.04,,,,,,,,9.06,0.022,0.0,0.022,0.0,25.0,0.73,0.7278,2.778,"{""lineup_xwoba_h"":0.317,""lineup_xwoba_a"":0.334,""lineup_wrcplus_h"":114.0,""lineup_wrcplus_a"":117.0,""bvp_pa_total"":25,""bvp_delta_runs"":0.022}",0.5038,8.64,8.93,5.8,11.9,3.9,14.9,9,0.107,no_line
