n,wr,roi,pnl,min_edge,max_edge,min_fair,n_2023,wr_2023,roi_2023,n_2024,wr_2024,roi_2024,n_2025,wr_2025,roi_2025
34,0.6470588235294118,0.1691929953892166,5.752561843233364,0.06,0.07,0.5,10,0.5,-0.08594053702983813,13,0.6153846153846154,0.13803052667950028,11,0.8181818181818182,0.43796094242711286
90,0.5555555555555556,0.06396813085945602,5.7571317773510415,0.06,0.07,0.45,29,0.4482758620689655,-0.1297667598151582,34,0.5588235294117647,0.08791643387045317,27,0.6666666666666666,0.2418966318664897
134,0.5746268656716418,0.04497967370885436,6.027276276986484,0.04,0.07,0.5,24,0.5416666666666666,-0.025214426698646337,47,0.574468085106383,0.06020212434049691,63,0.5873015873015873,0.06036385196429588
104,0.5288461538461539,0.023482036320683075,2.44213177735104,0.06,0.07,0.35,35,0.4857142857142857,-0.03366388670398826,39,0.5128205128205128,0.002286121835779703,30,0.6,0.1177069686798407
104,0.5288461538461539,0.023482036320683075,2.44213177735104,0.06,0.07,0.4,35,0.4857142857142857,-0.03366388670398826,39,0.5128205128205128,0.002286121835779703,30,0.6,0.1177069686798407
793,0.489281210592686,0.01862715855277709,14.771336732352232,0.06,0.15,0.35,270,0.4740740740740741,0.01931907895394554,244,0.4713114754098361,-0.017483976607396187,279,0.5197132616487455,0.04953862260570466
106,0.5566037735849056,0.015236667003418173,1.6150867023623263,0.06,0.1,0.5,28,0.5,-0.08850418516864549,36,0.5833333333333334,0.09154392576590281,42,0.5714285714285714,0.018991013321711887
698,0.49570200573065903,0.014278419387324109,9.966336732352229,0.06,0.15,0.4,209,0.4784688995215311,-0.0016452090068646093,224,0.47767857142857145,-0.014625403090199426,265,0.5245283018867924,0.05126896493204379
917,0.48964013086150493,0.010287328281991238,9.433480034585966,0.05,0.15,0.35,307,0.48859934853420195,0.03859910880182615,288,0.4652777777777778,-0.03765528663710239,322,0.5124223602484472,0.02617477075748706
206,0.5533980582524272,0.009173791922890506,1.8898011361154443,0.04,0.1,0.5,42,0.5238095238095238,-0.052949001314076316,70,0.5714285714285714,0.06186691892489074,94,0.5531914893617021,-0.002308778015273407
77,0.5584415584415584,0.009093248087385418,0.7001801027286771,0.05,0.07,0.5,18,0.5,-0.09999531066992239,26,0.5384615384615384,-0.0007654551675340127,33,0.6060606060606061,0.07636356148918681
822,0.4951338199513382,0.0056307542999829265,4.628480034585966,0.05,0.15,0.4,246,0.4959349593495935,0.025568806512848066,268,0.4701492537313433,-0.03677135280405034,308,0.5162337662337663,0.026601546051658535
203,0.5221674876847291,0.0037402713280038523,0.759275079584782,0.05,0.07,0.45,58,0.5172413793103449,0.003629983619926579,75,0.5066666666666667,-0.007859646769138806,70,0.5428571428571428,0.016260136247349292
