matchup,pick,f5_prob,full_prob,p_model,fair_prob,edge_pp,ev_per_dollar,tier,signals,why_skipped
TB @ CLE,TB,0.5689,0.3955,0.6045,0.4497,15.49,0.2725,GOLD,F3_swing_take_gap=1070.2,"edge +15.49pp outside [4,15]pp | tier GOLD -> stake_mult=0"
HOU @ BAL,HOU,0.6957,0.3088,0.6912,0.4352,25.6,0.4895,SKIP,,"edge +25.60pp outside [4,15]pp | tier SKIP -> stake_mult=0"
SF @ PHI,PHI,0.6669,0.5783,0.5783,0.6212,-4.3,-0.0722,GOLD,F3_swing_take_gap=944.5,"edge -4.30pp outside [4,15]pp | tier GOLD -> stake_mult=0"
BOS @ TOR,TOR,0.5011,0.7401,0.7401,0.5153,22.48,0.3836,SKIP,,"model_prob 0.740 outside [0.48,0.72] | edge +22.48pp outside [4,15]pp | tier SKIP -> stake_mult=0"
WSH @ NYM,WSH,0.56,0.2407,0.7593,0.3503,40.89,0.94,SKIP,,"model_prob 0.759 outside [0.48,0.72] | fair_prob 0.350 < 0.42 | edge +40.89pp outside [4,15]pp | tier SKIP -> stake_mult=0"
DET @ ATL,ATL,0.3168,0.6928,0.6928,0.5308,16.19,0.27,SKIP,,"edge +16.19pp outside [4,15]pp | tier SKIP -> stake_mult=0"
SEA @ MIN,MIN,0.6664,0.6891,0.6891,0.4621,22.69,0.416,SKIP,,"edge +22.69pp outside [4,15]pp | tier SKIP -> stake_mult=0"
LAA @ CHW,CHW,0.5097,0.9276,0.9276,0.4464,48.13,0.9573,SKIP,,"model_prob 0.928 outside [0.48,0.72] | edge +48.13pp outside [4,15]pp | tier SKIP -> stake_mult=0"
ARI @ MIL,MIL,0.6637,0.8088,0.8088,0.5477,26.11,0.4434,SKIP,,"model_prob 0.809 outside [0.48,0.72] | edge +26.11pp outside [4,15]pp | tier SKIP -> stake_mult=0"
NYY @ TEX,NYY,0.4766,0.2909,0.7091,0.5293,17.98,0.3,GOLD,F2_xwoba_gap=0.024,"edge +17.98pp outside [4,15]pp | tier GOLD -> stake_mult=0"
CHC @ SD,SD,0.5132,0.5229,0.5229,0.4778,4.51,0.0459,SKIP,,tier SKIP -> stake_mult=0
MIA @ LAD,LAD,0.6658,0.7024,0.7024,0.7516,-4.92,-0.0471,PLATINUM,"F2_xwoba_gap=0.035, F3_swing_take_gap=6604.5","edge -4.92pp outside [4,15]pp"
