game_pk,matchup,news_sp_late_scratch_home,news_sp_late_scratch_away,news_anchor_sp_home_id,news_anchor_sp_away_id,news_current_sp_home_id,news_current_sp_away_id,news_ump_plate_id,news_ump_plate_name,news_ump_bias_pp,news_bullpen_short_home,news_bullpen_short_away,news_anchor_home_decimal,news_current_home_decimal,news_line_move_home_bps,news_model_prob_delta,news_tier_demotion_steps,news_rationale,news_rules_fired
824447,TB @ CLE,False,False,676440,607259.0,676440,607259,665297.0,Tom Hanahan,0.0,False,False,1.7751937984496124,1.8620689655172413,-263,-0.015,0,sharp move -263bps confirms model side -> +1.5pp,line_move_strong
824849,HOU @ BAL,False,False,669358,678906.0,669358,678906,,,0.0,False,False,1.7518796992481203,1.8064516129032258,-172,-0.015,0,sharp move -172bps confirms model side -> +1.5pp,line_move_strong
823473,SF @ PHI,False,False,666200,641816.0,666200,641816,,,0.0,False,False,1.606060606060606,1.7352941176470589,-464,0.0,0,,
822823,BOS @ TOR,False,False,702056,801139.0,702056,801139,,,0.0,True,False,1.9174311926605505,1.925925925925926,-23,-0.015,0,home bullpen short -> 1.5pp toward away,bullpen_short_home
823636,WSH @ NYM,False,False,605280,641793.0,605280,641793,489985.0,Chad Whitson,0.0,False,False,1.558659217877095,1.5617977528089888,-13,0.0,0,,
824931,DET @ ATL,False,False,527048,663554.0,527048,663554,,,0.0,True,False,1.8695652173913042,2.2199999999999998,-844,-0.015,0,home bullpen short -> 1.5pp toward away,bullpen_short_home
823716,SEA @ MIN,False,False,657746,669302.0,657746,669302,427139.0,Doug Eddings,0.0,False,False,2.05,2.08,-70,0.0,0,,
824610,LAA @ CHW,False,False,663436,667755.0,663436,667755,,,0.0,True,True,2.27,2.02,545,0.015,0,home bullpen short -> 1.5pp toward away | away bullpen short -> 1.5pp toward home | sharp move +545bps confirms model side -> +1.5pp,bullpen_short_home;bullpen_short_away;line_move_strong
823798,ARI @ MIL,False,False,694477,,694477,518876,,,0.0,False,True,1.9523809523809523,1.8620689655172413,248,0.03,0,away bullpen short -> 1.5pp toward home | sharp move +248bps confirms model side -> +1.5pp,bullpen_short_away;line_move_strong
822908,NYY @ TEX,False,False,594798,693645.0,594798,693645,,,0.0,True,False,2.05,1.9433962264150944,268,-0.015,0,home bullpen short -> 1.5pp toward away,bullpen_short_home
823310,CHC @ SD,False,False,621111,665795.0,621111,665795,,,0.0,False,False,2.05,1.9090909090909092,360,0.015,0,sharp move +360bps confirms model side -> +1.5pp,line_move_strong
823956,MIA @ LAD,False,False,660271,676083.0,660271,676083,,,0.0,False,False,1.3389830508474576,1.4878048780487805,-747,0.0,0,,
