matchup,pick,f5_prob,full_prob,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,tier,signals,why_skipped,odds_status,stress_warnings,confidence_downgrade
LAA @ TOR,TOR,0.5953,0.6743,0.6743,0.6743,0.621,2085.0,0.8768,-20.25,-0.2198,SKIP,,"edge -20.25pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,False
OAK @ BAL,BAL,0.4928,0.6323,0.6323,0.6323,0.6563,0.0,0.3393,29.3,0.6346,SKIP,,"fair_prob 0.339 < 0.42 | edge +29.30pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,acute_roster;bullpen_fatigue,True
HOU @ CIN,HOU,0.853,0.4687,0.5313,0.5313,0.5313,2092.0,0.9957,-46.44,-0.4634,SKIP,,"edge -46.44pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,False
TB @ BOS,TB,0.451,0.4507,0.5493,0.5493,0.5313,1834.0,0.1441,40.53,1.6312,GOLD,F3_swing_take_gap=762.4,"fair_prob 0.144 < 0.42 | edge +40.53pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,False
WSH @ MIA,WSH,0.604,0.4816,0.5184,0.5184,0.5192,2327.0,0.5899,-7.15,-0.1438,SKIP,,"edge -7.15pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,False
COL @ PHI,COL,0.489,0.4567,0.5433,0.5433,0.5313,1964.0,0.9819,-43.86,-0.4513,GOLD,F3_swing_take_gap=261.0,"edge -43.86pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,False
MIN @ CLE,CLE,0.4093,0.5237,0.5237,0.5237,0.505,2499.0,0.9747,-45.1,-0.4639,SKIP,,"edge -45.10pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,False
CHC @ TEX,CHC,0.5476,0.4687,0.5313,0.5313,0.5313,2168.0,0.6542,-12.29,-0.1996,GOLD,"F1_xera_gap=0.80*, F2_xwoba_gap=0.023","edge -12.29pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,False
DET @ KC,DET,0.4973,0.4867,0.5133,0.5133,0.5095,2246.0,0.4036,10.97,0.1626,SKIP,,fair_prob 0.404 < 0.42 | tier SKIP -> stake_mult=0,fetched,acute_roster,True
SEA @ CHW,CHW,0.5306,0.7415,0.7415,0.7415,0.7259,0.0,0.5258,21.57,0.3419,SKIP,,"model_prob 0.742 outside [0.48,0.72] | edge +21.57pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,bullpen_fatigue,True
NYY @ MIL,NYY,0.5938,0.4627,0.5373,0.5373,0.5313,1651.0,0.0414,49.59,4.5074,GOLD,"F1_xera_gap=1.68*, F2_xwoba_gap=0.034","fair_prob 0.041 < 0.42 | edge +49.59pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,bullpen_fatigue,True
NYM @ ARI,ARI,0.3144,0.8583,0.8583,0.8583,0.827,0.0,0.4447,41.36,0.8067,SKIP,,"model_prob 0.858 outside [0.48,0.72] | edge +41.36pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,bullpen_fatigue,True
STL @ SD,STL,0.3409,0.4567,0.5433,0.5433,0.5909,2140.0,0.4127,13.07,0.2197,SKIP,,fair_prob 0.413 < 0.42 | tier SKIP -> stake_mult=0,fetched,,False
ATL @ LAD,LAD,0.5011,0.6296,0.6296,0.6296,0.6563,1928.0,0.5278,10.18,0.1543,GOLD,F3_swing_take_gap=1646.6,tier GOLD -> stake_mult=0,fetched,,False
