matchup,pick,f5_prob,full_prob,f5_full_delta,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,kelly_full,kelly_quarter,kelly_eighth,ump_k_pct_delta,ump_bb_pct_delta,tier,signals,why_skipped,odds_status,stress_warnings,confidence_downgrade
LAA @ CLE,CLE,0.5514,0.5455,0.0059,0.5455,0.5455,0.4852,2655.0,0.5617,-1.62,-0.0489,0.0,0.0,0.0,0.0,0.0,SKIP,,"edge -1.62pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,True
WSH @ CIN,TBD,,,,,,,,,,,,,,,,PENDING_SP_DATA,thin_sp_data,Nick Lodolo has only 0 Statcast pitches season-to-date; need 100+ to score,pending_sp_data,,False
COL @ PIT,PIT,0.7435,0.5541,0.1894,0.5541,0.5541,0.5686,2106.0,0.7824,-22.84,-0.2741,0.0,0.0,0.0,0.0,0.0,GOLD,F3_swing_take_gap=3602.3,"edge -22.84pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,bullpen_fatigue,True
PHI @ BOS,PHI,0.4692,0.4447,0.0245,0.5553,0.5553,0.5313,2299.0,0.5825,-2.72,-0.059,0.0,0.0,0.0,0.0,0.0,SKIP,,"edge -2.72pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,True
TB @ TOR,TB,0.7353,0.4811,0.2542,0.5189,0.5189,0.5166,1859.0,0.5358,-1.69,-0.0574,0.0,0.0,0.0,0.0,0.0,GOLD,F3_swing_take_gap=1224.6,"edge -1.69pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,True
CHC @ ATL,ATL,0.3337,0.5027,0.169,0.5027,0.5027,0.4912,1989.0,0.5484,-4.57,-0.1028,0.0,0.0,0.0,0.0,0.0,GOLD,F3_swing_take_gap=774.7,"edge -4.57pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,False
KC @ CHW,CHW,0.5201,0.6548,0.1346,0.6548,0.6548,0.6465,1974.0,0.4637,19.11,0.339,0.25,0.0811,0.0405,0.0,0.0,GOLD,F3_swing_take_gap=2180.3,"edge +19.11pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,False
MIA @ MIN,MIA,0.5525,0.4857,0.0668,0.5143,0.5143,0.5162,2466.0,0.4855,2.88,0.0088,0.0091,0.0023,0.0011,0.0,0.0,GOLD,"F1_xera_gap=1.84*, F3_swing_take_gap=1064.9","edge +2.88pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,True
SD @ MIL,MIL,0.7492,0.6493,0.0999,0.6493,0.6493,0.6563,1678.0,0.5494,9.99,0.1548,0.1988,0.0497,0.0249,0.0,0.0,GOLD,F1_xera_gap=1.90*,tier GOLD -> stake_mult=0,fetched,,False
ARI @ TEX,ARI,0.4203,0.4524,0.032,0.5476,0.5476,0.5313,2327.0,0.4378,10.98,0.172,0.1508,0.0377,0.0189,0.0,0.0,GOLD,F3_swing_take_gap=1780.0,tier GOLD -> stake_mult=0,fetched,,False
SEA @ HOU,TBD,,,,,,,,,,,,,,,,PENDING_SP_DATA,thin_sp_data,Bryce Miller has only 0 Statcast pitches season-to-date; need 100+ to score,pending_sp_data,,False
STL @ OAK,OAK,0.6593,0.5214,0.138,0.5214,0.5214,0.5038,2785.0,0.5925,-7.12,-0.1287,0.0,0.0,0.0,0.0,0.0,GOLD,F1_xera_gap=1.82*,"edge -7.12pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,False
SF @ LAD,LAD,0.4275,0.8077,0.3802,0.8077,0.8077,0.713,2225.0,0.7595,4.82,0.0816,0.2406,0.0601,0.0301,0.0,0.0,PLATINUM,"F1_xera_gap=2.47*, F2_xwoba_gap=0.054, F3_swing_take_gap=10189.4","model_prob 0.808 outside [0.48,0.72]",fetched,,False
NYY @ BAL,TBD,,,,,,,,,,,,,,,,PENDING_SP_DATA,thin_sp_data,Probable SP not yet announced for BAL (home); will fill in next workflow run (needs 100+ Statcast pitches once announced to score),pending_sp_data,,False
DET @ NYM,TBD,,,,,,,,,,,,,,,,PENDING_SP_DATA,thin_sp_data,"Probable SP not yet announced for NYM (home), DET (away); will fill in next workflow run (needs 100+ Statcast pitches once announced to score)",pending_sp_data,,False
