matchup,pick,f5_prob,full_prob,f5_full_delta,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,kelly_full,kelly_quarter,kelly_eighth,ump_k_pct_delta,ump_bb_pct_delta,home_lineup_concentration,away_lineup_concentration,hl_bullpen_xwoba_gap,pen_strain_pick_side,tier,signals,why_skipped,odds_status,stress_warnings,confidence_downgrade
COL @ PIT,PIT,0.4153,0.5526,0.1373,0.5526,0.5526,0.6149,2146.0,0.6385,-8.59,-0.1322,0.0,0.0,0.0,0.0,0.0,1.185,1.102,-0.0032,0.1071,PLATINUM,"F2_xwoba_gap=0.022, F3_swing_take_gap=4130.9","edge -8.59pp outside [4,15]pp",fetched,,False
WSH @ CIN,CIN,0.5554,0.6383,0.083,0.6383,0.6383,0.6563,2647.0,0.6115,2.69,0.0348,0.0561,0.014,0.007,0.0,0.0,1.039,1.28,-0.0089,0.1119,GOLD,"F1_xera_gap=1.40*, F3_swing_take_gap=328.3","edge +2.69pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,True
DET @ NYM,DET,0.754,0.49,0.264,0.51,0.51,0.529,2269.0,0.3652,14.48,0.2623,0.1778,0.0445,0.0222,0.0,0.0,1.138,1.139,0.0002,0.1052,GOLD,F2_xwoba_gap=0.023,fair_prob 0.365 < 0.42 | tier GOLD -> stake_mult=0,fetched,acute_roster,True
SD @ MIL,SD,0.3832,0.4995,0.1164,0.5005,0.5005,0.4726,1714.0,0.4137,8.67,0.121,0.0976,0.0244,0.0122,0.0,0.0,1.33,1.116,-0.0166,0.1007,SKIP,,fair_prob 0.414 < 0.42 | tier SKIP -> stake_mult=0,fetched,,False
SEA @ HOU,HOU,0.6561,0.6426,0.0136,0.6426,0.6426,0.6563,2297.0,0.4511,19.15,0.3462,0.25,0.079,0.0395,0.0,0.0,1.297,0.978,0.0006,0.1073,PLATINUM,"F1_xera_gap=2.50, F3_swing_take_gap=586.1","edge +19.15pp outside [4,15]pp",fetched,acute_roster;bullpen_fatigue,True
STL @ OAK,STL,0.5595,0.4733,0.0861,0.5267,0.5267,0.5284,2860.0,0.4838,4.28,0.0408,0.0418,0.0105,0.0052,0.0,0.0,1.41,1.398,0.004,0.1044,SKIP,,tier SKIP -> stake_mult=0,fetched,,False
PHI @ BOS,PHI,0.5635,0.4447,0.1189,0.5553,0.5553,0.5313,2326.0,0.5147,4.07,0.0403,0.0461,0.0115,0.0058,0.0,0.0,1.091,1.242,-0.0107,0.1006,GOLD,F1_xera_gap=0.93*,tier GOLD -> stake_mult=0,fetched,,False
CHC @ ATL,CHC,0.516,0.4971,0.0189,0.5029,0.5029,0.5126,2035.0,0.3869,11.59,0.1893,0.1387,0.0347,0.0173,0.0,0.0,1.111,1.211,0.0166,0.1057,GOLD,F3_swing_take_gap=1260.3,fair_prob 0.387 < 0.42 | tier GOLD -> stake_mult=0,fetched,,False
KC @ CHW,CHW,0.2479,0.5206,0.2728,0.5206,0.5206,0.5176,2005.0,0.4376,8.3,0.122,0.1056,0.0264,0.0132,0.0,0.0,1.378,1.182,0.0003,0.1099,SKIP,,tier SKIP -> stake_mult=0,fetched,,False
SF @ LAD,LAD,0.457,0.8406,0.3836,0.8406,0.8406,0.6563,2368.0,0.6291,21.15,0.3309,0.25,0.1418,0.0709,0.0,0.0,1.113,1.302,-0.0018,0.1113,SKIP,,"model_prob 0.841 outside [0.48,0.72] | edge +21.15pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,False
MIA @ MIN,TBD,,,,,,,,,,,,,,,,,,,,PENDING_SP_DATA,thin_sp_data,Probable SP not yet announced for MIA (away); will fill in next workflow run (needs 100+ Statcast pitches once announced to score),pending_sp_data,,False
