matchup,pick,f5_prob,full_prob,f5_full_delta,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,kelly_full,kelly_quarter,kelly_eighth,ump_k_pct_delta,ump_bb_pct_delta,home_lineup_concentration,away_lineup_concentration,hl_bullpen_xwoba_gap,pen_strain_pick_side,tier,signals,why_skipped,odds_status,stress_warnings,confidence_downgrade,grade,grade_score,grade_reasons,pre_cap_score,pre_cap_grade,pqi_diff,team_quality_mod,away_top_5_batters_json,home_top_5_batters_json
MIA @ TB,TB,0.4735,0.5559,0.0824,0.5559,0.5559,0.552,1823.0,0.5895,-3.36,-0.0698,0.0,0.0,0.0,0.0,0.0,1.255,1.185,-0.0039,0.0972,GOLD,F1_xera_gap=2.28*,"edge -3.36pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,True,B-,1,"F-signal fires (+1) | SP edge 1.91 xERA agrees with pick (+2) | PQI confirms pick (Δ=+27.4) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.05) (+1) | negative edge (-3.4pp) caps A at A- (score 5 -> 4) | [HARD CAP 1] negative-edge GOLD (-3.4pp < 0) prevents GOLD confirmation (score 4 -> 1) | [PRE_CAP_SCORE=4]",4,A-,27.437967896930225,1,"[{""order"":1,""name"":""Xavier Edwards"",""bat_side"":""S"",""vs_LHP_OPS_career"":0.66,""vs_LHP_PA_career"":355,""vs_RHP_OPS_career"":0.791,""vs_RHP_PA_career"":845,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":2,""name"":""Liam Hicks"",""bat_side"":""L"",""vs_LHP_OPS_career"":0.592,""vs_LHP_PA_career"":96,""vs_RHP_OPS_career"":0.77,""vs_RHP_PA_career"":454,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""LOW_SAMPLE""},{""order"":3,""name"":""Otto Lopez"",""bat_side"":""R"",""vs_LHP_OPS_career"":0.623,""vs_LHP_PA_career"":382,""vs_RHP_OPS_career"":0.756,""vs_RHP_PA_career"":847,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":4,""name"":""Kyle Stowers"",""bat_side"":""L"",""vs_LHP_OPS_career"":0.643,""vs_LHP_PA_career"":175,""vs_RHP_OPS_career"":0.782,""vs_RHP_PA_career"":722,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":5,""name"":""Connor Norby"",""bat_side"":""R"",""vs_LHP_OPS_career"":0.629,""vs_LHP_PA_career"":209,""vs_RHP_OPS_career"":0.74,""vs_RHP_PA_career"":476,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""}]","[{""order"":1,""name"":""Chandler Simpson"",""bat_side"":""L"",""vs_LHP_OPS_career"":0.59,""vs_LHP_PA_career"":172,""vs_RHP_OPS_career"":0.71,""vs_RHP_PA_career"":451,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":2,""name"":""Junior Caminero"",""bat_side"":""R"",""vs_LHP_OPS_career"":0.812,""vs_LHP_PA_career"":287,""vs_RHP_OPS_career"":0.809,""vs_RHP_PA_career"":771,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":3,""name"":""Jonathan Aranda"",""bat_side"":""L"",""vs_LHP_OPS_career"":0.668,""vs_LHP_PA_career"":187,""vs_RHP_OPS_career"":0.843,""vs_RHP_PA_career"":758,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":4,""name"":""Yandy D\u00edaz"",""bat_side"":""R"",""vs_LHP_OPS_career"":0.896,""vs_LHP_PA_career"":1148,""vs_RHP_OPS_career"":0.779,""vs_RHP_PA_career"":2792,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":5,""name"":""Richie Palacios"",""bat_side"":""L"",""vs_LHP_OPS_career"":0.78,""vs_LHP_PA_career"":84,""vs_RHP_OPS_career"":0.679,""vs_RHP_PA_career"":589,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""LOW_SAMPLE""}]"
BAL @ WSH,WSH,0.3276,0.5251,0.1975,0.5251,0.5251,0.5197,2818.0,0.4616,6.35,0.0791,0.0749,0.0187,0.0094,0.0,0.0,1.364,1.192,-0.0072,0.1035,GOLD,F3_swing_take_gap=2986.6,tier GOLD -> stake_mult=0,fetched,,False,B,2,"F-signal fires (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.05) (+1)",2,B,-2.5475433896783315,1,[],"[{""order"":1,""name"":""James Wood"",""bat_side"":""L"",""vs_LHP_OPS_career"":0.769,""vs_LHP_PA_career"":426,""vs_RHP_OPS_career"":0.854,""vs_RHP_PA_career"":815,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":2,""name"":""Luis Garc\u00eda Jr."",""bat_side"":""L"",""vs_LHP_OPS_career"":0.597,""vs_LHP_PA_career"":569,""vs_RHP_OPS_career"":0.745,""vs_RHP_PA_career"":1871,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":3,""name"":""Brady House"",""bat_side"":""R"",""vs_LHP_OPS_career"":0.682,""vs_LHP_PA_career"":135,""vs_RHP_OPS_career"":0.587,""vs_RHP_PA_career"":307,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""SUB_STABLE""},{""order"":4,""name"":""CJ Abrams"",""bat_side"":""L"",""vs_LHP_OPS_career"":0.623,""vs_LHP_PA_career"":709,""vs_RHP_OPS_career"":0.783,""vs_RHP_PA_career"":1635,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":5,""name"":""Daylen Lile"",""bat_side"":""L"",""vs_LHP_OPS_career"":0.658,""vs_LHP_PA_career"":138,""vs_RHP_OPS_career"":0.879,""vs_RHP_PA_career"":412,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""SUB_STABLE""}]"
PHI @ PIT,PHI,0.7375,0.4848,0.2528,0.5152,0.5152,0.4853,2515.0,0.4478,6.74,0.082,0.0746,0.0186,0.0093,0.0,0.0,1.035,1.307,-0.0175,0.1057,GOLD,F3_swing_take_gap=1860.4,tier GOLD -> stake_mult=0,fetched,bullpen_fatigue,True,D,-2,"F-signal fires (+1) | SP edge 1.66 xERA AGAINST pick (-1) [small-sample SP, min_pa=95] | PQI AGAINST (late-game-degradation) pick (Δ=+5.8) (-1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 disagree (Δ=0.16) (-1)",-2,D,5.839626762003718,-1,"[{""order"":1,""name"":""Trea Turner"",""bat_side"":""R"",""vs_LHP_OPS_career"":0.844,""vs_LHP_PA_career"":1551,""vs_RHP_OPS_career"":0.811,""vs_RHP_PA_career"":4256,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":2,""name"":""Kyle Schwarber"",""bat_side"":""L"",""vs_LHP_OPS_career"":0.787,""vs_LHP_PA_career"":1670,""vs_RHP_OPS_career"":0.881,""vs_RHP_PA_career"":3922,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":3,""name"":""Bryce Harper"",""bat_side"":""L"",""vs_LHP_OPS_career"":0.83,""vs_LHP_PA_career"":2484,""vs_RHP_OPS_career"":0.942,""vs_RHP_PA_career"":5374,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":4,""name"":""Alec Bohm"",""bat_side"":""R"",""vs_LHP_OPS_career"":0.852,""vs_LHP_PA_career"":886,""vs_RHP_OPS_career"":0.685,""vs_RHP_PA_career"":2233,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":5,""name"":""Brandon Marsh"",""bat_side"":""L"",""vs_LHP_OPS_career"":0.582,""vs_LHP_PA_career"":509,""vs_RHP_OPS_career"":0.805,""vs_RHP_PA_career"":1750,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""}]","[{""order"":1,""name"":""Oneil Cruz"",""bat_side"":""L"",""vs_LHP_OPS_career"":0.6,""vs_LHP_PA_career"":463,""vs_RHP_OPS_career"":0.792,""vs_RHP_PA_career"":1293,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":2,""name"":""Brandon Lowe"",""bat_side"":""L"",""vs_LHP_OPS_career"":0.686,""vs_LHP_PA_career"":731,""vs_RHP_OPS_career"":0.851,""vs_RHP_PA_career"":2442,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":3,""name"":""Bryan Reynolds"",""bat_side"":""S"",""vs_LHP_OPS_career"":0.775,""vs_LHP_PA_career"":1206,""vs_RHP_OPS_career"":0.816,""vs_RHP_PA_career"":2993,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":4,""name"":""Nick Gonzales"",""bat_side"":""R"",""vs_LHP_OPS_career"":0.706,""vs_LHP_PA_career"":290,""vs_RHP_OPS_career"":0.679,""vs_RHP_PA_career"":795,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":5,""name"":""Spencer Horwitz"",""bat_side"":""L"",""vs_LHP_OPS_career"":0.551,""vs_LHP_PA_career"":157,""vs_RHP_OPS_career"":0.833,""vs_RHP_PA_career"":829,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""}]"
BOS @ ATL,ATL,0.6271,0.6713,0.0443,0.6713,0.6713,0.6563,2163.0,0.6115,5.98,0.0857,0.1389,0.0347,0.0174,0.0,0.0,1.184,1.064,0.0119,0.1102,PLATINUM,"F1_xera_gap=1.88*, F2_xwoba_gap=0.030, F3_swing_take_gap=5823.2",,fetched,,False,A,10,"clears every gate (+3) | PLATINUM tier (+2; SP edge confirms) | F-signal fires (+1) | SP edge 1.81 xERA agrees with pick (+2) | PQI confirms pick (Δ=+28.8) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.03) (+1)",10,A,28.77532475897727,1,"[{""order"":1,""name"":""Jarren Duran"",""bat_side"":""L"",""vs_LHP_OPS_career"":0.618,""vs_LHP_PA_career"":595,""vs_RHP_OPS_career"":0.812,""vs_RHP_PA_career"":1705,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":2,""name"":""Mickey Gasper"",""bat_side"":""S"",""vs_LHP_OPS_career"":0.542,""vs_LHP_PA_career"":44,""vs_RHP_OPS_career"":0.499,""vs_RHP_PA_career"":111,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""LOW_SAMPLE""},{""order"":3,""name"":""Wilyer Abreu"",""bat_side"":""L"",""vs_LHP_OPS_career"":0.675,""vs_LHP_PA_career"":200,""vs_RHP_OPS_career"":0.828,""vs_RHP_PA_career"":936,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":4,""name"":""Willson Contreras"",""bat_side"":""R"",""vs_LHP_OPS_career"":0.878,""vs_LHP_PA_career"":1142,""vs_RHP_OPS_career"":0.789,""vs_RHP_PA_career"":3315,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":5,""name"":""Ceddanne Rafaela"",""bat_side"":""R"",""vs_LHP_OPS_career"":0.688,""vs_LHP_PA_career"":377,""vs_RHP_OPS_career"":0.699,""vs_RHP_PA_career"":1030,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""}]","[{""order"":1,""name"":""Drake Baldwin"",""bat_side"":""L"",""vs_LHP_OPS_career"":0.941,""vs_LHP_PA_career"":179,""vs_RHP_OPS_career"":0.814,""vs_RHP_PA_career"":475,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":2,""name"":""Ozzie Albies"",""bat_side"":""S"",""vs_LHP_OPS_career"":0.886,""vs_LHP_PA_career"":1215,""vs_RHP_OPS_career"":0.734,""vs_RHP_PA_career"":3452,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":3,""name"":""Matt Olson"",""bat_side"":""L"",""vs_LHP_OPS_career"":0.799,""vs_LHP_PA_career"":1639,""vs_RHP_OPS_career"":0.89,""vs_RHP_PA_career"":3760,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":4,""name"":""Michael Harris II"",""bat_side"":""L"",""vs_LHP_OPS_career"":0.707,""vs_LHP_PA_career"":653,""vs_RHP_OPS_career"":0.786,""vs_RHP_PA_career"":1592,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":5,""name"":""Austin Riley"",""bat_side"":""R"",""vs_LHP_OPS_career"":0.863,""vs_LHP_PA_career"":878,""vs_RHP_OPS_career"":0.802,""vs_RHP_PA_career"":2802,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""}]"
CIN @ CLE,CLE,0.8165,0.5756,0.2408,0.5756,0.5756,0.5079,3147.0,0.6144,-3.87,-0.0723,0.0,0.0,0.0,0.0,0.0,1.266,1.221,0.0186,0.1072,GOLD,"F1_xera_gap=2.13*, F5_bullpen_gap=+0.87","edge -3.87pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,False,B-,1,F-signal fires (+1) | SP edge 1.78 xERA agrees with pick (+2) | PQI confirms pick (Δ=+29.7) (+1) | Stage 1/2 disagree (Δ=0.23) (-1) | [HARD CAP 1] negative-edge GOLD (-3.9pp < 0) prevents GOLD confirmation (score 3 -> 1) | [PRE_CAP_SCORE=3],3,B+,29.71923217876256,0,"[{""order"":1,""name"":""Will Benson"",""bat_side"":""L"",""vs_LHP_OPS_career"":0.491,""vs_LHP_PA_career"":143,""vs_RHP_OPS_career"":0.748,""vs_RHP_PA_career"":976,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""SUB_STABLE""},{""order"":2,""name"":""Elly De La Cruz"",""bat_side"":""S"",""vs_LHP_OPS_career"":0.642,""vs_LHP_PA_career"":605,""vs_RHP_OPS_career"":0.847,""vs_RHP_PA_career"":1421,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":3,""name"":""JJ Bleday"",""bat_side"":""L"",""vs_LHP_OPS_career"":0.658,""vs_LHP_PA_career"":331,""vs_RHP_OPS_career"":0.74,""vs_RHP_PA_career"":1271,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":4,""name"":""Spencer Steer"",""bat_side"":""R"",""vs_LHP_OPS_career"":0.814,""vs_LHP_PA_career"":546,""vs_RHP_OPS_career"":0.732,""vs_RHP_PA_career"":1625,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":5,""name"":""Sal Stewart"",""bat_side"":""R"",""vs_LHP_OPS_career"":0.989,""vs_LHP_PA_career"":52,""vs_RHP_OPS_career"":0.752,""vs_RHP_PA_career"":207,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""LOW_SAMPLE""}]",[]
TOR @ DET,DET,0.5702,0.5236,0.0466,0.5236,0.5236,0.4887,2139.0,0.4532,7.04,0.0891,0.0825,0.0206,0.0103,0.0,0.0,1.549,1.329,-0.0072,0.0974,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,D,-2,SP edge 1.72 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-31.4) (-1) | Stage 1/2 agree (Δ=0.03) (+1),-2,D,-31.44171575509654,0,[],"[{""order"":1,""name"":""Kevin McGonigle"",""bat_side"":""L"",""vs_LHP_OPS_career"":0.677,""vs_LHP_PA_career"":49,""vs_RHP_OPS_career"":0.87,""vs_RHP_PA_career"":145,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""LOW_SAMPLE""},{""order"":2,""name"":""Dillon Dingler"",""bat_side"":""R"",""vs_LHP_OPS_career"":0.779,""vs_LHP_PA_career"":197,""vs_RHP_OPS_career"":0.71,""vs_RHP_PA_career"":520,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":3,""name"":""Colt Keith"",""bat_side"":""L"",""vs_LHP_OPS_career"":0.59,""vs_LHP_PA_career"":144,""vs_RHP_OPS_career"":0.732,""vs_RHP_PA_career"":1014,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""SUB_STABLE""},{""order"":4,""name"":""Riley Greene"",""bat_side"":""L"",""vs_LHP_OPS_career"":0.711,""vs_LHP_PA_career"":617,""vs_RHP_OPS_career"":0.827,""vs_RHP_PA_career"":1647,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":5,""name"":""Matt Vierling"",""bat_side"":""R"",""vs_LHP_OPS_career"":0.742,""vs_LHP_PA_career"":566,""vs_RHP_OPS_career"":0.687,""vs_RHP_PA_career"":1186,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""}]"
NYY @ NYM,NYY,0.5249,0.4233,0.1016,0.5767,0.5767,0.5313,2442.0,0.4642,11.25,0.1794,0.1717,0.0429,0.0215,0.0,0.0,1.219,1.216,-0.0081,0.1152,GOLD,F2_xwoba_gap=0.027,tier GOLD -> stake_mult=0,fetched,acute_roster,True,B-,1,F-signal fires (+1) | PQI AGAINST (late-game-degradation) pick (Δ=+11.2) (-1) | Stage 1/2 agree (Δ=0.05) (+1),1,B-,11.199898073787615,0,"[{""order"":1,""name"":""Trent Grisham"",""bat_side"":""L"",""vs_LHP_OPS_career"":0.721,""vs_LHP_PA_career"":761,""vs_RHP_OPS_career"":0.715,""vs_RHP_PA_career"":2246,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":2,""name"":""Ben Rice"",""bat_side"":""L"",""vs_LHP_OPS_career"":0.766,""vs_LHP_PA_career"":212,""vs_RHP_OPS_career"":0.859,""vs_RHP_PA_career"":666,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":3,""name"":""Aaron Judge"",""bat_side"":""R"",""vs_LHP_OPS_career"":1.064,""vs_LHP_PA_career"":1302,""vs_RHP_OPS_career"":1.016,""vs_RHP_PA_career"":3904,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":4,""name"":""Cody Bellinger"",""bat_side"":""L"",""vs_LHP_OPS_career"":0.808,""vs_LHP_PA_career"":1539,""vs_RHP_OPS_career"":0.822,""vs_RHP_PA_career"":3421,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":5,""name"":""Jazz Chisholm Jr."",""bat_side"":""L"",""vs_LHP_OPS_career"":0.657,""vs_LHP_PA_career"":713,""vs_RHP_OPS_career"":0.803,""vs_RHP_PA_career"":1813,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""}]","[{""order"":1,""name"":""Carson Benge"",""bat_side"":""L"",""vs_LHP_OPS_career"":0.764,""vs_LHP_PA_career"":25,""vs_RHP_OPS_career"":0.63,""vs_RHP_PA_career"":125,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""LOW_SAMPLE""},{""order"":2,""name"":""Bo Bichette"",""bat_side"":""R"",""vs_LHP_OPS_career"":0.835,""vs_LHP_PA_career"":739,""vs_RHP_OPS_career"":0.778,""vs_RHP_PA_career"":2750,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":3,""name"":""Juan Soto"",""bat_side"":""L"",""vs_LHP_OPS_career"":0.839,""vs_LHP_PA_career"":1606,""vs_RHP_OPS_career"":1.001,""vs_RHP_PA_career"":3325,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":4,""name"":""Mark Vientos"",""bat_side"":""R"",""vs_LHP_OPS_career"":0.768,""vs_LHP_PA_career"":432,""vs_RHP_OPS_career"":0.709,""vs_RHP_PA_career"":896,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":5,""name"":""MJ Melendez"",""bat_side"":""L"",""vs_LHP_OPS_career"":0.643,""vs_LHP_PA_career"":357,""vs_RHP_OPS_career"":0.702,""vs_RHP_PA_career"":1361,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""}]"
TEX @ HOU,HOU,0.7709,0.6443,0.1265,0.6443,0.6443,0.6563,2331.0,0.4749,16.95,0.2887,0.25,0.0722,0.0361,0.0,0.0,1.233,1.256,-0.0039,0.1039,GOLD,F3_swing_take_gap=3752.2,"edge +16.95pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,False,A-,4,"F-signal fires (+1) | SP edge 0.95 xERA agrees with pick (+2) | PQI confirms pick (Δ=+9.1) (+1) | team_quality modifier (+1; DISABLED, score+=0)",4,A-,9.125390403672,1,[],[]
CHC @ CHW,CHW,0.7235,0.5106,0.2129,0.5106,0.5106,0.5473,2211.0,0.443,6.76,0.0825,0.0737,0.0184,0.0092,0.0,0.0,1.247,1.086,0.0001,0.1128,GOLD,"F1_xera_gap=1.29*, F3_swing_take_gap=334.4",tier GOLD -> stake_mult=0,fetched,bullpen_fatigue,True,B-,1,"F-signal fires (+1) | SP edge 1.20 xERA agrees with pick (+2) | PQI confirms pick (Δ=+15.0) (+1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 disagree (Δ=0.13) (-1) | [HARD CAP 4] Stage 1/2 delta 0.13 + confidence_downgrade=True (score 3 -> 1) | [PRE_CAP_SCORE=3]",3,B+,14.98430887749305,-1,[],[]
MIL @ MIN,TBD,,,,,,,,,,,,,,,,,,,,PENDING_SP_DATA,thin_sp_data,Robert Gasser has only 0 Statcast pitches season-to-date; need 100+ to score,pending_sp_data,,False,C,0,pending_sp_data — ungraded (probable SP not yet announced),0,C,,,[],"[{""order"":1,""name"":""Austin Martin"",""bat_side"":""R"",""vs_LHP_OPS_career"":0.825,""vs_LHP_PA_career"":201,""vs_RHP_OPS_career"":0.683,""vs_RHP_PA_career"":375,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":2,""name"":""Brooks Lee"",""bat_side"":""S"",""vs_LHP_OPS_career"":0.67,""vs_LHP_PA_career"":288,""vs_RHP_OPS_career"":0.636,""vs_RHP_PA_career"":591,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":3,""name"":""Ryan Jeffers"",""bat_side"":""R"",""vs_LHP_OPS_career"":0.851,""vs_LHP_PA_career"":628,""vs_RHP_OPS_career"":0.708,""vs_RHP_PA_career"":1368,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":4,""name"":""Kody Clemens"",""bat_side"":""L"",""vs_LHP_OPS_career"":0.621,""vs_LHP_PA_career"":168,""vs_RHP_OPS_career"":0.691,""vs_RHP_PA_career"":737,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""OK""},{""order"":5,""name"":""Luke Keaschall"",""bat_side"":""R"",""vs_LHP_OPS_career"":0.588,""vs_LHP_PA_career"":130,""vs_RHP_OPS_career"":0.785,""vs_RHP_PA_career"":260,""vs_today_SP_OPS"":null,""vs_today_SP_PA"":0,""sample_flag"":""SUB_STABLE""}]"
