matchup,pick,f5_prob,full_prob,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,tier,signals,why_skipped,odds_status,f5_full_delta,kelly_full,kelly_quarter,kelly_eighth,ump_k_pct_delta,ump_bb_pct_delta,home_lineup_concentration,away_lineup_concentration,hl_bullpen_xwoba_gap,pen_strain_pick_side,stress_warnings,confidence_downgrade,grade,grade_score,grade_reasons,pre_cap_score,pre_cap_grade,pqi_diff,team_quality_mod,away_top_5_batters_json,home_top_5_batters_json
ATL @ MIA,TBD,,,,,,,,,,PENDING_SP_DATA,thin_sp_data,Braxton Garrett has only 0 Statcast pitches season-to-date; need 100+ to score,pending_sp_data,,,,,,,,,,,,False,C,0,pending_sp_data — ungraded (probable SP not yet announced),0,C,,,[],[]
CLE @ DET,CLE,0.5029,0.4507,0.5493,0.5493,0.5313,2587.0,0.5358,1.35,-0.0021,GOLD,"F1_xera_gap=1.64*, F3_swing_take_gap=1440.5","edge +1.35pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,0.0522,0.0,0.0,0.0,0.0,0.0,0.974,1.194,-0.0032,0.1021,,True,A,5,"F-signal fires (+1) | SP edge 0.72 xERA agrees with pick (+2) | PQI confirms pick (Δ=-16.7) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.03) (+1)",5,A,-16.720420276658587,1,[],[]
BAL @ TB,TB,0.6638,0.6413,0.6413,0.6413,0.6347,1934.0,0.5206,12.08,0.1895,SKIP,,tier SKIP -> stake_mult=0,fetched,0.0225,0.2217,0.0554,0.0277,0.0,0.0,1.388,1.102,-0.0046,0.0994,bullpen_fatigue,True,D,-1,"SP edge 1.38 xERA AGAINST pick (-1) [small-sample SP, min_pa=99] | PQI AGAINST (late-game-degradation) pick (Δ=-20.8) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.01) (+1)",-1,D,-20.794146910054252,1,[],[]
CIN @ PHI,PHI,0.5703,0.6687,0.6687,0.6687,0.6213,2594.0,0.5776,9.11,0.1364,SKIP,,tier SKIP -> stake_mult=0,fetched,0.0984,0.195,0.0487,0.0244,0.0,0.0,1.089,1.219,0.0285,0.1051,,False,B,2,"PQI confirms pick (Δ=+11.4) (+1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.06) (+1)",2,B,11.350319930861232,1,[],[]
NYM @ WSH,WSH,0.3317,0.5326,0.5326,0.5326,0.4785,2607.0,0.4231,10.95,0.1691,SKIP,,tier SKIP -> stake_mult=0,fetched,0.201,0.1415,0.0354,0.0177,0.0,0.0,1.233,1.201,-0.0074,0.1044,bullpen_fatigue,True,D,-2,"SP edge 1.76 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-27.1) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.05) (+1)",-2,D,-27.134580556052924,1,[],[]
TOR @ NYY,NYY,0.4716,0.732,0.732,0.732,0.6563,2246.0,0.5703,16.18,0.2606,PLATINUM,"F2_xwoba_gap=0.040, F3_swing_take_gap=7982.4","model_prob 0.732 outside [0.48,0.72] | edge +16.18pp outside [4,15]pp",fetched,0.2605,0.25,0.0902,0.0451,0.0,0.0,1.476,1.028,0.0017,0.1119,bullpen_fatigue,True,D,-1,"F-signal fires (+1) | PQI AGAINST (late-game-degradation) pick (Δ=-12.8) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 disagree (Δ=0.16) (-1)",-1,D,-12.812210508087034,1,[],[]
BOS @ KC,TBD,,,,,,,,,,PENDING_SP_DATA,thin_sp_data,Bailey Falter has only 0 Statcast pitches season-to-date; need 100+ to score,pending_sp_data,,,,,,,,,,,,False,C,0,pending_sp_data — ungraded (probable SP not yet announced),0,C,,,[],[]
HOU @ MIN,TBD,,,,,,,,,,PENDING_SP_DATA,thin_sp_data,Zebby Matthews has only 0 Statcast pitches season-to-date; need 100+ to score,pending_sp_data,,,,,,,,,,,,False,C,0,pending_sp_data — ungraded (probable SP not yet announced),0,C,,,[],[]
MIL @ CHC,MIL,0.2132,0.4911,0.5089,0.5089,0.509,1859.0,0.5173,-0.84,-0.0504,GOLD,F3_swing_take_gap=4301.6,"edge -0.84pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,0.2779,0.0,0.0,0.0,0.0,0.0,1.051,1.282,-0.0014,0.1104,,True,B,2,"F-signal fires (+1) | PQI confirms pick (Δ=-5.5) (+1) | team_quality modifier (+1; DISABLED, score+=0)",2,B,-5.5417590949208915,1,[],[]
PIT @ STL,STL,0.5602,0.5514,0.5514,0.5514,0.5262,2780.0,0.516,3.54,0.0357,SKIP,,"edge +3.54pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,0.0088,0.0406,0.0102,0.0051,0.0,0.0,1.342,1.234,-0.0019,0.1043,,False,D,-2,"SP edge 1.59 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-20.6) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.01) (+1)",-2,D,-20.61467913643898,1,[],[]
