matchup,pick,f5_prob,full_prob,f5_full_delta,p_model,pick_prob,p_model_shadow_phase4,bp_min,fair_prob,edge_pp,ev_per_dollar,kelly_full,kelly_quarter,kelly_eighth,ump_k_pct_delta,ump_bb_pct_delta,home_lineup_concentration,away_lineup_concentration,hl_bullpen_xwoba_gap,pen_strain_pick_side,home_sp_k_pct,away_sp_k_pct,home_sp_name,away_sp_name,tier,signals,why_skipped,odds_status,stress_warnings,confidence_downgrade,pred_winp_mc,pred_runs_mc,grade,grade_score,grade_reasons,pre_cap_score,pre_cap_grade,pqi_diff,team_quality_mod,away_top_5_batters_json,home_top_5_batters_json,away_bvp_top5_json,home_bvp_top5_json
MIA @ TOR,MIA,0.5565,0.4463,0.1102,0.5537,0.5537,0.5313,2514.0,0.4217,13.2,0.2902,0.2182,0.0546,0.0273,0.0,0.0,1.145,1.227,0.0045,0.0939,22.34,25.19,Kevin Gausman,Eury Pérez,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,,,D,-2,SP edge 1.80 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=+25.4) (-1) | Stage 1/2 agree (Δ=0.02) (+1),-2,D,25.42520347984331,0,[],[],[],[]
WSH @ CLE,WSH,0.7239,0.4886,0.2353,0.5114,0.5114,0.525,3228.0,0.3477,16.37,0.3654,0.2188,0.0547,0.0274,0.0,0.0,1.215,1.39,0.014,0.1057,29.05,15.35,Gavin Williams,Miles Mikolas,SKIP,,"fair_prob 0.348 < 0.42 | edge +16.37pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,False,,,D,-3,"SP edge 1.13 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=+19.4) (-1) | team_quality modifier (+1; DISABLED, score+=0)",-3,D,19.37034624918698,1,[],[],[],[]
SEA @ OAK,OAK,0.4843,0.5408,0.0565,0.5408,0.5408,0.5234,3148.0,0.4766,6.43,0.1249,0.1157,0.0289,0.0145,0.0,0.0,1.386,1.098,0.0045,0.1103,20.53,24.8,Jeffrey Springs,Logan Gilbert,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,,,C,0,"Stage 1/2 agree (Δ=0.01) (+1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.511 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=1]",1,B-,-2.6743883319062576,0,[],[],[],[]
ARI @ SF,ARI,0.6159,0.2926,0.3233,0.7074,0.7074,0.5545,2863.0,0.5179,18.95,0.3876,0.125,0.0504,0.0252,0.0,0.0,1.161,1.161,-0.0016,0.1016,22.62,23.74,Trevor McDonald,Michael Soroka,SKIP,,"edge +18.95pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,calibration_caution_18_25pp,False,,,D,-1,"SP edge 0.40 xERA AGAINST pick (-1) [small-sample SP, min_pa=94] | team_quality modifier (+1; DISABLED, score+=0)",-1,D,-1.089329554007449,1,[],[],[],[]
PHI @ SD,SD,0.3442,0.5521,0.2079,0.5521,0.5521,0.5808,2845.0,0.4523,9.98,0.1981,0.1693,0.0423,0.0212,0.0,0.0,1.008,1.445,0.0024,0.0934,19.73,28.85,Walker Buehler,Cristopher Sánchez,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,,,D,-2,"SP edge 1.78 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-29.5) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.08) (+1)",-2,D,-29.504535216475944,1,[],[],[],[]
LAA @ DET,DET,0.6084,0.6271,0.0187,0.6271,0.6271,0.6563,2368.0,0.5635,6.36,0.1288,0.161,0.0402,0.0201,0.0,0.0,1.335,1.339,0.0027,0.1049,24.09,27.8,Casey Mize,José Soriano,GOLD,"F1_xera_gap=1.11*, F3_swing_take_gap=2085.0",tier GOLD -> stake_mult=0,fetched,acute_roster;bullpen_fatigue,True,,,B-,1,F-signal fires (+1) | SP edge 0.98 xERA agrees with pick (+2) | PQI confirms pick (Δ=+11.7) (+1) | Stage 1/2 agree (Δ=0.01) (+1) | [HARD CAP 7] pick-side bullpen disadvantage (hl_bullpen_xwoba_gap=+0.0027 >= 0) on tier-elevated pick (score 5 -> 1) | [PRE_CAP_SCORE=5],5,A,11.731173258604429,0,[],[],[],[]
CHC @ PIT,CHC,0.6487,0.4762,0.1724,0.5238,0.5238,0.5151,2708.0,0.4749,4.89,0.1052,0.0948,0.0237,0.0118,0.0,0.0,1.164,1.109,0.0019,0.1069,22.17,20.95,Bubba Chandler,Jameson Taillon,SKIP,,tier SKIP -> stake_mult=0,fetched,,False,,,D,-2,"SP edge 0.71 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=+9.6) (-1) | team_quality modifier (-1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.07) (+1)",-2,D,9.591498558288038,-1,[],[],[],[]
ATL @ BOS,BOS,0.7221,0.5251,0.1969,0.5251,0.5251,0.5,2469.0,0.491,3.42,0.0713,0.0685,0.0171,0.0086,0.0,0.0,1.171,1.073,-0.0134,0.0925,22.12,21.98,Connelly Early,Bryce Elder,SKIP,,"edge +3.42pp outside [4,15]pp | tier SKIP -> stake_mult=0",fetched,,True,,,D,-3,"SP edge 1.70 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=-25.9) (-1) | team_quality modifier (-1; DISABLED, score+=0)",-3,D,-25.933398040008818,-1,[],[],[],[]
MIN @ CHW,CHW,0.695,0.5151,0.1799,0.5151,0.5151,0.5005,2622.0,0.6011,-8.6,-0.0887,0.0,0.0,0.0,0.0,0.0,1.288,0.923,-0.0021,0.109,27.39,23.61,Davis Martin,Connor Prielipp,GOLD,F3_swing_take_gap=3351.4,"edge -8.60pp outside [4,15]pp | tier GOLD -> stake_mult=0",fetched,,False,,,C,0,"F-signal fires (+1) | PQI confirms pick (Δ=+3.7) (+1) | Stage 1/2 agree (Δ=0.09) (+1) | [HARD CAP 1] negative-edge GOLD (-8.6pp < 0) prevents GOLD confirmation (score 3 -> 1) | [HARD CAP 10] bottom-bucket marginal-favorite without Claude CONFIRM (pick_prob=0.508 in (0.50, 0.55], decision='none'; archive non-CONFIRM hit rate 31.2%) (score 1 -> 0) | [PRE_CAP_SCORE=3]",3,B+,3.7070399800438025,0,[],[],[],[]
NYY @ KC,TBD,,,,,,,,,,,,,,,,,,,,,,,,PENDING_SP_DATA,thin_sp_data,Gerrit Cole has only 0 Statcast pitches season-to-date; need 100+ to score,pending_sp_data,,False,,,C,0,pending_sp_data — ungraded (probable SP not yet announced),0,C,,,[],[],[],[]
HOU @ TEX,HOU,0.547,0.4909,0.056,0.5091,0.5091,0.5094,2242.0,0.3991,11.0,0.2268,0.1609,0.0402,0.0201,0.0,0.0,1.344,1.2,-0.0027,0.1056,29.36,18.52,Jacob deGrom,Mike Burrows,SKIP,,fair_prob 0.399 < 0.42 | tier SKIP -> stake_mult=0,fetched,,False,,,D,-2,"SP edge 0.31 xERA AGAINST pick (-2) | PQI AGAINST (late-game-degradation) pick (Δ=+8.5) (-1) | team_quality modifier (+1; DISABLED, score+=0) | Stage 1/2 agree (Δ=0.01) (+1)",-2,D,8.46736648017847,1,[],[],[],[]
STL @ MIL,TBD,,,,,,,,,,,,,,,,,,,,,,,,PENDING_SP_DATA,thin_sp_data,Probable SP not yet announced for MIL (home); will fill in next workflow run (needs 100+ Statcast pitches once announced to score),pending_sp_data,,False,,,C,0,pending_sp_data — ungraded (probable SP not yet announced),0,C,,,[],[],[],[]
