game_id,home_team,away_team,raw_prob,fill_prob,blend_prob,raw_f5,fill_f5,blend_f5,raw_pick,fill_pick,blend_pick,blend_confidence
823878,MIA,STL,0.762,0.762,0.762,0.776,0.776,0.776,MIA,MIA,MIA,0.762
823231,SF,LAD,0.289,0.289,0.289,0.408,0.408,0.408,LAD,LAD,LAD,0.711
824449,CLE,HOU,0.735,0.625,0.697,0.55,0.309,0.466,CLE,CLE,CLE,0.697
824774,BOS,NYY,0.307,0.307,0.307,0.539,0.539,0.539,NYY,NYY,NYY,0.693
823147,SEA,ATH,0.642,0.642,0.642,0.69,0.69,0.69,SEA,SEA,SEA,0.642
824044,LAA,TOR,0.62,0.62,0.62,0.803,0.803,0.803,LAA,LAA,LAA,0.62
822913,TEX,PIT,0.394,0.394,0.394,0.513,0.513,0.513,PIT,PIT,PIT,0.606
824367,COL,SD,0.41,0.41,0.41,0.644,0.644,0.644,SD,SD,SD,0.59
823641,NYM,MIN,0.469,0.307,0.412,0.536,0.666,0.581,MIN,MIN,MIN,0.588
824286,DET,MIL,0.425,0.425,0.425,0.482,0.482,0.482,MIL,MIL,MIL,0.575
824688,CHC,PHI,0.565,0.565,0.565,0.444,0.444,0.444,CHC,CHC,CHC,0.565
822993,TB,CIN,0.545,0.58,0.557,0.445,0.57,0.489,TB,TB,TB,0.557
822748,WSH,ATL,0.47,0.47,0.47,0.335,0.335,0.335,ATL,ATL,ATL,0.53
825097,ARI,CWS,0.51,0.551,0.525,0.818,0.818,0.818,ARI,ARI,ARI,0.525
824123,KC,BAL,0.515,0.515,0.515,0.894,0.894,0.894,KC,KC,KC,0.515
