game_date,home_team,away_team,total_line,pred_runs,edge_runs,side,decimal,our_prob,book_fair,stake_units
2026-05-16,DET,TOR,8.5,7.16,1.34,under,1.873,0.5414,0.5147,0.33
2026-05-16,STL,KC,9.0,9.33,0.33,over,1.931,0.5031,0.4966,0.0
2026-05-16,COL,ARI,11.25,13.83,2.58,over,1.924,0.5501,0.4985,1.26
2026-05-16,WSH,BAL,10.0,8.36,1.64,under,1.935,0.5249,0.4921,0.33
2026-05-16,PIT,PHI,8.0,8.7,0.7,over,1.877,0.5287,0.5147,0.0
2026-05-16,TB,MIA,7.5,8.63,1.13,over,1.866,0.5408,0.5181,0.21
2026-05-16,CHW,CHC,8.5,10.5,2.0,over,1.897,0.5466,0.5067,0.83
2026-05-16,MIN,MIL,8.5,8.98,0.48,over,1.948,0.499,0.4894,0.0
2026-05-16,SEA,SD,7.0,8.0,1.0,over,1.84,0.5451,0.5251,0.08
2026-05-16,NYM,NYY,8.5,9.41,0.91,over,1.952,0.5051,0.4869,0.0
