game_date,home_team,away_team,total_line,pred_runs,edge_runs,side,decimal,our_prob,book_fair,stake_units,book,pred_runs_bvp_adjusted,total_runs_delta,home_runs_delta,away_runs_delta,home_bvp_n_pa,away_bvp_n_pa,home_bvp_ops_shrunk,away_bvp_ops_shrunk,bvp_signal_strength,player_aware_signal,pred_winp_mc,pred_runs_mc
2026-05-23,CIN,STL,10.0,7.87,2.13,under,1.87,0.5558,0.5131,0.9,bovada,7.92,0.059,0.031,0.028,13.0,11.0,0.7418,0.743,2.667,"{""lineup_xwoba_h"":0.353,""lineup_xwoba_a"":0.322,""lineup_wrcplus_h"":115.0,""lineup_wrcplus_a"":110.0,""bvp_pa_total"":24,""bvp_delta_runs"":0.059}",0.4922,8.83
2026-05-23,CHC,HOU,7.0,8.93,1.93,over,1.909,0.5386,0.5,0.62,bovada,9.06,0.123,0.002,0.121,2.0,35.0,0.7269,0.7511,4.111,"{""lineup_xwoba_h"":0.337,""lineup_xwoba_a"":0.323,""lineup_wrcplus_h"":118.0,""lineup_wrcplus_a"":107.0,""bvp_pa_total"":37,""bvp_delta_runs"":0.123}",0.4941,8.06
2026-05-23,TOR,PIT,6.5,9.56,3.06,over,1.8,0.599,0.5378,1.95,pinnacle,9.53,-0.033,-0.005,-0.028,24.0,76.0,0.7183,0.7143,11.111,"{""lineup_xwoba_h"":0.307,""lineup_xwoba_a"":0.308,""lineup_wrcplus_h"":107.0,""lineup_wrcplus_a"":106.0,""bvp_pa_total"":100,""bvp_delta_runs"":-0.033}",0.5013,7.87
2026-05-23,PHI,CLE,7.0,10.27,3.27,over,2.02,0.542,0.4766,1.53,pinnacle,10.34,0.065,0.08,-0.015,20.0,49.0,0.7561,0.717,7.667,"{""lineup_xwoba_h"":0.324,""lineup_xwoba_a"":0.312,""lineup_wrcplus_h"":107.0,""lineup_wrcplus_a"":117.0,""bvp_pa_total"":69,""bvp_delta_runs"":0.065}",0.4937,7.99
2026-05-23,SF,CHW,8.0,8.49,0.49,over,1.971,0.4858,0.4759,0.0,pinnacle,8.5,0.004,0.002,0.002,3.0,8.0,0.7274,0.7218,1.222,"{""lineup_xwoba_h"":0.284,""lineup_xwoba_a"":0.337,""lineup_wrcplus_h"":97.0,""lineup_wrcplus_a"":115.0,""bvp_pa_total"":11,""bvp_delta_runs"":0.004}",0.5003,7.26
2026-05-23,SD,OAK,,9.78,,,,,,,,9.78,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0,"{""lineup_xwoba_h"":0.321,""lineup_xwoba_a"":0.354,""lineup_wrcplus_h"":104.0,""lineup_wrcplus_a"":118.0,""bvp_pa_total"":0,""bvp_delta_runs"":0.0}",,
2026-05-23,LAA,TEX,,8.3,,,,,,,,8.3,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0,"{""lineup_xwoba_h"":0.322,""lineup_xwoba_a"":0.335,""lineup_wrcplus_h"":106.0,""lineup_wrcplus_a"":114.0,""bvp_pa_total"":0,""bvp_delta_runs"":0.0}",,
2026-05-23,ARI,COL,,9.19,,,,,,,,9.19,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0,"{""lineup_xwoba_h"":0.325,""lineup_xwoba_a"":0.322,""lineup_wrcplus_h"":113.0,""lineup_wrcplus_a"":115.0,""bvp_pa_total"":0,""bvp_delta_runs"":0.0}",,
2026-05-23,NYY,TB,,9.41,,,,,,,,9.41,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0,"{""lineup_xwoba_h"":0.357,""lineup_xwoba_a"":0.297,""lineup_wrcplus_h"":116.0,""lineup_wrcplus_a"":107.0,""bvp_pa_total"":0,""bvp_delta_runs"":0.0}",,
2026-05-23,BAL,DET,,9.38,,,,,,,,9.38,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0,"{""lineup_xwoba_h"":0.329,""lineup_xwoba_a"":0.327,""lineup_wrcplus_h"":108.0,""lineup_wrcplus_a"":105.0,""bvp_pa_total"":0,""bvp_delta_runs"":0.0}",,
